name,date,PX_LAST
ATT1 N:02_0_R Index,2014-02-11,2348.48359
ATT1 N:02_0_R Index,2014-02-12,2343.67177
ATT1 N:02_0_R Index,2014-02-13,2328.92354
ATT1 N:02_0_R Index,2014-02-14,2354.16619
ATT1 N:02_0_R Index,2014-02-17,2367.90565
ATT1 N:02_0_R Index,2014-02-18,2383.14024
ATT1 N:02_0_R Index,2014-02-19,2363.06785
ATT1 N:02_0_R Index,2014-02-20,2355.64424
ATT1 N:02_0_R Index,2014-02-21,2387.46006
ATT1 N:02_0_R Index,2014-02-24,2399.89901
ATT1 N:02_0_R Index,2014-02-25,2407.00271
ATT1 N:02_0_R Index,2014-02-26,2384.53193
ATT1 N:02_0_R Index,2014-02-27,2360.93939
ATT1 N:02_0_R Index,2014-02-28,2328.12667
ATT1 N:02_0_R Index,2014-03-03,2239.4143
ATT1 N:02_0_R Index,2014-03-04,2285.93323
ATT1 N:02_0_R Index,2014-03-05,2278.65421
ATT1 N:02_0_R Index,2014-03-06,2329.49678
ATT1 N:02_0_R Index,2014-03-07,2302.33272
ATT1 N:02_0_R Index,2014-03-10,2277.29072
ATT1 N:02_0_R Index,2014-03-11,2250.79117
ATT1 N:02_0_R Index,2014-03-12,2216.7846
ATT1 N:02_0_R Index,2014-03-13,2179.18363
ATT1 N:02_0_R Index,2014-03-14,2163.28892
ATT1 N:02_0_R Index,2014-03-17,2212.5752
ATT1 N:02_0_R Index,2014-03-18,2252.03793
ATT1 N:02_0_R Index,2014-03-19,2255.15031
ATT1 N:02_0_R Index,2014-03-20,2216.60221
ATT1 N:02_0_R Index,2014-03-21,2226.99383
ATT1 N:02_0_R Index,2014-03-24,2197.48869
ATT1 N:02_0_R Index,2014-03-25,2208.10666
ATT1 N:02_0_R Index,2014-03-26,2234.56939
ATT1 N:02_0_R Index,2014-03-27,2192.4308
ATT1 N:02_0_R Index,2014-03-28,2219.59565
ATT1 N:02_0_R Index,2014-03-31,2261.10217
ATT1 N:02_0_R Index,2014-04-01,2291.50448
ATT1 N:02_0_R Index,2014-04-02,2293.05139
ATT1 N:02_0_R Index,2014-04-03,2298.3215
ATT1 N:02_0_R Index,2014-04-04,2305.66011
ATT1 N:02_0_R Index,2014-04-07,2263.4451
ATT1 N:02_0_R Index,2014-04-08,2245.78897
ATT1 N:02_0_R Index,2014-04-09,2281.86006
ATT1 N:02_0_R Index,2014-04-10,2277.21435
ATT1 N:02_0_R Index,2014-04-11,2256.22724
ATT1 N:02_0_R Index,2014-04-14,2223.42923
ATT1 N:02_0_R Index,2014-04-15,2193.05364
ATT1 N:02_0_R Index,2014-04-16,2220.23496
ATT1 N:02_0_R Index,2014-04-17,2226.57393
ATT1 N:02_0_R Index,2014-04-22,2262.03083
ATT1 N:02_0_R Index,2014-04-23,2269.73704
ATT1 N:02_0_R Index,2014-04-24,2263.66806
ATT1 N:02_0_R Index,2014-04-25,2235.15305
ATT1 N:02_0_R Index,2014-04-28,2239.36743
ATT1 N:02_0_R Index,2014-04-29,2271.17656
ATT1 N:02_0_R Index,2014-04-30,2283.90709
ATT1 N:02_0_R Index,2014-05-02,2286.80241
ATT1 N:02_0_R Index,2014-05-05,2269.41656
ATT1 N:02_0_R Index,2014-05-06,2253.83258
ATT1 N:02_0_R Index,2014-05-07,2245.16015
ATT1 N:02_0_R Index,2014-05-08,2256.37002
ATT1 N:02_0_R Index,2014-05-09,2235.03156
ATT1 N:02_0_R Index,2014-05-12,2241.72594
ATT1 N:02_0_R Index,2014-05-13,2224.24359
ATT1 N:02_0_R Index,2014-05-14,2217.79903
ATT1 N:02_0_R Index,2014-05-15,2165.25928
ATT1 N:02_0_R Index,2014-05-16,2148.98943
ATT1 N:02_0_R Index,2014-05-19,2157.07754
ATT1 N:02_0_R Index,2014-05-20,2156.04779
ATT1 N:02_0_R Index,2014-05-21,2152.40673
ATT1 N:02_0_R Index,2014-05-22,2189.36549
ATT1 N:02_0_R Index,2014-05-23,2204.85593
ATT1 N:02_0_R Index,2014-05-26,2240.25117
ATT1 N:02_0_R Index,2014-05-27,2258.11175
ATT1 N:02_0_R Index,2014-05-28,2254.58317
ATT1 N:02_0_R Index,2014-05-29,2257.40306
ATT1 N:02_0_R Index,2014-05-30,2270.8699
ATT1 N:02_0_R Index,2014-06-02,2270.43992
ATT1 N:02_0_R Index,2014-06-03,2263.19608
ATT1 N:02_0_R Index,2014-06-04,2255.4285
ATT1 N:02_0_R Index,2014-06-05,2286.96998
ATT1 N:02_0_R Index,2014-06-06,2313.59104
ATT1 N:02_0_R Index,2014-06-09,2304.60062
ATT1 N:02_0_R Index,2014-06-10,2311.31872
ATT1 N:02_0_R Index,2014-06-11,2293.8702
ATT1 N:02_0_R Index,2014-06-12,2303.8369
ATT1 N:02_0_R Index,2014-06-13,2297.96862
ATT1 N:02_0_R Index,2014-06-16,2307.74834
ATT1 N:02_0_R Index,2014-06-17,2303.94686
ATT1 N:02_0_R Index,2014-06-18,2312.20725
ATT1 N:02_0_R Index,2014-06-19,2320.04235
ATT1 N:02_0_R Index,2014-06-20,2313.28715
ATT1 N:02_0_R Index,2014-06-23,2286.3097
ATT1 N:02_0_R Index,2014-06-24,2273.01429
ATT1 N:02_0_R Index,2014-06-25,2263.3521
ATT1 N:02_0_R Index,2014-06-26,2259.94513
ATT1 N:02_0_R Index,2014-06-27,2259.75539
ATT1 N:02_0_R Index,2014-06-30,2270.15563
ATT1 N:02_0_R Index,2014-07-01,2279.45388
ATT1 N:02_0_R Index,2014-07-02,2284.34367
ATT1 N:02_0_R Index,2014-07-03,2291.11632
