name,date,PX_LAST
BZ1 N:02_0_R Index,1995-07-21,102994.69748
BZ1 N:02_0_R Index,1995-08-01,102042.37643
BZ1 N:02_0_R Index,1995-08-02,102785.40345
BZ1 N:02_0_R Index,1995-08-03,103742.81966
BZ1 N:02_0_R Index,1995-08-04,108977.29522
BZ1 N:02_0_R Index,1995-08-07,113459.72676
BZ1 N:02_0_R Index,1995-08-08,110215.67357
BZ1 N:02_0_R Index,1995-08-09,111275.53503
BZ1 N:02_0_R Index,1995-08-11,107738.91686
BZ1 N:02_0_R Index,1995-08-14,103280.75479
BZ1 N:02_0_R Index,1995-08-15,105083.18092
BZ1 N:02_0_R Index,1995-08-16,107544.14535
BZ1 N:02_0_R Index,1995-08-17,106682.8078
BZ1 N:02_0_R Index,1995-08-18,106692.47401
BZ1 N:02_0_R Index,1995-08-21,107298.04891
BZ1 N:02_0_R Index,1995-08-22,107316.05596
BZ1 N:02_0_R Index,1995-08-23,111626.84891
BZ1 N:02_0_R Index,1995-08-24,109668.48314
BZ1 N:02_0_R Index,1995-08-25,110041.75138
BZ1 N:02_0_R Index,1995-08-28,110926.19283
BZ1 N:02_0_R Index,1995-08-29,106979.05322
BZ1 N:02_0_R Index,1995-08-30,104441.35933
BZ1 N:02_0_R Index,1995-08-31,107744.13109
BZ1 N:02_0_R Index,1995-09-01,111156.84112
BZ1 N:02_0_R Index,1995-09-04,113589.8627
BZ1 N:02_0_R Index,1995-09-05,114566.9798
BZ1 N:02_0_R Index,1995-09-06,113541.9547
BZ1 N:02_0_R Index,1995-09-08,112131.90113
BZ1 N:02_0_R Index,1995-09-11,116397.14786
BZ1 N:02_0_R Index,1995-09-12,117492.93691
BZ1 N:02_0_R Index,1995-09-13,116810.46776
BZ1 N:02_0_R Index,1995-09-14,119131.34766
BZ1 N:02_0_R Index,1995-09-15,118950.66376
BZ1 N:02_0_R Index,1995-09-18,119193.91665
BZ1 N:02_0_R Index,1995-09-19,120040.8349
BZ1 N:02_0_R Index,1995-09-20,116395.87027
BZ1 N:02_0_R Index,1995-09-21,114451.88914
BZ1 N:02_0_R Index,1995-09-22,115423.87971
BZ1 N:02_0_R Index,1995-09-25,112496.10359
BZ1 N:02_0_R Index,1995-09-26,111176.26056
BZ1 N:02_0_R Index,1995-09-27,111544.82312
BZ1 N:02_0_R Index,1995-09-28,112393.53373
BZ1 N:02_0_R Index,1995-09-29,115909.87499
BZ1 N:02_0_R Index,1995-10-02,111049.92216
BZ1 N:02_0_R Index,1995-10-03,110228.60028
BZ1 N:02_0_R Index,1995-10-04,107569.57703
BZ1 N:02_0_R Index,1995-10-05,109998.35298
BZ1 N:02_0_R Index,1995-10-06,109687.89313
BZ1 N:02_0_R Index,1995-10-09,108260.86304
BZ1 N:02_0_R Index,1995-10-10,106844.38887
BZ1 N:02_0_R Index,1995-10-11,109952.43902
BZ1 N:02_0_R Index,1995-10-13,109503.41212
