name,date,PX_LAST
C 1 N:02_0_R Comdty,1990-01-02,34.19746
C 1 N:02_0_R Comdty,1990-01-03,34.30534
C 1 N:02_0_R Comdty,1990-01-04,34.26938
C 1 N:02_0_R Comdty,1990-01-05,34.19746
C 1 N:02_0_R Comdty,1990-01-08,34.37725
C 1 N:02_0_R Comdty,1990-01-09,34.34129
C 1 N:02_0_R Comdty,1990-01-10,34.23342
C 1 N:02_0_R Comdty,1990-01-11,34.30534
C 1 N:02_0_R Comdty,1990-01-12,34.84473
C 1 N:02_0_R Comdty,1990-01-15,35.06048
C 1 N:02_0_R Comdty,1990-01-16,34.88069
C 1 N:02_0_R Comdty,1990-01-17,34.73685
C 1 N:02_0_R Comdty,1990-01-18,34.80877
C 1 N:02_0_R Comdty,1990-01-19,34.77281
C 1 N:02_0_R Comdty,1990-01-22,34.59301
C 1 N:02_0_R Comdty,1990-01-23,34.66493
C 1 N:02_0_R Comdty,1990-01-24,34.62897
C 1 N:02_0_R Comdty,1990-01-25,34.41321
C 1 N:02_0_R Comdty,1990-01-26,34.26938
C 1 N:02_0_R Comdty,1990-01-29,34.44917
C 1 N:02_0_R Comdty,1990-01-30,34.30534
C 1 N:02_0_R Comdty,1990-01-31,34.26938
C 1 N:02_0_R Comdty,1990-02-01,34.1615
C 1 N:02_0_R Comdty,1990-02-02,34.05362
C 1 N:02_0_R Comdty,1990-02-05,34.01766
C 1 N:02_0_R Comdty,1990-02-06,34.19746
C 1 N:02_0_R Comdty,1990-02-07,34.41321
C 1 N:02_0_R Comdty,1990-02-08,34.37725
C 1 N:02_0_R Comdty,1990-02-09,34.44917
C 1 N:02_0_R Comdty,1990-02-12,34.80877
C 1 N:02_0_R Comdty,1990-02-13,34.77281
C 1 N:02_0_R Comdty,1990-02-14,34.95261
C 1 N:02_0_R Comdty,1990-02-15,34.91665
C 1 N:02_0_R Comdty,1990-02-16,34.70089
C 1 N:02_0_R Comdty,1990-02-20,34.73685
C 1 N:02_0_R Comdty,1990-02-21,34.95261
C 1 N:02_0_R Comdty,1990-02-22,35.24028
C 1 N:02_0_R Comdty,1990-02-23,35.34816
C 1 N:02_0_R Comdty,1990-02-26,35.38412
C 1 N:02_0_R Comdty,1990-02-27,35.17433
C 1 N:02_0_R Comdty,1990-02-28,35.41908
C 1 N:02_0_R Comdty,1990-03-01,35.34916
C 1 N:02_0_R Comdty,1990-03-02,35.31419
C 1 N:02_0_R Comdty,1990-03-05,35.24426
C 1 N:02_0_R Comdty,1990-03-06,35.1044
C 1 N:02_0_R Comdty,1990-03-07,34.85965
C 1 N:02_0_R Comdty,1990-03-08,34.89462
C 1 N:02_0_R Comdty,1990-03-09,35.03447
C 1 N:02_0_R Comdty,1990-03-12,35.48901
C 1 N:02_0_R Comdty,1990-03-13,35.17433
C 1 N:02_0_R Comdty,1990-03-14,35.06944
C 1 N:02_0_R Comdty,1990-03-15,35.41908
C 1 N:02_0_R Comdty,1990-03-16,35.48901
C 1 N:02_0_R Comdty,1990-03-19,35.94355
C 1 N:02_0_R Comdty,1990-03-20,36.25823
C 1 N:02_0_R Comdty,1990-03-21,35.97852
C 1 N:02_0_R Comdty,1990-03-22,36.1883
C 1 N:02_0_R Comdty,1990-03-23,36.15334
C 1 N:02_0_R Comdty,1990-03-26,36.46802
C 1 N:02_0_R Comdty,1990-03-27,36.53795
C 1 N:02_0_R Comdty,1990-03-28,36.25823
C 1 N:02_0_R Comdty,1990-03-29,36.36313
C 1 N:02_0_R Comdty,1990-03-30,36.53795
C 1 N:02_0_R Comdty,1990-04-02,36.85263
C 1 N:02_0_R Comdty,1990-04-03,37.27221
C 1 N:02_0_R Comdty,1990-04-04,37.51696
C 1 N:02_0_R Comdty,1990-04-05,37.79667
C 1 N:02_0_R Comdty,1990-04-06,37.65682
C 1 N:02_0_R Comdty,1990-04-09,37.69178
C 1 N:02_0_R Comdty,1990-04-10,38.14632
C 1 N:02_0_R Comdty,1990-04-11,37.93653
C 1 N:02_0_R Comdty,1990-04-12,37.69178
C 1 N:02_0_R Comdty,1990-04-16,38.07639
C 1 N:02_0_R Comdty,1990-04-17,38.32114
C 1 N:02_0_R Comdty,1990-04-18,38.28618
C 1 N:02_0_R Comdty,1990-04-19,38.74072
C 1 N:02_0_R Comdty,1990-04-20,38.77568
C 1 N:02_0_R Comdty,1990-04-23,38.88057
C 1 N:02_0_R Comdty,1990-04-24,38.60086
C 1 N:02_0_R Comdty,1990-04-25,38.98547
C 1 N:02_0_R Comdty,1990-04-26,39.26518
C 1 N:02_0_R Comdty,1990-04-27,39.16029
C 1 N:02_0_R Comdty,1990-04-30,39.19491
C 1 N:02_0_R Comdty,1990-05-01,39.43729
C 1 N:02_0_R Comdty,1990-05-02,40.0259
C 1 N:02_0_R Comdty,1990-05-03,39.74891
C 1 N:02_0_R Comdty,1990-05-04,39.92203
C 1 N:02_0_R Comdty,1990-05-07,40.33752
C 1 N:02_0_R Comdty,1990-05-08,40.09515
C 1 N:02_0_R Comdty,1990-05-09,40.26827
C 1 N:02_0_R Comdty,1990-05-10,40.40677
C 1 N:02_0_R Comdty,1990-05-11,40.1644
C 1 N:02_0_R Comdty,1990-05-14,40.26827
C 1 N:02_0_R Comdty,1990-05-15,39.43729
C 1 N:02_0_R Comdty,1990-05-16,39.09104
C 1 N:02_0_R Comdty,1990-05-17,39.43729
C 1 N:02_0_R Comdty,1990-05-18,39.09104
C 1 N:02_0_R Comdty,1990-05-21,38.36393
C 1 N:02_0_R Comdty,1990-05-22,38.05231
C 1 N:02_0_R Comdty,1990-05-23,38.26005
