name,date,PX_LAST
CL1 N:02_0_R Comdty,1990-01-02,45.87
CL1 N:02_0_R Comdty,1990-01-03,47.45
CL1 N:02_0_R Comdty,1990-01-04,46.91
CL1 N:02_0_R Comdty,1990-01-05,46.25
CL1 N:02_0_R Comdty,1990-01-08,43.32
CL1 N:02_0_R Comdty,1990-01-09,44.22
CL1 N:02_0_R Comdty,1990-01-10,45.89
CL1 N:02_0_R Comdty,1990-01-11,46.37
CL1 N:02_0_R Comdty,1990-01-12,46.35
CL1 N:02_0_R Comdty,1990-01-15,44.81
CL1 N:02_0_R Comdty,1990-01-16,45.65
CL1 N:02_0_R Comdty,1990-01-17,44.28
CL1 N:02_0_R Comdty,1990-01-18,45.61
CL1 N:02_0_R Comdty,1990-01-19,47.43
CL1 N:02_0_R Comdty,1990-01-22,45.19
CL1 N:02_0_R Comdty,1990-01-30,44.51
CL1 N:02_0_R Comdty,1990-01-31,44.95
CL1 N:02_0_R Comdty,1990-02-01,44.99
CL1 N:02_0_R Comdty,1990-02-02,45.62
CL1 N:02_0_R Comdty,1990-02-05,44.37
CL1 N:02_0_R Comdty,1990-02-06,44.61
CL1 N:02_0_R Comdty,1990-02-07,44.23
CL1 N:02_0_R Comdty,1990-02-08,43.78
CL1 N:02_0_R Comdty,1990-02-09,43.09
CL1 N:02_0_R Comdty,1990-02-12,43.66
CL1 N:02_0_R Comdty,1990-02-13,43.4
CL1 N:02_0_R Comdty,1990-02-14,43.74
CL1 N:02_0_R Comdty,1990-02-15,45.27
CL1 N:02_0_R Comdty,1990-02-16,44.43
CL1 N:02_0_R Comdty,1990-02-20,43.98
CL1 N:02_0_R Comdty,1990-02-27,43.55
CL1 N:02_0_R Comdty,1990-02-28,43.47
CL1 N:02_0_R Comdty,1990-03-01,42.73
CL1 N:02_0_R Comdty,1990-03-02,43.09
CL1 N:02_0_R Comdty,1990-03-05,43.55
CL1 N:02_0_R Comdty,1990-03-06,39.01
CL1 N:02_0_R Comdty,1990-03-07,42.24
CL1 N:02_0_R Comdty,1990-03-08,41.94
CL1 N:02_0_R Comdty,1990-03-09,41.23
CL1 N:02_0_R Comdty,1990-03-12,40.85
CL1 N:02_0_R Comdty,1990-03-13,40.81
CL1 N:02_0_R Comdty,1990-03-14,40.47
CL1 N:02_0_R Comdty,1990-03-15,41.13
CL1 N:02_0_R Comdty,1990-03-16,40.51
CL1 N:02_0_R Comdty,1990-03-19,39.56
CL1 N:02_0_R Comdty,1990-03-20,38.91
CL1 N:02_0_R Comdty,1990-03-29,38.85
CL1 N:02_0_R Comdty,1990-03-30,39.3
CL1 N:02_0_R Comdty,1990-04-02,39.69
CL1 N:02_0_R Comdty,1990-04-03,39.34
CL1 N:02_0_R Comdty,1990-04-04,38.33
CL1 N:02_0_R Comdty,1990-04-05,37.65
CL1 N:02_0_R Comdty,1990-04-06,37.11
CL1 N:02_0_R Comdty,1990-04-09,35.73
CL1 N:02_0_R Comdty,1990-04-10,34.26
CL1 N:02_0_R Comdty,1990-04-11,35.0
CL1 N:02_0_R Comdty,1990-04-12,34.45
CL1 N:02_0_R Comdty,1990-04-16,34.59
CL1 N:02_0_R Comdty,1990-04-17,33.8
CL1 N:02_0_R Comdty,1990-04-18,32.87
CL1 N:02_0_R Comdty,1990-04-19,35.0
CL1 N:02_0_R Comdty,1990-04-20,34.78
CL1 N:02_0_R Comdty,1990-04-30,34.78
CL1 N:02_0_R Comdty,1990-05-01,35.42
CL1 N:02_0_R Comdty,1990-05-02,35.05
CL1 N:02_0_R Comdty,1990-05-03,33.75
CL1 N:02_0_R Comdty,1990-05-04,33.73
CL1 N:02_0_R Comdty,1990-05-07,34.28
CL1 N:02_0_R Comdty,1990-05-08,34.3
CL1 N:02_0_R Comdty,1990-05-09,35.63
CL1 N:02_0_R Comdty,1990-05-10,35.68
CL1 N:02_0_R Comdty,1990-05-11,35.55
CL1 N:02_0_R Comdty,1990-05-14,36.98
CL1 N:02_0_R Comdty,1990-05-15,36.75
CL1 N:02_0_R Comdty,1990-05-16,35.7
CL1 N:02_0_R Comdty,1990-05-17,35.4
CL1 N:02_0_R Comdty,1990-05-18,35.2
CL1 N:02_0_R Comdty,1990-05-21,34.26
CL1 N:02_0_R Comdty,1990-05-22,33.17
CL1 N:02_0_R Comdty,1990-05-30,33.35
CL1 N:02_0_R Comdty,1990-05-31,32.1
CL1 N:02_0_R Comdty,1990-06-01,32.28
CL1 N:02_0_R Comdty,1990-06-04,31.62
CL1 N:02_0_R Comdty,1990-06-05,30.77
CL1 N:02_0_R Comdty,1990-06-06,31.21
CL1 N:02_0_R Comdty,1990-06-07,30.75
CL1 N:02_0_R Comdty,1990-06-08,30.96
CL1 N:02_0_R Comdty,1990-06-11,31.03
CL1 N:02_0_R Comdty,1990-06-12,32.3
CL1 N:02_0_R Comdty,1990-06-13,32.43
CL1 N:02_0_R Comdty,1990-06-14,31.6
CL1 N:02_0_R Comdty,1990-06-15,30.66
CL1 N:02_0_R Comdty,1990-06-18,29.41
CL1 N:02_0_R Comdty,1990-06-19,28.87
CL1 N:02_0_R Comdty,1990-06-20,28.23
CL1 N:02_0_R Comdty,1990-06-28,29.02
CL1 N:02_0_R Comdty,1990-06-29,28.89
CL1 N:02_0_R Comdty,1990-07-02,28.29
CL1 N:02_0_R Comdty,1990-07-03,28.43
CL1 N:02_0_R Comdty,1990-07-05,27.92
CL1 N:02_0_R Comdty,1990-07-06,27.87
CL1 N:02_0_R Comdty,1990-07-09,28.06
CL1 N:02_0_R Comdty,1990-07-10,28.67
CL1 N:02_0_R Comdty,1990-07-11,29.56
CL1 N:02_0_R Comdty,1990-07-12,31.24
CL1 N:02_0_R Comdty,1990-07-13,31.07
CL1 N:02_0_R Comdty,1990-07-16,31.59
CL1 N:02_0_R Comdty,1990-07-17,31.56
CL1 N:02_0_R Comdty,1990-07-18,31.39
CL1 N:02_0_R Comdty,1990-07-19,32.14
CL1 N:02_0_R Comdty,1990-07-20,33.18
CL1 N:02_0_R Comdty,1990-07-30,33.47
CL1 N:02_0_R Comdty,1990-07-31,34.26
CL1 N:02_0_R Comdty,1990-08-01,35.67
CL1 N:02_0_R Comdty,1990-08-02,38.27
CL1 N:02_0_R Comdty,1990-08-03,40.55
CL1 N:02_0_R Comdty,1990-08-06,46.45
CL1 N:02_0_R Comdty,1990-08-07,46.88
CL1 N:02_0_R Comdty,1990-08-08,42.99
CL1 N:02_0_R Comdty,1990-08-09,42.51
CL1 N:02_0_R Comdty,1990-08-10,43.43
CL1 N:02_0_R Comdty,1990-08-13,44.33
CL1 N:02_0_R Comdty,1990-08-14,43.75
CL1 N:02_0_R Comdty,1990-08-15,43.82
CL1 N:02_0_R Comdty,1990-08-16,45.31
CL1 N:02_0_R Comdty,1990-08-17,47.41
CL1 N:02_0_R Comdty,1990-08-20,47.29
CL1 N:02_0_R Comdty,1990-08-21,47.04
CL1 N:02_0_R Comdty,1990-08-30,48.59
CL1 N:02_0_R Comdty,1990-08-31,49.59
CL1 N:02_0_R Comdty,1990-09-04,52.85
CL1 N:02_0_R Comdty,1990-09-05,54.03
CL1 N:02_0_R Comdty,1990-09-06,57.04
CL1 N:02_0_R Comdty,1990-09-07,54.52
CL1 N:02_0_R Comdty,1990-09-10,56.81
CL1 N:02_0_R Comdty,1990-09-11,55.83
CL1 N:02_0_R Comdty,1990-09-12,56.21
CL1 N:02_0_R Comdty,1990-09-13,56.39
CL1 N:02_0_R Comdty,1990-09-14,57.64
CL1 N:02_0_R Comdty,1990-09-17,61.04
CL1 N:02_0_R Comdty,1990-09-18,60.64
CL1 N:02_0_R Comdty,1990-09-19,60.22
CL1 N:02_0_R Comdty,1990-09-20,63.0
CL1 N:02_0_R Comdty,1990-09-27,64.42
CL1 N:02_0_R Comdty,1990-09-28,64.37
CL1 N:02_0_R Comdty,1990-10-01,60.42
CL1 N:02_0_R Comdty,1990-10-02,55.31
CL1 N:02_0_R Comdty,1990-10-03,60.8
CL1 N:02_0_R Comdty,1990-10-04,60.16
CL1 N:02_0_R Comdty,1990-10-05,61.89
CL1 N:02_0_R Comdty,1990-10-08,63.45
CL1 N:02_0_R Comdty,1990-10-09,65.82
CL1 N:02_0_R Comdty,1990-10-10,63.03
CL1 N:02_0_R Comdty,1990-10-11,65.85
CL1 N:02_0_R Comdty,1990-10-12,64.66
CL1 N:02_0_R Comdty,1990-10-15,61.83
CL1 N:02_0_R Comdty,1990-10-16,63.36
CL1 N:02_0_R Comdty,1990-10-17,59.82
CL1 N:02_0_R Comdty,1990-10-18,59.95
CL1 N:02_0_R Comdty,1990-10-19,55.05
CL1 N:02_0_R Comdty,1990-10-22,46.23
CL1 N:02_0_R Comdty,1990-10-30,46.05
CL1 N:02_0_R Comdty,1990-10-31,46.97
CL1 N:02_0_R Comdty,1990-11-01,46.89
CL1 N:02_0_R Comdty,1990-11-02,45.33
CL1 N:02_0_R Comdty,1990-11-05,42.61
CL1 N:02_0_R Comdty,1990-11-06,43.5
CL1 N:02_0_R Comdty,1990-11-07,47.07
CL1 N:02_0_R Comdty,1990-11-08,47.37
CL1 N:02_0_R Comdty,1990-11-09,45.18
CL1 N:02_0_R Comdty,1990-11-12,42.49
CL1 N:02_0_R Comdty,1990-11-13,44.15
CL1 N:02_0_R Comdty,1990-11-14,41.54
CL1 N:02_0_R Comdty,1990-11-15,41.49
CL1 N:02_0_R Comdty,1990-11-16,39.7
CL1 N:02_0_R Comdty,1990-11-19,41.99
CL1 N:02_0_R Comdty,1990-11-29,41.53
CL1 N:02_0_R Comdty,1990-11-30,36.4
CL1 N:02_0_R Comdty,1990-12-03,36.78
CL1 N:02_0_R Comdty,1990-12-04,38.69
CL1 N:02_0_R Comdty,1990-12-05,34.44
CL1 N:02_0_R Comdty,1990-12-06,33.31
CL1 N:02_0_R Comdty,1990-12-07,33.54
CL1 N:02_0_R Comdty,1990-12-10,33.94
CL1 N:02_0_R Comdty,1990-12-11,33.33
CL1 N:02_0_R Comdty,1990-12-12,31.99
CL1 N:02_0_R Comdty,1990-12-13,33.34
CL1 N:02_0_R Comdty,1990-12-14,33.5
CL1 N:02_0_R Comdty,1990-12-17,34.13
