name,date,PX_LAST
CN1 N:02_0_R Comdty,1990-01-02,45.96596
CN1 N:02_0_R Comdty,1990-01-03,45.68361
CN1 N:02_0_R Comdty,1990-01-04,45.66922
CN1 N:02_0_R Comdty,1990-01-05,45.57351
CN1 N:02_0_R Comdty,1990-01-08,45.44911
CN1 N:02_0_R Comdty,1990-01-09,45.34858
CN1 N:02_0_R Comdty,1990-01-10,45.55915
CN1 N:02_0_R Comdty,1990-01-11,45.46347
CN1 N:02_0_R Comdty,1990-01-12,45.43476
CN1 N:02_0_R Comdty,1990-01-15,45.46347
CN1 N:02_0_R Comdty,1990-01-16,45.37733
CN1 N:02_0_R Comdty,1990-01-17,45.44433
CN1 N:02_0_R Comdty,1990-01-18,45.21459
CN1 N:02_0_R Comdty,1990-01-19,45.27204
CN1 N:02_0_R Comdty,1990-01-22,45.26247
CN1 N:02_0_R Comdty,1990-01-23,45.34383
CN1 N:02_0_R Comdty,1990-01-24,45.20983
CN1 N:02_0_R Comdty,1990-01-25,45.18112
CN1 N:02_0_R Comdty,1990-01-26,44.98012
CN1 N:02_0_R Comdty,1990-01-29,44.92748
CN1 N:02_0_R Comdty,1990-01-30,44.72167
CN1 N:02_0_R Comdty,1990-01-31,45.03755
CN1 N:02_0_R Comdty,1990-02-01,45.03755
CN1 N:02_0_R Comdty,1990-02-02,44.96095
CN1 N:02_0_R Comdty,1990-02-05,44.80784
CN1 N:02_0_R Comdty,1990-02-06,44.60684
CN1 N:02_0_R Comdty,1990-02-07,44.48239
CN1 N:02_0_R Comdty,1990-02-08,44.60203
CN1 N:02_0_R Comdty,1990-02-09,44.65948
CN1 N:02_0_R Comdty,1990-02-12,44.21918
CN1 N:02_0_R Comdty,1990-02-13,44.26228
CN1 N:02_0_R Comdty,1990-02-14,44.08042
CN1 N:02_0_R Comdty,1990-02-15,43.7885
CN1 N:02_0_R Comdty,1990-02-16,43.8124
CN1 N:02_0_R Comdty,1990-02-19,43.59707
CN1 N:02_0_R Comdty,1990-02-20,43.10894
CN1 N:02_0_R Comdty,1990-02-21,43.39973
CN1 N:02_0_R Comdty,1990-02-22,43.4712
CN1 N:02_0_R Comdty,1990-02-23,43.4855
CN1 N:02_0_R Comdty,1990-02-26,43.48076
CN1 N:02_0_R Comdty,1990-02-27,43.46646
CN1 N:02_0_R Comdty,1990-02-28,43.07084
CN1 N:02_0_R Comdty,1990-03-01,42.98981
CN1 N:02_0_R Comdty,1990-03-02,43.10897
CN1 N:02_0_R Comdty,1990-03-05,42.85154
CN1 N:02_0_R Comdty,1990-03-06,42.87538
CN1 N:02_0_R Comdty,1990-03-07,42.76578
CN1 N:02_0_R Comdty,1990-03-08,42.71334
CN1 N:02_0_R Comdty,1990-03-09,42.51788
CN1 N:02_0_R Comdty,1990-03-12,42.20329
CN1 N:02_0_R Comdty,1990-03-13,42.05079
CN1 N:02_0_R Comdty,1990-03-14,42.23192
CN1 N:02_0_R Comdty,1990-03-15,42.13656
CN1 N:02_0_R Comdty,1990-03-16,42.24622
CN1 N:02_0_R Comdty,1990-03-19,42.24142
CN1 N:02_0_R Comdty,1990-03-20,42.66565
CN1 N:02_0_R Comdty,1990-03-21,42.69425
CN1 N:02_0_R Comdty,1990-03-22,42.68474
