name,date,PX_LAST
CV1 N:02_0_R Comdty,2004-05-04,95.943
CV1 N:02_0_R Comdty,2004-05-05,95.934
CV1 N:02_0_R Comdty,2004-05-06,95.88
CV1 N:02_0_R Comdty,2004-05-07,95.551
CV1 N:02_0_R Comdty,2004-05-10,95.578
CV1 N:02_0_R Comdty,2004-05-11,95.597
CV1 N:02_0_R Comdty,2004-05-12,95.56
CV1 N:02_0_R Comdty,2004-05-13,95.496
CV1 N:02_0_R Comdty,2004-05-14,95.478
CV1 N:02_0_R Comdty,2004-05-17,95.533
CV1 N:02_0_R Comdty,2004-05-18,95.46
CV1 N:02_0_R Comdty,2004-05-19,95.387
CV1 N:02_0_R Comdty,2004-05-20,95.487
CV1 N:02_0_R Comdty,2004-05-21,95.478
CV1 N:02_0_R Comdty,2004-05-25,95.368
CV1 N:02_0_R Comdty,2004-05-26,95.368
CV1 N:02_0_R Comdty,2004-05-27,95.56
CV1 N:02_0_R Comdty,2004-05-28,95.46
CV1 N:02_0_R Comdty,2004-05-31,95.432
CV1 N:02_0_R Comdty,2004-06-01,95.35
CV1 N:02_0_R Comdty,2004-06-02,95.305
CV1 N:02_0_R Comdty,2004-06-03,95.323
CV1 N:02_0_R Comdty,2004-06-04,95.04
CV1 N:02_0_R Comdty,2004-06-07,95.049
CV1 N:02_0_R Comdty,2004-06-08,95.113
CV1 N:02_0_R Comdty,2004-06-09,95.104
CV1 N:02_0_R Comdty,2004-06-10,95.058
CV1 N:02_0_R Comdty,2004-06-11,94.931
CV1 N:02_0_R Comdty,2004-06-14,94.812
CV1 N:02_0_R Comdty,2004-06-15,94.976
CV1 N:02_0_R Comdty,2004-06-16,94.922
CV1 N:02_0_R Comdty,2004-06-17,94.931
CV1 N:02_0_R Comdty,2004-06-18,94.94
CV1 N:02_0_R Comdty,2004-06-21,94.967
CV1 N:02_0_R Comdty,2004-06-22,94.994
CV1 N:02_0_R Comdty,2004-06-23,95.067
CV1 N:02_0_R Comdty,2004-06-24,95.15
CV1 N:02_0_R Comdty,2004-06-25,95.204
CV1 N:02_0_R Comdty,2004-06-28,95.077
CV1 N:02_0_R Comdty,2004-06-29,95.086
CV1 N:02_0_R Comdty,2004-06-30,95.213
CV1 N:02_0_R Comdty,2004-07-02,95.487
CV1 N:02_0_R Comdty,2004-07-05,95.487
CV1 N:02_0_R Comdty,2004-07-06,95.505
CV1 N:02_0_R Comdty,2004-07-07,95.533
CV1 N:02_0_R Comdty,2004-07-08,95.615
CV1 N:02_0_R Comdty,2004-07-09,95.587
CV1 N:02_0_R Comdty,2004-07-12,95.505
CV1 N:02_0_R Comdty,2004-07-13,95.432
CV1 N:02_0_R Comdty,2004-07-14,95.45
CV1 N:02_0_R Comdty,2004-07-15,95.359
CV1 N:02_0_R Comdty,2004-07-16,95.533
CV1 N:02_0_R Comdty,2004-07-19,95.505
CV1 N:02_0_R Comdty,2004-07-20,95.441
CV1 N:02_0_R Comdty,2004-07-21,95.387
CV1 N:02_0_R Comdty,2004-07-22,95.387
CV1 N:02_0_R Comdty,2004-07-23,95.469
CV1 N:02_0_R Comdty,2004-07-26,95.387
CV1 N:02_0_R Comdty,2004-07-27,95.268
CV1 N:02_0_R Comdty,2004-07-28,95.295
CV1 N:02_0_R Comdty,2004-07-29,95.35
CV1 N:02_0_R Comdty,2004-07-30,95.441
CV1 N:02_0_R Comdty,2004-08-03,95.642
CV1 N:02_0_R Comdty,2004-08-04,95.615
CV1 N:02_0_R Comdty,2004-08-05,95.624
CV1 N:02_0_R Comdty,2004-08-06,96.007
CV1 N:02_0_R Comdty,2004-08-09,95.934
CV1 N:02_0_R Comdty,2004-08-10,95.797
CV1 N:02_0_R Comdty,2004-08-11,95.861
CV1 N:02_0_R Comdty,2004-08-12,95.888
CV1 N:02_0_R Comdty,2004-08-13,95.879
CV1 N:02_0_R Comdty,2004-08-16,95.742
CV1 N:02_0_R Comdty,2004-08-17,95.833
CV1 N:02_0_R Comdty,2004-08-18,95.833
CV1 N:02_0_R Comdty,2004-08-19,95.943
CV1 N:02_0_R Comdty,2004-08-20,95.943
CV1 N:02_0_R Comdty,2004-08-23,95.906
CV1 N:02_0_R Comdty,2004-08-24,95.761
CV1 N:02_0_R Comdty,2004-08-25,95.751
CV1 N:02_0_R Comdty,2004-08-26,95.797
CV1 N:02_0_R Comdty,2004-08-27,95.807
CV1 N:02_0_R Comdty,2004-08-30,95.816
CV1 N:02_0_R Comdty,2004-08-31,95.926
CV1 N:02_0_R Comdty,2004-09-01,95.88
CV1 N:02_0_R Comdty,2004-09-02,95.816
CV1 N:02_0_R Comdty,2004-09-03,95.659
CV1 N:02_0_R Comdty,2004-09-07,95.623
CV1 N:02_0_R Comdty,2004-09-08,95.687
CV1 N:02_0_R Comdty,2004-09-09,95.659
CV1 N:02_0_R Comdty,2004-09-10,95.77
CV1 N:02_0_R Comdty,2004-09-13,95.779
CV1 N:02_0_R Comdty,2004-09-14,95.77
CV1 N:02_0_R Comdty,2004-09-15,95.742
CV1 N:02_0_R Comdty,2004-09-16,95.853
CV1 N:02_0_R Comdty,2004-09-17,95.862
CV1 N:02_0_R Comdty,2004-09-20,95.88
CV1 N:02_0_R Comdty,2004-09-21,95.816
CV1 N:02_0_R Comdty,2004-09-22,95.853
CV1 N:02_0_R Comdty,2004-09-23,95.807
CV1 N:02_0_R Comdty,2004-09-24,95.77
CV1 N:02_0_R Comdty,2004-09-27,95.825
CV1 N:02_0_R Comdty,2004-09-28,95.843
CV1 N:02_0_R Comdty,2004-09-29,95.807
CV1 N:02_0_R Comdty,2004-09-30,95.779
CV1 N:02_0_R Comdty,2004-10-01,95.742
CV1 N:02_0_R Comdty,2004-10-04,95.751
CV1 N:02_0_R Comdty,2004-10-05,95.779
CV1 N:02_0_R Comdty,2004-10-06,95.751
CV1 N:02_0_R Comdty,2004-10-07,95.733
CV1 N:02_0_R Comdty,2004-10-08,95.807
CV1 N:02_0_R Comdty,2004-10-12,95.88
CV1 N:02_0_R Comdty,2004-10-13,95.908
CV1 N:02_0_R Comdty,2004-10-14,95.991
CV1 N:02_0_R Comdty,2004-10-15,95.972
CV1 N:02_0_R Comdty,2004-10-18,96.0
CV1 N:02_0_R Comdty,2004-10-19,95.991
CV1 N:02_0_R Comdty,2004-10-20,96.083
CV1 N:02_0_R Comdty,2004-10-21,96.046
CV1 N:02_0_R Comdty,2004-10-22,96.037
CV1 N:02_0_R Comdty,2004-10-25,96.083
CV1 N:02_0_R Comdty,2004-10-26,96.018
CV1 N:02_0_R Comdty,2004-10-27,95.908
CV1 N:02_0_R Comdty,2004-10-28,95.899
CV1 N:02_0_R Comdty,2004-10-29,95.899
CV1 N:02_0_R Comdty,2004-11-01,95.862
CV1 N:02_0_R Comdty,2004-11-02,95.871
CV1 N:02_0_R Comdty,2004-11-03,95.926
CV1 N:02_0_R Comdty,2004-11-04,95.917
CV1 N:02_0_R Comdty,2004-11-05,95.751
CV1 N:02_0_R Comdty,2004-11-08,95.751
CV1 N:02_0_R Comdty,2004-11-09,95.77
CV1 N:02_0_R Comdty,2004-11-10,95.77
CV1 N:02_0_R Comdty,2004-11-12,95.88
CV1 N:02_0_R Comdty,2004-11-15,95.88
CV1 N:02_0_R Comdty,2004-11-16,95.843
CV1 N:02_0_R Comdty,2004-11-17,95.981
CV1 N:02_0_R Comdty,2004-11-18,95.945
CV1 N:02_0_R Comdty,2004-11-19,95.963
CV1 N:02_0_R Comdty,2004-11-22,95.917
CV1 N:02_0_R Comdty,2004-11-23,95.963
CV1 N:02_0_R Comdty,2004-11-24,96.018
CV1 N:02_0_R Comdty,2004-11-25,96.193
CV1 N:02_0_R Comdty,2004-11-26,96.202
CV1 N:02_0_R Comdty,2004-11-29,96.119
CV1 N:02_0_R Comdty,2004-11-30,96.262
CV1 N:02_0_R Comdty,2004-12-01,96.299
CV1 N:02_0_R Comdty,2004-12-02,96.248
CV1 N:02_0_R Comdty,2004-12-03,96.48
CV1 N:02_0_R Comdty,2004-12-06,96.452
CV1 N:02_0_R Comdty,2004-12-07,96.558
CV1 N:02_0_R Comdty,2004-12-08,96.544
CV1 N:02_0_R Comdty,2004-12-09,96.48
CV1 N:02_0_R Comdty,2004-12-10,96.443
CV1 N:02_0_R Comdty,2004-12-13,96.452
CV1 N:02_0_R Comdty,2004-12-14,96.498
CV1 N:02_0_R Comdty,2004-12-15,96.535
CV1 N:02_0_R Comdty,2004-12-16,96.475
CV1 N:02_0_R Comdty,2004-12-17,96.401
CV1 N:02_0_R Comdty,2004-12-20,96.382
CV1 N:02_0_R Comdty,2004-12-21,96.392
CV1 N:02_0_R Comdty,2004-12-22,96.313
CV1 N:02_0_R Comdty,2004-12-23,96.345
CV1 N:02_0_R Comdty,2004-12-24,96.345
CV1 N:02_0_R Comdty,2004-12-29,96.29
CV1 N:02_0_R Comdty,2004-12-30,96.318
CV1 N:02_0_R Comdty,2004-12-31,96.359
CV1 N:02_0_R Comdty,2005-01-04,96.295
CV1 N:02_0_R Comdty,2005-01-05,96.295
CV1 N:02_0_R Comdty,2005-01-06,96.35
CV1 N:02_0_R Comdty,2005-01-07,96.216
CV1 N:02_0_R Comdty,2005-01-10,96.193
CV1 N:02_0_R Comdty,2005-01-11,96.239
CV1 N:02_0_R Comdty,2005-01-12,96.318
CV1 N:02_0_R Comdty,2005-01-13,96.433
CV1 N:02_0_R Comdty,2005-01-14,96.429
CV1 N:02_0_R Comdty,2005-01-17,96.461
CV1 N:02_0_R Comdty,2005-01-18,96.48
CV1 N:02_0_R Comdty,2005-01-19,96.493
CV1 N:02_0_R Comdty,2005-01-20,96.489
CV1 N:02_0_R Comdty,2005-01-21,96.489
CV1 N:02_0_R Comdty,2005-01-24,96.466
CV1 N:02_0_R Comdty,2005-01-25,96.563
CV1 N:02_0_R Comdty,2005-01-26,96.614
CV1 N:02_0_R Comdty,2005-01-27,96.493
CV1 N:02_0_R Comdty,2005-01-28,96.526
CV1 N:02_0_R Comdty,2005-01-31,96.507
CV1 N:02_0_R Comdty,2005-02-01,96.493
CV1 N:02_0_R Comdty,2005-02-02,96.475
CV1 N:02_0_R Comdty,2005-02-03,96.438
CV1 N:02_0_R Comdty,2005-02-04,96.521
CV1 N:02_0_R Comdty,2005-02-07,96.507
CV1 N:02_0_R Comdty,2005-02-08,96.447
CV1 N:02_0_R Comdty,2005-02-09,96.512
CV1 N:02_0_R Comdty,2005-02-10,96.489
CV1 N:02_0_R Comdty,2005-02-11,96.461
CV1 N:02_0_R Comdty,2005-02-14,96.507
CV1 N:02_0_R Comdty,2005-02-15,96.512
CV1 N:02_0_R Comdty,2005-02-16,96.461
CV1 N:02_0_R Comdty,2005-02-17,96.48
CV1 N:02_0_R Comdty,2005-02-18,96.429
CV1 N:02_0_R Comdty,2005-02-21,96.466
CV1 N:02_0_R Comdty,2005-02-22,96.549
CV1 N:02_0_R Comdty,2005-02-23,96.512
CV1 N:02_0_R Comdty,2005-02-24,96.401
CV1 N:02_0_R Comdty,2005-02-25,96.461
CV1 N:02_0_R Comdty,2005-02-28,96.452
CV1 N:02_0_R Comdty,2005-03-01,96.424
CV1 N:02_0_R Comdty,2005-03-02,96.415
