name,date,PX_LAST
ES1 N:02_0_R Index,1997-09-10,1101.01
ES1 N:02_0_R Index,1997-09-11,1092.89
ES1 N:02_0_R Index,1997-09-12,1111.53
ES1 N:02_0_R Index,1997-09-15,1108.82
ES1 N:02_0_R Index,1997-09-16,1138.3
ES1 N:02_0_R Index,1997-09-17,1138.3
ES1 N:02_0_R Index,1997-09-18,1140.38
ES1 N:02_0_R Index,1997-09-19,1144.25
ES1 N:02_0_R Index,1997-09-22,1150.5
ES1 N:02_0_R Index,1997-09-23,1145.44
ES1 N:02_0_R Index,1997-09-24,1136.51
ES1 N:02_0_R Index,1997-09-25,1126.99
ES1 N:02_0_R Index,1997-09-26,1135.02
ES1 N:02_0_R Index,1997-09-29,1145.14
ES1 N:02_0_R Index,1997-09-30,1136.51
ES1 N:02_0_R Index,1997-10-01,1147.23
ES1 N:02_0_R Index,1997-10-02,1153.78
ES1 N:02_0_R Index,1997-10-03,1161.52
ES1 N:02_0_R Index,1997-10-06,1167.17
ES1 N:02_0_R Index,1997-10-07,1178.18
ES1 N:02_0_R Index,1997-10-08,1169.55
ES1 N:02_0_R Index,1997-10-09,1164.49
ES1 N:02_0_R Index,1997-10-10,1163.0
ES1 N:02_0_R Index,1997-10-13,1162.41
ES1 N:02_0_R Index,1997-10-14,1163.9
ES1 N:02_0_R Index,1997-10-15,1159.13
ES1 N:02_0_R Index,1997-10-16,1142.76
ES1 N:02_0_R Index,1997-10-17,1129.66
ES1 N:02_0_R Index,1997-10-20,1145.74
ES1 N:02_0_R Index,1997-10-21,1166.28
ES1 N:02_0_R Index,1997-10-22,1160.03
ES1 N:02_0_R Index,1997-10-23,1137.7
ES1 N:02_0_R Index,1997-10-24,1124.01
ES1 N:02_0_R Index,1997-10-27,1040.66
ES1 N:02_0_R Index,1997-10-28,1100.79
ES1 N:02_0_R Index,1997-10-29,1100.49
ES1 N:02_0_R Index,1997-10-30,1075.19
ES1 N:02_0_R Index,1997-10-31,1100.19
ES1 N:02_0_R Index,1997-11-03,1126.09
ES1 N:02_0_R Index,1997-11-04,1121.63
ES1 N:02_0_R Index,1997-11-05,1127.58
ES1 N:02_0_R Index,1997-11-06,1121.92
ES1 N:02_0_R Index,1997-11-07,1108.83
ES1 N:02_0_R Index,1997-11-10,1102.87
ES1 N:02_0_R Index,1997-11-11,1103.17
ES1 N:02_0_R Index,1997-11-12,1081.44
ES1 N:02_0_R Index,1997-11-13,1094.54
ES1 N:02_0_R Index,1997-11-14,1110.32
ES1 N:02_0_R Index,1997-11-17,1131.15
ES1 N:02_0_R Index,1997-11-18,1122.22
ES1 N:02_0_R Index,1997-11-19,1128.47
ES1 N:02_0_R Index,1997-11-20,1146.63
ES1 N:02_0_R Index,1997-11-21,1154.37
ES1 N:02_0_R Index,1997-11-24,1130.86
ES1 N:02_0_R Index,1997-11-25,1133.24
ES1 N:02_0_R Index,1997-11-26,1137.11
ES1 N:02_0_R Index,1997-11-28,1137.11
ES1 N:02_0_R Index,1997-12-01,1166.28
ES1 N:02_0_R Index,1997-12-02,1160.92
ES1 N:02_0_R Index,1997-12-03,1163.9
ES1 N:02_0_R Index,1997-12-04,1163.3
ES1 N:02_0_R Index,1997-12-05,1174.61
ES1 N:02_0_R Index,1997-12-08,1172.23
ES1 N:02_0_R Index,1997-12-09,1165.68
ES1 N:02_0_R Index,1997-12-10,1155.26
ES1 N:02_0_R Index,1997-12-11,1136.51
ES1 N:02_0_R Index,1997-12-12,1137.7
ES1 N:02_0_R Index,1997-12-15,1146.93
ES1 N:02_0_R Index,1997-12-16,1154.37
