name,date,PX_LAST
FB1 N:02_0_R Comdty,1992-06-15,59.81
FB1 N:02_0_R Comdty,1992-06-16,59.7
FB1 N:02_0_R Comdty,1992-06-17,59.66
FB1 N:02_0_R Comdty,1992-06-18,59.64
FB1 N:02_0_R Comdty,1992-06-19,59.62
FB1 N:02_0_R Comdty,1992-06-22,59.59
FB1 N:02_0_R Comdty,1992-06-23,59.45
FB1 N:02_0_R Comdty,1992-06-24,59.4
FB1 N:02_0_R Comdty,1992-06-25,59.3
FB1 N:02_0_R Comdty,1992-06-26,59.39
FB1 N:02_0_R Comdty,1992-06-29,59.38
FB1 N:02_0_R Comdty,1992-06-30,59.37
FB1 N:02_0_R Comdty,1992-07-01,59.36
FB1 N:02_0_R Comdty,1992-07-02,59.41
FB1 N:02_0_R Comdty,1992-07-03,59.63
FB1 N:02_0_R Comdty,1992-07-06,59.65
FB1 N:02_0_R Comdty,1992-07-07,59.59
FB1 N:02_0_R Comdty,1992-07-08,59.56
FB1 N:02_0_R Comdty,1992-07-09,59.53
FB1 N:02_0_R Comdty,1992-07-10,59.5
FB1 N:02_0_R Comdty,1992-07-13,59.4
FB1 N:02_0_R Comdty,1992-07-14,59.4
FB1 N:02_0_R Comdty,1992-07-15,59.42
FB1 N:02_0_R Comdty,1992-07-16,59.38
FB1 N:02_0_R Comdty,1992-07-17,59.22
FB1 N:02_0_R Comdty,1992-07-20,59.25
FB1 N:02_0_R Comdty,1992-07-21,59.31
FB1 N:02_0_R Comdty,1992-07-22,59.32
FB1 N:02_0_R Comdty,1992-07-23,59.49
FB1 N:02_0_R Comdty,1992-07-24,59.7
FB1 N:02_0_R Comdty,1992-07-27,59.65
FB1 N:02_0_R Comdty,1992-07-28,59.7
FB1 N:02_0_R Comdty,1992-07-29,59.87
FB1 N:02_0_R Comdty,1992-07-30,59.66
FB1 N:02_0_R Comdty,1992-07-31,59.59
FB1 N:02_0_R Comdty,1992-08-03,59.72
FB1 N:02_0_R Comdty,1992-08-04,59.66
FB1 N:02_0_R Comdty,1992-08-05,59.6
FB1 N:02_0_R Comdty,1992-08-06,59.63
FB1 N:02_0_R Comdty,1992-08-07,59.66
FB1 N:02_0_R Comdty,1992-08-10,59.64
FB1 N:02_0_R Comdty,1992-08-11,59.61
FB1 N:02_0_R Comdty,1992-08-12,59.55
FB1 N:02_0_R Comdty,1992-08-13,59.43
FB1 N:02_0_R Comdty,1992-08-14,59.49
FB1 N:02_0_R Comdty,1992-08-17,59.49
FB1 N:02_0_R Comdty,1992-08-18,59.38
FB1 N:02_0_R Comdty,1992-08-19,59.26
FB1 N:02_0_R Comdty,1992-08-20,59.36
FB1 N:02_0_R Comdty,1992-08-21,59.4
FB1 N:02_0_R Comdty,1992-08-24,59.43
FB1 N:02_0_R Comdty,1992-08-25,59.52
FB1 N:02_0_R Comdty,1992-08-26,59.5
FB1 N:02_0_R Comdty,1992-08-27,59.51
FB1 N:02_0_R Comdty,1992-08-28,59.63
FB1 N:02_0_R Comdty,1992-08-31,59.56
FB1 N:02_0_R Comdty,1992-09-01,59.53
FB1 N:02_0_R Comdty,1992-09-02,59.22
FB1 N:02_0_R Comdty,1992-09-03,59.07
FB1 N:02_0_R Comdty,1992-09-04,59.09
FB1 N:02_0_R Comdty,1992-09-07,59.31
FB1 N:02_0_R Comdty,1992-09-08,59.49
FB1 N:02_0_R Comdty,1992-09-09,59.5
FB1 N:02_0_R Comdty,1992-09-10,59.5
FB1 N:02_0_R Comdty,1992-09-11,59.46
FB1 N:02_0_R Comdty,1992-09-14,60.15
FB1 N:02_0_R Comdty,1992-09-15,60.05
FB1 N:02_0_R Comdty,1992-09-16,60.52
FB1 N:02_0_R Comdty,1992-09-17,60.55
FB1 N:02_0_R Comdty,1992-09-18,60.72
FB1 N:02_0_R Comdty,1992-09-21,60.71
FB1 N:02_0_R Comdty,1992-09-22,60.98
FB1 N:02_0_R Comdty,1992-09-23,61.21
FB1 N:02_0_R Comdty,1992-09-24,61.4
FB1 N:02_0_R Comdty,1992-09-25,61.35
FB1 N:02_0_R Comdty,1992-09-28,61.11
FB1 N:02_0_R Comdty,1992-09-29,61.23
FB1 N:02_0_R Comdty,1992-09-30,61.42
FB1 N:02_0_R Comdty,1992-10-01,61.46
FB1 N:02_0_R Comdty,1992-10-02,61.53
FB1 N:02_0_R Comdty,1992-10-05,61.83
FB1 N:02_0_R Comdty,1992-10-06,61.82
FB1 N:02_0_R Comdty,1992-10-07,61.91
FB1 N:02_0_R Comdty,1992-10-08,61.81
FB1 N:02_0_R Comdty,1992-10-09,61.65
FB1 N:02_0_R Comdty,1992-10-12,61.49
FB1 N:02_0_R Comdty,1992-10-13,61.74
FB1 N:02_0_R Comdty,1992-10-14,61.58
FB1 N:02_0_R Comdty,1992-10-15,61.71
FB1 N:02_0_R Comdty,1992-10-16,61.87
FB1 N:02_0_R Comdty,1992-10-19,62.05
FB1 N:02_0_R Comdty,1992-10-20,62.01
FB1 N:02_0_R Comdty,1992-10-21,62.02
FB1 N:02_0_R Comdty,1992-10-22,62.01
FB1 N:02_0_R Comdty,1992-10-23,62.15
FB1 N:02_0_R Comdty,1992-10-26,62.15
FB1 N:02_0_R Comdty,1992-10-27,62.22
FB1 N:02_0_R Comdty,1992-10-28,62.33
FB1 N:02_0_R Comdty,1992-10-29,62.24
FB1 N:02_0_R Comdty,1992-10-30,62.15
FB1 N:02_0_R Comdty,1992-11-02,62.15
FB1 N:02_0_R Comdty,1992-11-03,62.21
FB1 N:02_0_R Comdty,1992-11-04,62.22
FB1 N:02_0_R Comdty,1992-11-05,62.22
FB1 N:02_0_R Comdty,1992-11-06,62.12
FB1 N:02_0_R Comdty,1992-11-09,62.12
FB1 N:02_0_R Comdty,1992-11-10,62.09
FB1 N:02_0_R Comdty,1992-11-11,62.0
FB1 N:02_0_R Comdty,1992-11-12,61.98
FB1 N:02_0_R Comdty,1992-11-13,61.89
FB1 N:02_0_R Comdty,1992-11-16,61.87
FB1 N:02_0_R Comdty,1992-11-17,61.82
FB1 N:02_0_R Comdty,1992-11-18,61.93
FB1 N:02_0_R Comdty,1992-11-19,62.2
FB1 N:02_0_R Comdty,1992-11-20,62.42
FB1 N:02_0_R Comdty,1992-11-23,62.55
FB1 N:02_0_R Comdty,1992-11-24,62.55
FB1 N:02_0_R Comdty,1992-11-25,62.63
FB1 N:02_0_R Comdty,1992-11-26,62.7
FB1 N:02_0_R Comdty,1992-11-27,62.7
FB1 N:02_0_R Comdty,1992-11-30,62.56
FB1 N:02_0_R Comdty,1992-12-01,62.69
FB1 N:02_0_R Comdty,1992-12-02,62.76
FB1 N:02_0_R Comdty,1992-12-03,62.99
FB1 N:02_0_R Comdty,1992-12-04,62.92
FB1 N:02_0_R Comdty,1992-12-07,62.97
FB1 N:02_0_R Comdty,1992-12-08,63.33
FB1 N:02_0_R Comdty,1992-12-09,63.4
FB1 N:02_0_R Comdty,1992-12-10,63.68
FB1 N:02_0_R Comdty,1992-12-11,64.12
FB1 N:02_0_R Comdty,1992-12-14,64.42
FB1 N:02_0_R Comdty,1992-12-15,64.81
FB1 N:02_0_R Comdty,1992-12-16,64.88
FB1 N:02_0_R Comdty,1992-12-17,65.08
FB1 N:02_0_R Comdty,1992-12-18,65.02
FB1 N:02_0_R Comdty,1992-12-21,64.78
FB1 N:02_0_R Comdty,1992-12-22,64.88
FB1 N:02_0_R Comdty,1992-12-23,64.86
FB1 N:02_0_R Comdty,1992-12-28,64.88
FB1 N:02_0_R Comdty,1992-12-29,64.91
FB1 N:02_0_R Comdty,1992-12-30,64.94
FB1 N:02_0_R Comdty,1993-01-04,65.04
FB1 N:02_0_R Comdty,1993-01-05,65.53
FB1 N:02_0_R Comdty,1993-01-06,65.85
FB1 N:02_0_R Comdty,1993-01-07,66.13
FB1 N:02_0_R Comdty,1993-01-08,66.29
FB1 N:02_0_R Comdty,1993-01-11,66.19
FB1 N:02_0_R Comdty,1993-01-12,66.19
FB1 N:02_0_R Comdty,1993-01-13,66.01
FB1 N:02_0_R Comdty,1993-01-14,66.0
FB1 N:02_0_R Comdty,1993-01-15,66.01
FB1 N:02_0_R Comdty,1993-01-18,66.03
FB1 N:02_0_R Comdty,1993-01-19,65.87
FB1 N:02_0_R Comdty,1993-01-20,65.82
FB1 N:02_0_R Comdty,1993-01-21,65.82
FB1 N:02_0_R Comdty,1993-01-22,65.85
FB1 N:02_0_R Comdty,1993-01-25,65.78
FB1 N:02_0_R Comdty,1993-01-26,65.75
FB1 N:02_0_R Comdty,1993-01-27,65.68
FB1 N:02_0_R Comdty,1993-01-28,65.79
FB1 N:02_0_R Comdty,1993-01-29,65.85
FB1 N:02_0_R Comdty,1993-02-01,65.94
FB1 N:02_0_R Comdty,1993-02-02,66.03
FB1 N:02_0_R Comdty,1993-02-03,66.35
FB1 N:02_0_R Comdty,1993-02-04,66.84
FB1 N:02_0_R Comdty,1993-02-05,67.24
FB1 N:02_0_R Comdty,1993-02-08,67.15
FB1 N:02_0_R Comdty,1993-02-09,67.12
FB1 N:02_0_R Comdty,1993-02-10,67.12
FB1 N:02_0_R Comdty,1993-02-11,67.1
FB1 N:02_0_R Comdty,1993-02-12,67.12
FB1 N:02_0_R Comdty,1993-02-15,67.01
FB1 N:02_0_R Comdty,1993-02-16,67.24
FB1 N:02_0_R Comdty,1993-02-17,67.37
FB1 N:02_0_R Comdty,1993-02-18,67.76
FB1 N:02_0_R Comdty,1993-02-19,68.26
FB1 N:02_0_R Comdty,1993-02-22,68.62
FB1 N:02_0_R Comdty,1993-02-23,68.71
FB1 N:02_0_R Comdty,1993-02-24,68.6
FB1 N:02_0_R Comdty,1993-02-25,68.81
FB1 N:02_0_R Comdty,1993-02-26,69.29
FB1 N:02_0_R Comdty,1993-03-01,69.74
FB1 N:02_0_R Comdty,1993-03-02,69.71
FB1 N:02_0_R Comdty,1993-03-03,70.07
FB1 N:02_0_R Comdty,1993-03-04,70.31
FB1 N:02_0_R Comdty,1993-03-05,71.02
FB1 N:02_0_R Comdty,1993-03-08,71.22
FB1 N:02_0_R Comdty,1993-03-09,71.12
FB1 N:02_0_R Comdty,1993-03-10,71.16
FB1 N:02_0_R Comdty,1993-03-11,71.11
FB1 N:02_0_R Comdty,1993-03-12,70.82
FB1 N:02_0_R Comdty,1993-03-15,70.99
FB1 N:02_0_R Comdty,1993-03-16,70.82
FB1 N:02_0_R Comdty,1993-03-17,70.79
FB1 N:02_0_R Comdty,1993-03-18,70.79
FB1 N:02_0_R Comdty,1993-03-19,70.79
FB1 N:02_0_R Comdty,1993-03-22,70.75
FB1 N:02_0_R Comdty,1993-03-23,70.58
FB1 N:02_0_R Comdty,1993-03-24,70.19
FB1 N:02_0_R Comdty,1993-03-25,70.36
FB1 N:02_0_R Comdty,1993-03-26,70.38
FB1 N:02_0_R Comdty,1993-03-29,70.36
FB1 N:02_0_R Comdty,1993-03-30,70.34
FB1 N:02_0_R Comdty,1993-03-31,70.31
FB1 N:02_0_R Comdty,1993-04-01,70.23
FB1 N:02_0_R Comdty,1993-04-02,70.31
FB1 N:02_0_R Comdty,1993-04-05,70.27
FB1 N:02_0_R Comdty,1993-04-06,70.41
FB1 N:02_0_R Comdty,1993-04-07,70.47
FB1 N:02_0_R Comdty,1993-04-08,70.45
FB1 N:02_0_R Comdty,1993-04-13,70.55
FB1 N:02_0_R Comdty,1993-04-14,70.41
FB1 N:02_0_R Comdty,1993-04-15,70.29
FB1 N:02_0_R Comdty,1993-04-16,70.27
FB1 N:02_0_R Comdty,1993-04-19,70.27
FB1 N:02_0_R Comdty,1993-04-20,70.18
FB1 N:02_0_R Comdty,1993-04-21,70.11
FB1 N:02_0_R Comdty,1993-04-22,70.2
FB1 N:02_0_R Comdty,1993-04-23,70.1
FB1 N:02_0_R Comdty,1993-04-26,69.99
FB1 N:02_0_R Comdty,1993-04-27,69.92
FB1 N:02_0_R Comdty,1993-04-28,69.76
FB1 N:02_0_R Comdty,1993-04-29,69.1
FB1 N:02_0_R Comdty,1993-04-30,68.97
FB1 N:02_0_R Comdty,1993-05-03,69.19
FB1 N:02_0_R Comdty,1993-05-04,69.23
FB1 N:02_0_R Comdty,1993-05-05,69.67
FB1 N:02_0_R Comdty,1993-05-06,69.56
FB1 N:02_0_R Comdty,1993-05-07,69.56
FB1 N:02_0_R Comdty,1993-05-10,69.62
FB1 N:02_0_R Comdty,1993-05-11,69.69
FB1 N:02_0_R Comdty,1993-05-12,69.89
FB1 N:02_0_R Comdty,1993-05-13,69.96
FB1 N:02_0_R Comdty,1993-05-14,69.86
FB1 N:02_0_R Comdty,1993-05-17,69.83
FB1 N:02_0_R Comdty,1993-05-18,69.73
FB1 N:02_0_R Comdty,1993-05-19,69.55
FB1 N:02_0_R Comdty,1993-05-21,69.16
FB1 N:02_0_R Comdty,1993-05-24,68.87
FB1 N:02_0_R Comdty,1993-05-25,69.06
FB1 N:02_0_R Comdty,1993-05-26,69.09
FB1 N:02_0_R Comdty,1993-05-27,69.22
FB1 N:02_0_R Comdty,1993-05-28,69.13
FB1 N:02_0_R Comdty,1993-06-01,68.91
FB1 N:02_0_R Comdty,1993-06-02,68.93
FB1 N:02_0_R Comdty,1993-06-03,68.94
FB1 N:02_0_R Comdty,1993-06-04,68.85
FB1 N:02_0_R Comdty,1993-06-07,68.87
FB1 N:02_0_R Comdty,1993-06-08,68.88
FB1 N:02_0_R Comdty,1993-06-09,68.96
FB1 N:02_0_R Comdty,1993-06-10,69.1
FB1 N:02_0_R Comdty,1993-06-11,69.12
FB1 N:02_0_R Comdty,1993-06-14,69.35
FB1 N:02_0_R Comdty,1993-06-15,69.41
FB1 N:02_0_R Comdty,1993-06-16,69.47
FB1 N:02_0_R Comdty,1993-06-17,69.54
FB1 N:02_0_R Comdty,1993-06-18,69.61
FB1 N:02_0_R Comdty,1993-06-21,69.86
FB1 N:02_0_R Comdty,1993-06-22,69.82
FB1 N:02_0_R Comdty,1993-06-23,69.89
FB1 N:02_0_R Comdty,1993-06-24,70.01
FB1 N:02_0_R Comdty,1993-06-25,69.97
FB1 N:02_0_R Comdty,1993-06-28,70.07
FB1 N:02_0_R Comdty,1993-06-29,70.21
FB1 N:02_0_R Comdty,1993-06-30,70.13
FB1 N:02_0_R Comdty,1993-07-01,70.06
FB1 N:02_0_R Comdty,1993-07-02,69.99
FB1 N:02_0_R Comdty,1993-07-05,69.87
FB1 N:02_0_R Comdty,1993-07-06,69.91
FB1 N:02_0_R Comdty,1993-07-07,69.88
FB1 N:02_0_R Comdty,1993-07-08,69.99
FB1 N:02_0_R Comdty,1993-07-09,70.07
FB1 N:02_0_R Comdty,1993-07-12,70.11
FB1 N:02_0_R Comdty,1993-07-13,70.14
FB1 N:02_0_R Comdty,1993-07-14,70.25
FB1 N:02_0_R Comdty,1993-07-15,70.28
FB1 N:02_0_R Comdty,1993-07-16,70.34
FB1 N:02_0_R Comdty,1993-07-19,70.29
FB1 N:02_0_R Comdty,1993-07-20,70.08
FB1 N:02_0_R Comdty,1993-07-21,69.87
FB1 N:02_0_R Comdty,1993-07-22,69.96
FB1 N:02_0_R Comdty,1993-07-23,69.83
FB1 N:02_0_R Comdty,1993-07-26,69.91
FB1 N:02_0_R Comdty,1993-07-27,69.83
FB1 N:02_0_R Comdty,1993-07-28,69.78
FB1 N:02_0_R Comdty,1993-07-29,69.85
FB1 N:02_0_R Comdty,1993-07-30,69.94
FB1 N:02_0_R Comdty,1993-08-02,69.93
FB1 N:02_0_R Comdty,1993-08-03,70.09
FB1 N:02_0_R Comdty,1993-08-04,70.13
FB1 N:02_0_R Comdty,1993-08-05,70.24
FB1 N:02_0_R Comdty,1993-08-06,70.24
FB1 N:02_0_R Comdty,1993-08-09,70.17
FB1 N:02_0_R Comdty,1993-08-10,70.24
FB1 N:02_0_R Comdty,1993-08-11,70.22
FB1 N:02_0_R Comdty,1993-08-12,70.18
FB1 N:02_0_R Comdty,1993-08-13,70.14
FB1 N:02_0_R Comdty,1993-08-16,70.06
FB1 N:02_0_R Comdty,1993-08-17,70.07
FB1 N:02_0_R Comdty,1993-08-18,70.07
FB1 N:02_0_R Comdty,1993-08-19,70.13
FB1 N:02_0_R Comdty,1993-08-20,70.07
FB1 N:02_0_R Comdty,1993-08-23,70.04
FB1 N:02_0_R Comdty,1993-08-24,70.02
FB1 N:02_0_R Comdty,1993-08-25,70.09
FB1 N:02_0_R Comdty,1993-08-26,70.07
FB1 N:02_0_R Comdty,1993-08-27,70.09
FB1 N:02_0_R Comdty,1993-08-30,70.07
FB1 N:02_0_R Comdty,1993-08-31,70.1
FB1 N:02_0_R Comdty,1993-09-01,70.14
FB1 N:02_0_R Comdty,1993-09-02,70.16
FB1 N:02_0_R Comdty,1993-09-03,70.21
FB1 N:02_0_R Comdty,1993-09-06,70.29
FB1 N:02_0_R Comdty,1993-09-07,70.34
FB1 N:02_0_R Comdty,1993-09-08,70.32
FB1 N:02_0_R Comdty,1993-09-09,70.27
FB1 N:02_0_R Comdty,1993-09-10,70.21
FB1 N:02_0_R Comdty,1993-09-13,70.21
FB1 N:02_0_R Comdty,1993-09-14,70.14
FB1 N:02_0_R Comdty,1993-09-15,70.02
FB1 N:02_0_R Comdty,1993-09-16,70.04
FB1 N:02_0_R Comdty,1993-09-17,70.13
FB1 N:02_0_R Comdty,1993-09-20,70.13
FB1 N:02_0_R Comdty,1993-09-21,70.21
FB1 N:02_0_R Comdty,1993-09-22,70.23
FB1 N:02_0_R Comdty,1993-09-23,70.23
FB1 N:02_0_R Comdty,1993-09-24,70.3
FB1 N:02_0_R Comdty,1993-09-27,70.48
FB1 N:02_0_R Comdty,1993-09-28,70.6
FB1 N:02_0_R Comdty,1993-09-29,70.6
FB1 N:02_0_R Comdty,1993-09-30,70.54
FB1 N:02_0_R Comdty,1993-10-01,70.61
FB1 N:02_0_R Comdty,1993-10-04,70.64
FB1 N:02_0_R Comdty,1993-10-05,70.75
FB1 N:02_0_R Comdty,1993-10-06,70.81
FB1 N:02_0_R Comdty,1993-10-07,71.02
FB1 N:02_0_R Comdty,1993-10-08,71.33
FB1 N:02_0_R Comdty,1993-10-11,71.35
FB1 N:02_0_R Comdty,1993-10-12,71.47
FB1 N:02_0_R Comdty,1993-10-13,71.57
FB1 N:02_0_R Comdty,1993-10-14,71.55
FB1 N:02_0_R Comdty,1993-10-15,71.67
FB1 N:02_0_R Comdty,1993-10-18,71.66
FB1 N:02_0_R Comdty,1993-10-19,71.69
FB1 N:02_0_R Comdty,1993-10-20,71.71
FB1 N:02_0_R Comdty,1993-10-21,71.57
FB1 N:02_0_R Comdty,1993-10-22,71.68
FB1 N:02_0_R Comdty,1993-10-25,71.64
FB1 N:02_0_R Comdty,1993-10-26,71.66
FB1 N:02_0_R Comdty,1993-10-27,71.56
FB1 N:02_0_R Comdty,1993-10-28,71.57
FB1 N:02_0_R Comdty,1993-10-29,71.57
FB1 N:02_0_R Comdty,1993-11-01,71.43
FB1 N:02_0_R Comdty,1993-11-02,71.49
FB1 N:02_0_R Comdty,1993-11-03,71.52
FB1 N:02_0_R Comdty,1993-11-04,71.51
FB1 N:02_0_R Comdty,1993-11-05,71.34
FB1 N:02_0_R Comdty,1993-11-08,71.32
FB1 N:02_0_R Comdty,1993-11-09,71.48
FB1 N:02_0_R Comdty,1993-11-10,71.45
FB1 N:02_0_R Comdty,1993-11-11,71.37
FB1 N:02_0_R Comdty,1993-11-12,71.45
FB1 N:02_0_R Comdty,1993-11-15,71.48
FB1 N:02_0_R Comdty,1993-11-16,71.46
FB1 N:02_0_R Comdty,1993-11-17,71.5
FB1 N:02_0_R Comdty,1993-11-18,71.53
FB1 N:02_0_R Comdty,1993-11-19,71.48
