name,date,PX_LAST
GC1 N:02_0_R Comdty,1990-01-02,1116.59
GC1 N:02_0_R Comdty,1990-01-03,1100.76
GC1 N:02_0_R Comdty,1990-01-04,1112.98
GC1 N:02_0_R Comdty,1990-01-05,1134.36
GC1 N:02_0_R Comdty,1990-01-08,1124.64
GC1 N:02_0_R Comdty,1990-01-09,1127.97
GC1 N:02_0_R Comdty,1990-01-10,1150.19
GC1 N:02_0_R Comdty,1990-01-11,1154.08
GC1 N:02_0_R Comdty,1990-01-12,1151.58
GC1 N:02_0_R Comdty,1990-01-15,1152.69
GC1 N:02_0_R Comdty,1990-01-16,1144.63
GC1 N:02_0_R Comdty,1990-01-17,1148.8
GC1 N:02_0_R Comdty,1990-01-18,1141.86
GC1 N:02_0_R Comdty,1990-01-19,1141.02
GC1 N:02_0_R Comdty,1990-01-22,1132.97
GC1 N:02_0_R Comdty,1990-01-23,1148.8
GC1 N:02_0_R Comdty,1990-01-24,1159.91
GC1 N:02_0_R Comdty,1990-01-25,1156.02
GC1 N:02_0_R Comdty,1990-01-26,1167.13
GC1 N:02_0_R Comdty,1990-01-29,1164.07
GC1 N:02_0_R Comdty,1990-01-30,1160.79
GC1 N:02_0_R Comdty,1990-01-31,1144.08
GC1 N:02_0_R Comdty,1990-02-01,1159.14
GC1 N:02_0_R Comdty,1990-02-02,1159.42
GC1 N:02_0_R Comdty,1990-02-05,1170.64
GC1 N:02_0_R Comdty,1990-02-06,1167.63
GC1 N:02_0_R Comdty,1990-02-07,1158.6
GC1 N:02_0_R Comdty,1990-02-08,1159.69
GC1 N:02_0_R Comdty,1990-02-09,1151.75
GC1 N:02_0_R Comdty,1990-02-12,1159.96
GC1 N:02_0_R Comdty,1990-02-13,1155.58
GC1 N:02_0_R Comdty,1990-02-14,1152.02
GC1 N:02_0_R Comdty,1990-02-15,1139.7
GC1 N:02_0_R Comdty,1990-02-16,1152.3
GC1 N:02_0_R Comdty,1990-02-20,1159.96
GC1 N:02_0_R Comdty,1990-02-21,1154.49
GC1 N:02_0_R Comdty,1990-02-22,1147.37
GC1 N:02_0_R Comdty,1990-02-23,1145.18
GC1 N:02_0_R Comdty,1990-02-26,1127.65
GC1 N:02_0_R Comdty,1990-02-27,1125.46
GC1 N:02_0_R Comdty,1990-02-28,1119.71
GC1 N:02_0_R Comdty,1990-03-01,1119.98
GC1 N:02_0_R Comdty,1990-03-02,1110.67
GC1 N:02_0_R Comdty,1990-03-05,1113.41
GC1 N:02_0_R Comdty,1990-03-06,1112.04
GC1 N:02_0_R Comdty,1990-03-07,1101.64
GC1 N:02_0_R Comdty,1990-03-08,1100.54
GC1 N:02_0_R Comdty,1990-03-09,1099.72
GC1 N:02_0_R Comdty,1990-03-12,1098.35
GC1 N:02_0_R Comdty,1990-03-13,1097.26
GC1 N:02_0_R Comdty,1990-03-14,1093.97
GC1 N:02_0_R Comdty,1990-03-15,1094.24
GC1 N:02_0_R Comdty,1990-03-16,1097.8
