name,date,PX_LAST
GX1 N:02_0_R Index,1990-11-26,4746.76877
GX1 N:02_0_R Index,1990-11-27,4719.00124
GX1 N:02_0_R Index,1990-11-28,4679.92617
GX1 N:02_0_R Index,1990-11-29,4645.05462
GX1 N:02_0_R Index,1990-11-30,4706.74409
GX1 N:02_0_R Index,1990-12-03,4736.02843
GX1 N:02_0_R Index,1990-12-05,4796.80658
GX1 N:02_0_R Index,1990-12-06,4982.8339
GX1 N:02_0_R Index,1990-12-07,5050.42502
GX1 N:02_0_R Index,1990-12-10,5001.04874
GX1 N:02_0_R Index,1990-12-11,4929.35142
GX1 N:02_0_R Index,1990-12-12,5029.89095
GX1 N:02_0_R Index,1990-12-13,5016.093
GX1 N:02_0_R Index,1990-12-14,5048.12831
GX1 N:02_0_R Index,1990-12-17,4867.24445
GX1 N:02_0_R Index,1990-12-18,4866.6359
GX1 N:02_0_R Index,1990-12-19,4820.8548
GX1 N:02_0_R Index,1990-12-20,4572.98706
GX1 N:02_0_R Index,1990-12-21,4520.12826
GX1 N:02_0_R Index,1990-12-27,4470.21467
GX1 N:02_0_R Index,1990-12-28,4565.52081
GX1 N:02_0_R Index,1991-01-02,4440.68067
GX1 N:02_0_R Index,1991-01-03,4468.34318
GX1 N:02_0_R Index,1991-01-04,4557.81961
GX1 N:02_0_R Index,1991-01-07,4312.11792
GX1 N:02_0_R Index,1991-01-08,4331.98423
GX1 N:02_0_R Index,1991-01-09,4437.17967
GX1 N:02_0_R Index,1991-01-10,4403.73089
GX1 N:02_0_R Index,1991-01-11,4360.35697
GX1 N:02_0_R Index,1991-01-14,4164.81079
GX1 N:02_0_R Index,1991-01-15,4183.95588
GX1 N:02_0_R Index,1991-01-16,4163.02233
GX1 N:02_0_R Index,1991-01-18,4573.25714
GX1 N:02_0_R Index,1991-01-21,4558.28662
GX1 N:02_0_R Index,1991-01-22,4490.62873
GX1 N:02_0_R Index,1991-01-23,4462.9255
GX1 N:02_0_R Index,1991-01-24,4507.32766
GX1 N:02_0_R Index,1991-01-25,4521.95228
GX1 N:02_0_R Index,1991-01-28,4526.72218
GX1 N:02_0_R Index,1991-01-29,4523.03954
GX1 N:02_0_R Index,1991-01-30,4585.77704
GX1 N:02_0_R Index,1991-01-31,4635.75232
GX1 N:02_0_R Index,1991-02-01,4721.66168
GX1 N:02_0_R Index,1991-02-04,4776.9861
GX1 N:02_0_R Index,1991-02-05,4787.48399
GX1 N:02_0_R Index,1991-02-06,4788.0469
GX1 N:02_0_R Index,1991-02-07,4818.75966
GX1 N:02_0_R Index,1991-02-08,4920.25121
GX1 N:02_0_R Index,1991-02-11,5044.91399
GX1 N:02_0_R Index,1991-02-12,4939.44374
GX1 N:02_0_R Index,1991-02-13,4958.78377
GX1 N:02_0_R Index,1991-02-14,4935.29226
GX1 N:02_0_R Index,1991-02-15,5048.82458
GX1 N:02_0_R Index,1991-02-18,5189.53971
GX1 N:02_0_R Index,1991-02-19,5176.33189
GX1 N:02_0_R Index,1991-02-20,5070.88589
GX1 N:02_0_R Index,1991-02-21,5139.41809
GX1 N:02_0_R Index,1991-02-22,5118.8751
GX1 N:02_0_R Index,1991-02-25,5131.71087
GX1 N:02_0_R Index,1991-02-26,4964.88254
GX1 N:02_0_R Index,1991-02-27,5014.0524
GX1 N:02_0_R Index,1991-02-28,4924.72926
GX1 N:02_0_R Index,1991-03-01,4782.35444
GX1 N:02_0_R Index,1991-03-04,4823.30338
GX1 N:02_0_R Index,1991-03-05,4900.62499
GX1 N:02_0_R Index,1991-03-06,5029.18096
GX1 N:02_0_R Index,1991-03-07,4958.03551
GX1 N:02_0_R Index,1991-03-08,4991.039
GX1 N:02_0_R Index,1991-03-11,4808.53243
GX1 N:02_0_R Index,1991-03-12,4866.5952
GX1 N:02_0_R Index,1991-03-13,4759.79999
GX1 N:02_0_R Index,1991-03-14,4851.33975
GX1 N:02_0_R Index,1991-03-15,4736.37408
GX1 N:02_0_R Index,1991-03-18,4591.60622
GX1 N:02_0_R Index,1991-03-19,4469.86567
GX1 N:02_0_R Index,1991-03-20,4447.36009
GX1 N:02_0_R Index,1991-03-21,4509.07985
GX1 N:02_0_R Index,1991-03-22,4463.78246
GX1 N:02_0_R Index,1991-03-25,4374.43847
GX1 N:02_0_R Index,1991-03-26,4285.60218
GX1 N:02_0_R Index,1991-03-27,4297.77857
GX1 N:02_0_R Index,1991-03-28,4328.02946
GX1 N:02_0_R Index,1991-04-02,4421.46451
GX1 N:02_0_R Index,1991-04-03,4596.77466
GX1 N:02_0_R Index,1991-04-04,4550.62722
GX1 N:02_0_R Index,1991-04-05,4569.73793
GX1 N:02_0_R Index,1991-04-08,4526.91304
GX1 N:02_0_R Index,1991-04-09,4557.35066
GX1 N:02_0_R Index,1991-04-10,4503.27621
GX1 N:02_0_R Index,1991-04-11,4532.78931
GX1 N:02_0_R Index,1991-04-12,4563.01327
GX1 N:02_0_R Index,1991-04-15,4611.87721
GX1 N:02_0_R Index,1991-04-16,4615.96159
GX1 N:02_0_R Index,1991-04-17,4689.9503
GX1 N:02_0_R Index,1991-04-18,4588.98808
GX1 N:02_0_R Index,1991-04-19,4419.66591
GX1 N:02_0_R Index,1991-04-22,4273.09595
GX1 N:02_0_R Index,1991-04-23,4420.5706
GX1 N:02_0_R Index,1991-04-24,4420.24024
GX1 N:02_0_R Index,1991-04-25,4440.87601
GX1 N:02_0_R Index,1991-04-26,4436.84593
GX1 N:02_0_R Index,1991-04-29,4415.21396
GX1 N:02_0_R Index,1991-04-30,4490.83666
GX1 N:02_0_R Index,1991-05-02,4554.83211
GX1 N:02_0_R Index,1991-05-03,4488.72245
GX1 N:02_0_R Index,1991-05-06,4486.33093
GX1 N:02_0_R Index,1991-05-07,4545.28643
GX1 N:02_0_R Index,1991-05-08,4452.49109
GX1 N:02_0_R Index,1991-05-10,4511.54278
GX1 N:02_0_R Index,1991-05-13,4509.58416
GX1 N:02_0_R Index,1991-05-14,4488.0497
GX1 N:02_0_R Index,1991-05-15,4514.4317
GX1 N:02_0_R Index,1991-05-16,4516.88962
GX1 N:02_0_R Index,1991-05-17,4385.56227
GX1 N:02_0_R Index,1991-05-21,4517.71207
GX1 N:02_0_R Index,1991-05-22,4545.4168
GX1 N:02_0_R Index,1991-05-23,4606.98339
GX1 N:02_0_R Index,1991-05-24,4663.387
GX1 N:02_0_R Index,1991-05-27,4721.21973
GX1 N:02_0_R Index,1991-05-28,4751.51499
GX1 N:02_0_R Index,1991-05-29,4694.59883
GX1 N:02_0_R Index,1991-05-31,4704.80035
GX1 N:02_0_R Index,1991-06-03,4630.45579
GX1 N:02_0_R Index,1991-06-04,4618.92366
GX1 N:02_0_R Index,1991-06-05,4693.41914
GX1 N:02_0_R Index,1991-06-06,4658.22137
GX1 N:02_0_R Index,1991-06-07,4610.7866
GX1 N:02_0_R Index,1991-06-10,4614.87254
GX1 N:02_0_R Index,1991-06-11,4641.99328
GX1 N:02_0_R Index,1991-06-12,4518.24791
GX1 N:02_0_R Index,1991-06-13,4513.71042
GX1 N:02_0_R Index,1991-06-14,4556.54519
GX1 N:02_0_R Index,1991-06-17,4502.40644
GX1 N:02_0_R Index,1991-06-18,4475.12464
GX1 N:02_0_R Index,1991-06-19,4479.30754
GX1 N:02_0_R Index,1991-06-20,4482.29174
GX1 N:02_0_R Index,1991-06-21,4555.90379
GX1 N:02_0_R Index,1991-06-24,4520.70249
GX1 N:02_0_R Index,1991-06-25,4469.93042
GX1 N:02_0_R Index,1991-06-26,4447.76464
GX1 N:02_0_R Index,1991-06-27,4382.01994
GX1 N:02_0_R Index,1991-06-28,4242.15942
GX1 N:02_0_R Index,1991-07-01,4243.53294
GX1 N:02_0_R Index,1991-07-02,4165.04155
