name,date,PX_LAST
HI1 N:02_0_R Index,1992-04-02,456.70536
HI1 N:02_0_R Index,1992-04-03,455.25676
HI1 N:02_0_R Index,1992-04-06,454.6058
HI1 N:02_0_R Index,1992-04-07,458.27218
HI1 N:02_0_R Index,1992-04-08,449.33372
HI1 N:02_0_R Index,1992-04-09,438.81179
HI1 N:02_0_R Index,1992-04-10,458.01733
HI1 N:02_0_R Index,1992-04-13,453.20614
HI1 N:02_0_R Index,1992-04-14,455.54692
HI1 N:02_0_R Index,1992-04-15,464.44828
HI1 N:02_0_R Index,1992-04-16,473.05302
HI1 N:02_0_R Index,1992-04-21,471.74624
HI1 N:02_0_R Index,1992-04-22,485.34015
HI1 N:02_0_R Index,1992-04-23,492.11704
HI1 N:02_0_R Index,1992-04-24,492.95162
HI1 N:02_0_R Index,1992-04-27,501.54477
HI1 N:02_0_R Index,1992-04-28,494.86604
HI1 N:02_0_R Index,1992-04-29,493.39049
HI1 N:02_0_R Index,1992-04-30,494.51515
HI1 N:02_0_R Index,1992-05-01,509.46471
HI1 N:02_0_R Index,1992-05-04,520.40282
HI1 N:02_0_R Index,1992-05-05,520.08477
HI1 N:02_0_R Index,1992-05-06,518.54097
HI1 N:02_0_R Index,1992-05-07,525.42402
HI1 N:02_0_R Index,1992-05-08,520.34523
HI1 N:02_0_R Index,1992-05-11,520.34523
HI1 N:02_0_R Index,1992-05-12,530.88541
HI1 N:02_0_R Index,1992-05-13,535.88187
HI1 N:02_0_R Index,1992-05-14,537.5326
HI1 N:02_0_R Index,1992-05-15,531.99103
HI1 N:02_0_R Index,1992-05-18,528.10779
HI1 N:02_0_R Index,1992-05-19,527.64575
HI1 N:02_0_R Index,1992-05-20,540.8375
HI1 N:02_0_R Index,1992-05-21,549.21215
HI1 N:02_0_R Index,1992-05-22,545.95586
HI1 N:02_0_R Index,1992-05-25,556.82019
HI1 N:02_0_R Index,1992-05-26,556.83942
HI1 N:02_0_R Index,1992-05-27,559.8627
HI1 N:02_0_R Index,1992-05-28,556.5984
HI1 N:02_0_R Index,1992-05-29,566.25396
HI1 N:02_0_R Index,1992-06-01,562.51928
HI1 N:02_0_R Index,1992-06-02,563.33638
HI1 N:02_0_R Index,1992-06-03,559.33255
HI1 N:02_0_R Index,1992-06-04,561.48988
HI1 N:02_0_R Index,1992-06-08,554.41287
HI1 N:02_0_R Index,1992-06-09,547.37757
HI1 N:02_0_R Index,1992-06-10,541.08191
HI1 N:02_0_R Index,1992-06-11,542.77478
HI1 N:02_0_R Index,1992-06-12,534.71059
HI1 N:02_0_R Index,1992-06-16,541.26524
HI1 N:02_0_R Index,1992-06-17,537.17517
HI1 N:02_0_R Index,1992-06-18,533.32511
HI1 N:02_0_R Index,1992-06-19,535.2707
HI1 N:02_0_R Index,1992-06-22,530.0944
HI1 N:02_0_R Index,1992-06-23,544.11418
HI1 N:02_0_R Index,1992-06-24,547.25866
HI1 N:02_0_R Index,1992-06-25,561.00888
HI1 N:02_0_R Index,1992-06-26,559.57837
HI1 N:02_0_R Index,1992-06-29,555.95513
HI1 N:02_0_R Index,1992-06-30,562.68185
HI1 N:02_0_R Index,1992-07-01,562.71825
HI1 N:02_0_R Index,1992-07-02,554.83287
HI1 N:02_0_R Index,1992-07-03,552.37917
HI1 N:02_0_R Index,1992-07-06,548.31757
HI1 N:02_0_R Index,1992-07-07,540.64638
HI1 N:02_0_R Index,1992-07-08,544.90541
HI1 N:02_0_R Index,1992-07-09,539.0633
HI1 N:02_0_R Index,1992-07-10,544.22107
HI1 N:02_0_R Index,1992-07-13,562.68534
HI1 N:02_0_R Index,1992-07-14,558.45669
HI1 N:02_0_R Index,1992-07-15,563.08284
HI1 N:02_0_R Index,1992-07-16,557.86754
HI1 N:02_0_R Index,1992-07-17,558.03677
HI1 N:02_0_R Index,1992-07-20,549.12336
HI1 N:02_0_R Index,1992-07-21,550.99614
HI1 N:02_0_R Index,1992-07-23,544.22141
HI1 N:02_0_R Index,1992-07-24,532.95626
HI1 N:02_0_R Index,1992-07-27,520.13826
HI1 N:02_0_R Index,1992-07-28,528.09266
HI1 N:02_0_R Index,1992-07-29,534.69701
HI1 N:02_0_R Index,1992-07-30,530.02905
HI1 N:02_0_R Index,1992-07-31,535.75792
HI1 N:02_0_R Index,1992-08-03,538.96935
HI1 N:02_0_R Index,1992-08-04,532.59692
HI1 N:02_0_R Index,1992-08-05,533.5972
HI1 N:02_0_R Index,1992-08-06,534.08757
HI1 N:02_0_R Index,1992-08-07,535.6246
HI1 N:02_0_R Index,1992-08-10,535.90512
HI1 N:02_0_R Index,1992-08-11,545.58271
HI1 N:02_0_R Index,1992-08-12,537.04797
HI1 N:02_0_R Index,1992-08-13,539.73637
HI1 N:02_0_R Index,1992-08-14,534.98747
HI1 N:02_0_R Index,1992-08-17,524.89382
HI1 N:02_0_R Index,1992-08-18,524.21396
HI1 N:02_0_R Index,1992-08-19,516.11227
HI1 N:02_0_R Index,1992-08-20,509.45812
HI1 N:02_0_R Index,1992-08-21,506.48815
HI1 N:02_0_R Index,1992-08-24,493.20907
HI1 N:02_0_R Index,1992-08-25,484.5859
HI1 N:02_0_R Index,1992-08-26,502.88255
HI1 N:02_0_R Index,1992-08-27,497.64488
HI1 N:02_0_R Index,1992-08-28,510.64128
HI1 N:02_0_R Index,1992-09-01,518.23545
HI1 N:02_0_R Index,1992-09-02,520.53463
HI1 N:02_0_R Index,1992-09-03,519.24709
HI1 N:02_0_R Index,1992-09-04,521.55726
HI1 N:02_0_R Index,1992-09-07,520.27219
HI1 N:02_0_R Index,1992-09-08,522.1968
HI1 N:02_0_R Index,1992-09-09,524.50279
