name,date,PX_LAST
HO1 N:02_0_R Comdty,1990-01-08,0.19935
HO1 N:02_0_R Comdty,1990-01-09,0.20158
HO1 N:02_0_R Comdty,1990-01-10,0.20725
HO1 N:02_0_R Comdty,1990-01-11,0.21481
HO1 N:02_0_R Comdty,1990-01-12,0.21584
HO1 N:02_0_R Comdty,1990-01-15,0.20019
HO1 N:02_0_R Comdty,1990-01-16,0.19842
HO1 N:02_0_R Comdty,1990-01-17,0.18754
HO1 N:02_0_R Comdty,1990-01-18,0.19163
HO1 N:02_0_R Comdty,1990-01-19,0.19727
HO1 N:02_0_R Comdty,1990-01-22,0.189
HO1 N:02_0_R Comdty,1990-01-23,0.1837
HO1 N:02_0_R Comdty,1990-01-24,0.1846
HO1 N:02_0_R Comdty,1990-01-25,0.18522
HO1 N:02_0_R Comdty,1990-01-26,0.18469
HO1 N:02_0_R Comdty,1990-01-29,0.18937
HO1 N:02_0_R Comdty,1990-01-30,0.18751
HO1 N:02_0_R Comdty,1990-01-31,0.18243
HO1 N:02_0_R Comdty,1990-02-06,0.18321
HO1 N:02_0_R Comdty,1990-02-07,0.18223
HO1 N:02_0_R Comdty,1990-02-08,0.18038
HO1 N:02_0_R Comdty,1990-02-09,0.17959
HO1 N:02_0_R Comdty,1990-02-12,0.18243
HO1 N:02_0_R Comdty,1990-02-13,0.18536
HO1 N:02_0_R Comdty,1990-02-14,0.18794
HO1 N:02_0_R Comdty,1990-02-15,0.19123
HO1 N:02_0_R Comdty,1990-02-16,0.18742
HO1 N:02_0_R Comdty,1990-02-20,0.18709
HO1 N:02_0_R Comdty,1990-02-21,0.18758
HO1 N:02_0_R Comdty,1990-02-22,0.1896
HO1 N:02_0_R Comdty,1990-02-23,0.19009
HO1 N:02_0_R Comdty,1990-02-26,0.19254
HO1 N:02_0_R Comdty,1990-02-27,0.18964
HO1 N:02_0_R Comdty,1990-02-28,0.1869
HO1 N:02_0_R Comdty,1990-03-06,0.18441
HO1 N:02_0_R Comdty,1990-03-07,0.1811
HO1 N:02_0_R Comdty,1990-03-08,0.17836
HO1 N:02_0_R Comdty,1990-03-09,0.17359
HO1 N:02_0_R Comdty,1990-03-12,0.17252
HO1 N:02_0_R Comdty,1990-03-13,0.17246
HO1 N:02_0_R Comdty,1990-03-14,0.1741
HO1 N:02_0_R Comdty,1990-03-15,0.1772
HO1 N:02_0_R Comdty,1990-03-16,0.17552
HO1 N:02_0_R Comdty,1990-03-19,0.17578
HO1 N:02_0_R Comdty,1990-03-20,0.17517
HO1 N:02_0_R Comdty,1990-03-21,0.179
HO1 N:02_0_R Comdty,1990-03-22,0.17729
HO1 N:02_0_R Comdty,1990-03-23,0.17874
HO1 N:02_0_R Comdty,1990-03-26,0.17623
HO1 N:02_0_R Comdty,1990-03-27,0.17832
HO1 N:02_0_R Comdty,1990-03-28,0.17961
HO1 N:02_0_R Comdty,1990-03-29,0.18103
HO1 N:02_0_R Comdty,1990-03-30,0.18377
HO1 N:02_0_R Comdty,1990-04-05,0.18136
HO1 N:02_0_R Comdty,1990-04-06,0.18272
HO1 N:02_0_R Comdty,1990-04-09,0.18054
HO1 N:02_0_R Comdty,1990-04-10,0.17826
HO1 N:02_0_R Comdty,1990-04-11,0.18244
HO1 N:02_0_R Comdty,1990-04-12,0.18312
HO1 N:02_0_R Comdty,1990-04-16,0.18615
HO1 N:02_0_R Comdty,1990-04-17,0.18438
HO1 N:02_0_R Comdty,1990-04-18,0.17925
HO1 N:02_0_R Comdty,1990-04-19,0.17962
HO1 N:02_0_R Comdty,1990-04-20,0.1801
HO1 N:02_0_R Comdty,1990-04-23,0.18071
HO1 N:02_0_R Comdty,1990-04-24,0.17911
HO1 N:02_0_R Comdty,1990-04-25,0.17826
HO1 N:02_0_R Comdty,1990-04-26,0.18054
HO1 N:02_0_R Comdty,1990-04-27,0.18282
HO1 N:02_0_R Comdty,1990-04-30,0.19231
HO1 N:02_0_R Comdty,1990-05-07,0.1942
HO1 N:02_0_R Comdty,1990-05-08,0.19766
HO1 N:02_0_R Comdty,1990-05-09,0.19766
HO1 N:02_0_R Comdty,1990-05-10,0.19909
HO1 N:02_0_R Comdty,1990-05-11,0.19604
HO1 N:02_0_R Comdty,1990-05-14,0.20186
HO1 N:02_0_R Comdty,1990-05-15,0.19912
HO1 N:02_0_R Comdty,1990-05-16,0.19878
HO1 N:02_0_R Comdty,1990-05-17,0.20005
HO1 N:02_0_R Comdty,1990-05-18,0.19989
HO1 N:02_0_R Comdty,1990-05-21,0.19805
HO1 N:02_0_R Comdty,1990-05-22,0.19789
HO1 N:02_0_R Comdty,1990-05-23,0.19331
HO1 N:02_0_R Comdty,1990-05-24,0.19177
HO1 N:02_0_R Comdty,1990-05-25,0.19119
HO1 N:02_0_R Comdty,1990-05-29,0.19343
HO1 N:02_0_R Comdty,1990-05-30,0.19693
HO1 N:02_0_R Comdty,1990-05-31,0.19277
HO1 N:02_0_R Comdty,1990-06-06,0.19359
HO1 N:02_0_R Comdty,1990-06-07,0.19191
HO1 N:02_0_R Comdty,1990-06-08,0.19318
HO1 N:02_0_R Comdty,1990-06-11,0.19118
HO1 N:02_0_R Comdty,1990-06-12,0.1976
HO1 N:02_0_R Comdty,1990-06-13,0.19875
HO1 N:02_0_R Comdty,1990-06-14,0.19846
HO1 N:02_0_R Comdty,1990-06-15,0.19793
HO1 N:02_0_R Comdty,1990-06-18,0.19584
HO1 N:02_0_R Comdty,1990-06-19,0.19408
HO1 N:02_0_R Comdty,1990-06-20,0.19494
HO1 N:02_0_R Comdty,1990-06-21,0.19604
HO1 N:02_0_R Comdty,1990-06-22,0.19911
HO1 N:02_0_R Comdty,1990-06-25,0.20018
HO1 N:02_0_R Comdty,1990-06-26,0.19842
HO1 N:02_0_R Comdty,1990-06-27,0.19613
HO1 N:02_0_R Comdty,1990-06-28,0.20063
HO1 N:02_0_R Comdty,1990-06-29,0.19915
HO1 N:02_0_R Comdty,1990-07-02,0.19915
HO1 N:02_0_R Comdty,1990-07-03,0.19915
HO1 N:02_0_R Comdty,1990-07-05,0.19915
HO1 N:02_0_R Comdty,1990-07-06,0.19915
HO1 N:02_0_R Comdty,1990-07-09,0.20163
HO1 N:02_0_R Comdty,1990-07-10,0.2032
HO1 N:02_0_R Comdty,1990-07-11,0.20773
HO1 N:02_0_R Comdty,1990-07-12,0.2187
HO1 N:02_0_R Comdty,1990-07-13,0.22352
HO1 N:02_0_R Comdty,1990-07-16,0.23189
HO1 N:02_0_R Comdty,1990-07-17,0.23123
HO1 N:02_0_R Comdty,1990-07-18,0.23136
HO1 N:02_0_R Comdty,1990-07-19,0.23247
HO1 N:02_0_R Comdty,1990-07-20,0.23004
HO1 N:02_0_R Comdty,1990-07-23,0.23297
HO1 N:02_0_R Comdty,1990-07-24,0.23635
HO1 N:02_0_R Comdty,1990-07-25,0.23404
HO1 N:02_0_R Comdty,1990-07-26,0.23635
HO1 N:02_0_R Comdty,1990-07-27,0.2349
HO1 N:02_0_R Comdty,1990-07-30,0.23474
HO1 N:02_0_R Comdty,1990-07-31,0.23548
HO1 N:02_0_R Comdty,1990-08-06,0.26721
HO1 N:02_0_R Comdty,1990-08-07,0.26576
HO1 N:02_0_R Comdty,1990-08-08,0.24804
HO1 N:02_0_R Comdty,1990-08-09,0.24676
HO1 N:02_0_R Comdty,1990-08-10,0.25681
HO1 N:02_0_R Comdty,1990-08-13,0.26544
HO1 N:02_0_R Comdty,1990-08-14,0.25808
HO1 N:02_0_R Comdty,1990-08-15,0.25766
HO1 N:02_0_R Comdty,1990-08-16,0.26692
HO1 N:02_0_R Comdty,1990-08-17,0.28485
HO1 N:02_0_R Comdty,1990-08-20,0.29341
HO1 N:02_0_R Comdty,1990-08-21,0.29607
HO1 N:02_0_R Comdty,1990-08-22,0.32309
HO1 N:02_0_R Comdty,1990-08-23,0.34035
HO1 N:02_0_R Comdty,1990-08-24,0.32171
HO1 N:02_0_R Comdty,1990-08-27,0.27622
HO1 N:02_0_R Comdty,1990-08-28,0.28125
HO1 N:02_0_R Comdty,1990-08-29,0.25338
HO1 N:02_0_R Comdty,1990-08-30,0.26717
HO1 N:02_0_R Comdty,1990-08-31,0.26841
HO1 N:02_0_R Comdty,1990-09-10,0.27451
HO1 N:02_0_R Comdty,1990-09-11,0.26537
HO1 N:02_0_R Comdty,1990-09-12,0.26397
HO1 N:02_0_R Comdty,1990-09-13,0.26681
HO1 N:02_0_R Comdty,1990-09-14,0.2646
HO1 N:02_0_R Comdty,1990-09-17,0.27266
HO1 N:02_0_R Comdty,1990-09-18,0.27624
HO1 N:02_0_R Comdty,1990-09-19,0.28295
HO1 N:02_0_R Comdty,1990-09-20,0.29359
HO1 N:02_0_R Comdty,1990-09-21,0.31069
HO1 N:02_0_R Comdty,1990-09-24,0.33214
HO1 N:02_0_R Comdty,1990-09-25,0.32345
HO1 N:02_0_R Comdty,1990-09-26,0.32782
HO1 N:02_0_R Comdty,1990-09-27,0.33358
HO1 N:02_0_R Comdty,1990-09-28,0.33553
HO1 N:02_0_R Comdty,1990-10-04,0.33725
HO1 N:02_0_R Comdty,1990-10-05,0.34663
HO1 N:02_0_R Comdty,1990-10-08,0.34751
HO1 N:02_0_R Comdty,1990-10-09,0.35828
HO1 N:02_0_R Comdty,1990-10-10,0.34106
HO1 N:02_0_R Comdty,1990-10-11,0.35389
HO1 N:02_0_R Comdty,1990-10-12,0.35561
HO1 N:02_0_R Comdty,1990-10-15,0.3445
HO1 N:02_0_R Comdty,1990-10-16,0.35102
HO1 N:02_0_R Comdty,1990-10-17,0.33161
HO1 N:02_0_R Comdty,1990-10-18,0.32574
HO1 N:02_0_R Comdty,1990-10-19,0.29837
HO1 N:02_0_R Comdty,1990-10-22,0.25645
HO1 N:02_0_R Comdty,1990-10-23,0.27359
