name,date,PX_LAST
IH1 N:02_0_R Index,2000-09-26,2029.64
IH1 N:02_0_R Index,2000-09-27,2022.35
IH1 N:02_0_R Index,2000-09-28,2028.83
IH1 N:02_0_R Index,2000-09-29,2053.94
IH1 N:02_0_R Index,2000-10-03,2058.8
IH1 N:02_0_R Index,2000-10-04,2078.23
IH1 N:02_0_R Index,2000-10-05,2060.42
IH1 N:02_0_R Index,2000-10-06,2062.04
IH1 N:02_0_R Index,2000-10-09,2051.51
IH1 N:02_0_R Index,2000-10-10,1968.09
IH1 N:02_0_R Index,2000-10-11,1831.21
IH1 N:02_0_R Index,2000-10-12,1893.57
IH1 N:02_0_R Index,2000-10-13,1846.6
IH1 N:02_0_R Index,2000-10-16,1848.22
IH1 N:02_0_R Index,2000-10-17,1842.55
IH1 N:02_0_R Index,2000-10-18,1809.34
IH1 N:02_0_R Index,2000-10-19,1870.9
IH1 N:02_0_R Index,2000-10-20,1903.29
IH1 N:02_0_R Index,2000-10-23,1872.52
IH1 N:02_0_R Index,2000-10-24,1890.43
IH1 N:02_0_R Index,2000-10-25,1919.74
IH1 N:02_0_R Index,2000-10-27,1913.22
IH1 N:02_0_R Index,2000-10-30,1894.5
IH1 N:02_0_R Index,2000-10-31,1903.45
IH1 N:02_0_R Index,2000-11-01,1949.05
IH1 N:02_0_R Index,2000-11-02,1988.12
IH1 N:02_0_R Index,2000-11-03,2015.81
IH1 N:02_0_R Index,2000-11-06,2012.55
IH1 N:02_0_R Index,2000-11-07,2023.13
IH1 N:02_0_R Index,2000-11-08,2084.19
IH1 N:02_0_R Index,2000-11-09,2037.79
IH1 N:02_0_R Index,2000-11-10,2006.85
IH1 N:02_0_R Index,2000-11-13,1946.6
IH1 N:02_0_R Index,2000-11-14,2057.33
IH1 N:02_0_R Index,2000-11-15,2014.18
IH1 N:02_0_R Index,2000-11-16,1981.61
IH1 N:02_0_R Index,2000-11-17,2002.78
IH1 N:02_0_R Index,2000-11-20,1990.57
IH1 N:02_0_R Index,2000-11-21,1986.5
IH1 N:02_0_R Index,2000-11-22,1984.05
IH1 N:02_0_R Index,2000-11-23,1978.35
IH1 N:02_0_R Index,2000-11-24,1996.27
IH1 N:02_0_R Index,2000-11-27,2041.04
IH1 N:02_0_R Index,2000-11-28,2073.61
IH1 N:02_0_R Index,2000-11-29,2050.07
IH1 N:02_0_R Index,2000-11-30,2042.77
IH1 N:02_0_R Index,2000-12-01,2059.81
IH1 N:02_0_R Index,2000-12-04,2077.67
IH1 N:02_0_R Index,2000-12-05,2092.28
IH1 N:02_0_R Index,2000-12-06,2110.13
IH1 N:02_0_R Index,2000-12-07,2097.14
IH1 N:02_0_R Index,2000-12-08,2116.62
IH1 N:02_0_R Index,2000-12-11,2155.58
IH1 N:02_0_R Index,2000-12-12,2162.88
IH1 N:02_0_R Index,2000-12-13,2194.54
IH1 N:02_0_R Index,2000-12-14,2186.42
IH1 N:02_0_R Index,2000-12-15,2141.78
IH1 N:02_0_R Index,2000-12-18,2131.23
IH1 N:02_0_R Index,2000-12-19,2119.06
IH1 N:02_0_R Index,2000-12-20,2109.32
IH1 N:02_0_R Index,2000-12-21,2081.72
IH1 N:02_0_R Index,2000-12-22,2032.22
IH1 N:02_0_R Index,2000-12-26,1980.28
IH1 N:02_0_R Index,2000-12-27,2019.06
IH1 N:02_0_R Index,2000-12-28,2037.21
IH1 N:02_0_R Index,2000-12-29,2073.51
IH1 N:02_0_R Index,2001-01-02,2111.47
IH1 N:02_0_R Index,2001-01-03,2113.94
IH1 N:02_0_R Index,2001-01-04,2170.05
IH1 N:02_0_R Index,2001-01-05,2168.4
IH1 N:02_0_R Index,2001-01-08,2152.73
IH1 N:02_0_R Index,2001-01-09,2156.85
IH1 N:02_0_R Index,2001-01-10,2120.55
IH1 N:02_0_R Index,2001-01-11,2119.72
IH1 N:02_0_R Index,2001-01-12,2108.99
IH1 N:02_0_R Index,2001-01-15,2108.99
IH1 N:02_0_R Index,2001-01-16,2129.62
IH1 N:02_0_R Index,2001-01-17,2137.05
IH1 N:02_0_R Index,2001-01-18,2128.8
IH1 N:02_0_R Index,2001-01-19,2145.3
IH1 N:02_0_R Index,2001-01-22,2203.06
IH1 N:02_0_R Index,2001-01-23,2241.3
IH1 N:02_0_R Index,2001-01-24,2259.59
IH1 N:02_0_R Index,2001-01-25,2272.06
IH1 N:02_0_R Index,2001-01-29,2229.66
IH1 N:02_0_R Index,2001-01-30,2252.94
IH1 N:02_0_R Index,2001-01-31,2244.62
IH1 N:02_0_R Index,2001-02-01,2242.96
IH1 N:02_0_R Index,2001-02-02,2252.94
IH1 N:02_0_R Index,2001-02-05,2294.5
IH1 N:02_0_R Index,2001-02-06,2301.99
IH1 N:02_0_R Index,2001-02-07,2274.55
IH1 N:02_0_R Index,2001-02-08,2316.12
IH1 N:02_0_R Index,2001-02-09,2332.75
IH1 N:02_0_R Index,2001-02-12,2326.93
IH1 N:02_0_R Index,2001-02-13,2296.17
IH1 N:02_0_R Index,2001-02-14,2312.79
IH1 N:02_0_R Index,2001-02-15,2352.7
IH1 N:02_0_R Index,2001-02-16,2287.02
IH1 N:02_0_R Index,2001-02-19,2299.49
IH1 N:02_0_R Index,2001-02-20,2297.83
IH1 N:02_0_R Index,2001-02-21,2277.88
IH1 N:02_0_R Index,2001-02-22,2252.94
IH1 N:02_0_R Index,2001-02-23,2214.7
IH1 N:02_0_R Index,2001-02-26,2201.39
IH1 N:02_0_R Index,2001-02-27,2173.13
