name,date,PX_LAST
JB1 N:02_0_R Comdty,1990-01-04,62.41
JB1 N:02_0_R Comdty,1990-01-05,62.28
JB1 N:02_0_R Comdty,1990-01-08,61.99
JB1 N:02_0_R Comdty,1990-01-09,61.22
JB1 N:02_0_R Comdty,1990-01-10,60.99
JB1 N:02_0_R Comdty,1990-01-11,60.81
JB1 N:02_0_R Comdty,1990-01-12,60.06
JB1 N:02_0_R Comdty,1990-01-16,59.16
JB1 N:02_0_R Comdty,1990-01-17,59.27
JB1 N:02_0_R Comdty,1990-01-18,58.49
JB1 N:02_0_R Comdty,1990-01-19,58.85
JB1 N:02_0_R Comdty,1990-01-22,58.96
JB1 N:02_0_R Comdty,1990-01-23,59.14
JB1 N:02_0_R Comdty,1990-01-24,58.77
JB1 N:02_0_R Comdty,1990-01-25,59.39
JB1 N:02_0_R Comdty,1990-01-26,59.57
JB1 N:02_0_R Comdty,1990-01-29,59.7
JB1 N:02_0_R Comdty,1990-01-30,59.42
JB1 N:02_0_R Comdty,1990-01-31,59.05
JB1 N:02_0_R Comdty,1990-02-01,59.55
JB1 N:02_0_R Comdty,1990-02-02,59.52
JB1 N:02_0_R Comdty,1990-02-05,59.17
JB1 N:02_0_R Comdty,1990-02-06,59.21
JB1 N:02_0_R Comdty,1990-02-07,59.11
JB1 N:02_0_R Comdty,1990-02-08,58.75
JB1 N:02_0_R Comdty,1990-02-09,59.03
JB1 N:02_0_R Comdty,1990-02-13,58.79
JB1 N:02_0_R Comdty,1990-02-14,58.56
JB1 N:02_0_R Comdty,1990-02-15,58.54
JB1 N:02_0_R Comdty,1990-02-16,58.23
JB1 N:02_0_R Comdty,1990-02-19,58.04
JB1 N:02_0_R Comdty,1990-02-20,57.69
JB1 N:02_0_R Comdty,1990-02-21,58.02
JB1 N:02_0_R Comdty,1990-02-22,58.42
JB1 N:02_0_R Comdty,1990-02-23,57.98
JB1 N:02_0_R Comdty,1990-02-26,57.84
JB1 N:02_0_R Comdty,1990-02-27,57.84
JB1 N:02_0_R Comdty,1990-02-28,57.64
JB1 N:02_0_R Comdty,1990-03-01,57.47
JB1 N:02_0_R Comdty,1990-03-02,57.2
JB1 N:02_0_R Comdty,1990-03-05,57.31
JB1 N:02_0_R Comdty,1990-03-06,57.45
JB1 N:02_0_R Comdty,1990-03-07,57.13
JB1 N:02_0_R Comdty,1990-03-08,57.23
JB1 N:02_0_R Comdty,1990-03-09,57.2
JB1 N:02_0_R Comdty,1990-03-12,56.97
JB1 N:02_0_R Comdty,1990-03-13,56.62
JB1 N:02_0_R Comdty,1990-03-14,56.57
JB1 N:02_0_R Comdty,1990-03-15,56.65
JB1 N:02_0_R Comdty,1990-03-16,56.88
JB1 N:02_0_R Comdty,1990-03-19,56.7
JB1 N:02_0_R Comdty,1990-03-20,56.89
JB1 N:02_0_R Comdty,1990-03-22,57.0
JB1 N:02_0_R Comdty,1990-03-23,57.28
JB1 N:02_0_R Comdty,1990-03-26,57.4
JB1 N:02_0_R Comdty,1990-03-27,56.91
JB1 N:02_0_R Comdty,1990-03-28,56.77
JB1 N:02_0_R Comdty,1990-03-29,57.31
JB1 N:02_0_R Comdty,1990-03-30,56.82
JB1 N:02_0_R Comdty,1990-04-02,56.84
JB1 N:02_0_R Comdty,1990-04-03,57.07
JB1 N:02_0_R Comdty,1990-04-04,57.01
JB1 N:02_0_R Comdty,1990-04-05,57.17
JB1 N:02_0_R Comdty,1990-04-06,57.06
JB1 N:02_0_R Comdty,1990-04-09,57.42
JB1 N:02_0_R Comdty,1990-04-10,57.27
JB1 N:02_0_R Comdty,1990-04-11,56.94
JB1 N:02_0_R Comdty,1990-04-12,57.07
JB1 N:02_0_R Comdty,1990-04-13,56.94
JB1 N:02_0_R Comdty,1990-04-16,56.82
JB1 N:02_0_R Comdty,1990-04-17,56.86
JB1 N:02_0_R Comdty,1990-04-18,56.97
JB1 N:02_0_R Comdty,1990-04-19,57.16
JB1 N:02_0_R Comdty,1990-04-20,57.14
JB1 N:02_0_R Comdty,1990-04-23,57.07
JB1 N:02_0_R Comdty,1990-04-24,56.86
JB1 N:02_0_R Comdty,1990-04-25,56.82
JB1 N:02_0_R Comdty,1990-04-26,56.97
JB1 N:02_0_R Comdty,1990-04-27,56.79
JB1 N:02_0_R Comdty,1990-05-01,56.64
JB1 N:02_0_R Comdty,1990-05-02,56.69
JB1 N:02_0_R Comdty,1990-05-07,57.03
JB1 N:02_0_R Comdty,1990-05-08,57.14
JB1 N:02_0_R Comdty,1990-05-09,57.18
JB1 N:02_0_R Comdty,1990-05-10,57.17
JB1 N:02_0_R Comdty,1990-05-11,57.8
JB1 N:02_0_R Comdty,1990-05-14,58.13
JB1 N:02_0_R Comdty,1990-05-15,58.37
JB1 N:02_0_R Comdty,1990-05-16,58.22
JB1 N:02_0_R Comdty,1990-05-17,58.09
JB1 N:02_0_R Comdty,1990-05-18,57.92
JB1 N:02_0_R Comdty,1990-05-21,57.55
JB1 N:02_0_R Comdty,1990-05-22,57.84
JB1 N:02_0_R Comdty,1990-05-23,57.91
JB1 N:02_0_R Comdty,1990-05-24,58.16
JB1 N:02_0_R Comdty,1990-05-25,58.47
JB1 N:02_0_R Comdty,1990-05-28,58.58
JB1 N:02_0_R Comdty,1990-05-29,58.22
JB1 N:02_0_R Comdty,1990-05-30,58.21
JB1 N:02_0_R Comdty,1990-05-31,58.33
JB1 N:02_0_R Comdty,1990-06-01,58.22
JB1 N:02_0_R Comdty,1990-06-04,58.29
JB1 N:02_0_R Comdty,1990-06-05,58.23
JB1 N:02_0_R Comdty,1990-06-06,58.06
JB1 N:02_0_R Comdty,1990-06-07,58.02
JB1 N:02_0_R Comdty,1990-06-08,57.9
JB1 N:02_0_R Comdty,1990-06-11,57.67
JB1 N:02_0_R Comdty,1990-06-12,57.79
JB1 N:02_0_R Comdty,1990-06-13,57.82
JB1 N:02_0_R Comdty,1990-06-14,58.09
JB1 N:02_0_R Comdty,1990-06-15,57.97
JB1 N:02_0_R Comdty,1990-06-18,57.91
JB1 N:02_0_R Comdty,1990-06-19,57.77
JB1 N:02_0_R Comdty,1990-06-20,57.68
JB1 N:02_0_R Comdty,1990-06-21,57.59
JB1 N:02_0_R Comdty,1990-06-22,57.54
JB1 N:02_0_R Comdty,1990-06-25,57.37
JB1 N:02_0_R Comdty,1990-06-26,57.4
JB1 N:02_0_R Comdty,1990-06-27,57.49
JB1 N:02_0_R Comdty,1990-06-28,57.31
JB1 N:02_0_R Comdty,1990-06-29,56.97
JB1 N:02_0_R Comdty,1990-07-02,57.0
JB1 N:02_0_R Comdty,1990-07-03,57.09
JB1 N:02_0_R Comdty,1990-07-04,57.37
JB1 N:02_0_R Comdty,1990-07-05,57.28
JB1 N:02_0_R Comdty,1990-07-06,57.46
JB1 N:02_0_R Comdty,1990-07-09,57.34
JB1 N:02_0_R Comdty,1990-07-10,57.09
JB1 N:02_0_R Comdty,1990-07-11,57.31
JB1 N:02_0_R Comdty,1990-07-12,57.15
JB1 N:02_0_R Comdty,1990-07-13,57.31
JB1 N:02_0_R Comdty,1990-07-16,57.34
JB1 N:02_0_R Comdty,1990-07-17,57.19
JB1 N:02_0_R Comdty,1990-07-18,57.12
JB1 N:02_0_R Comdty,1990-07-19,56.97
JB1 N:02_0_R Comdty,1990-07-20,56.76
JB1 N:02_0_R Comdty,1990-07-23,56.47
JB1 N:02_0_R Comdty,1990-07-24,56.49
JB1 N:02_0_R Comdty,1990-07-25,56.64
JB1 N:02_0_R Comdty,1990-07-26,56.51
JB1 N:02_0_R Comdty,1990-07-27,56.2
JB1 N:02_0_R Comdty,1990-07-30,56.03
JB1 N:02_0_R Comdty,1990-07-31,56.21
JB1 N:02_0_R Comdty,1990-08-01,56.41
JB1 N:02_0_R Comdty,1990-08-02,56.2
JB1 N:02_0_R Comdty,1990-08-03,55.77
JB1 N:02_0_R Comdty,1990-08-06,54.99
JB1 N:02_0_R Comdty,1990-08-07,54.58
JB1 N:02_0_R Comdty,1990-08-08,55.24
JB1 N:02_0_R Comdty,1990-08-09,54.9
JB1 N:02_0_R Comdty,1990-08-10,55.06
JB1 N:02_0_R Comdty,1990-08-13,54.7
JB1 N:02_0_R Comdty,1990-08-14,54.88
JB1 N:02_0_R Comdty,1990-08-15,55.35
JB1 N:02_0_R Comdty,1990-08-16,55.0
JB1 N:02_0_R Comdty,1990-08-17,54.81
JB1 N:02_0_R Comdty,1990-08-20,54.75
JB1 N:02_0_R Comdty,1990-08-21,54.52
JB1 N:02_0_R Comdty,1990-08-22,54.31
JB1 N:02_0_R Comdty,1990-08-23,53.67
JB1 N:02_0_R Comdty,1990-08-24,53.61
JB1 N:02_0_R Comdty,1990-08-27,53.95
JB1 N:02_0_R Comdty,1990-08-28,54.18
JB1 N:02_0_R Comdty,1990-08-29,53.62
JB1 N:02_0_R Comdty,1990-08-30,54.18
JB1 N:02_0_R Comdty,1990-08-31,54.24
JB1 N:02_0_R Comdty,1990-09-03,54.22
JB1 N:02_0_R Comdty,1990-09-04,54.09
JB1 N:02_0_R Comdty,1990-09-05,53.85
JB1 N:02_0_R Comdty,1990-09-06,53.57
JB1 N:02_0_R Comdty,1990-09-07,53.63
JB1 N:02_0_R Comdty,1990-09-10,53.58
JB1 N:02_0_R Comdty,1990-09-11,53.24
JB1 N:02_0_R Comdty,1990-09-12,53.53
JB1 N:02_0_R Comdty,1990-09-13,53.38
JB1 N:02_0_R Comdty,1990-09-14,53.27
JB1 N:02_0_R Comdty,1990-09-17,52.9
JB1 N:02_0_R Comdty,1990-09-18,52.95
JB1 N:02_0_R Comdty,1990-09-19,53.06
JB1 N:02_0_R Comdty,1990-09-20,53.11
JB1 N:02_0_R Comdty,1990-09-21,53.0
JB1 N:02_0_R Comdty,1990-09-25,52.78
JB1 N:02_0_R Comdty,1990-09-26,52.63
JB1 N:02_0_R Comdty,1990-09-27,52.69
JB1 N:02_0_R Comdty,1990-09-28,52.63
JB1 N:02_0_R Comdty,1990-10-01,53.14
JB1 N:02_0_R Comdty,1990-10-02,53.9
JB1 N:02_0_R Comdty,1990-10-03,53.75
JB1 N:02_0_R Comdty,1990-10-04,53.73
JB1 N:02_0_R Comdty,1990-10-05,53.87
JB1 N:02_0_R Comdty,1990-10-08,54.34
JB1 N:02_0_R Comdty,1990-10-09,54.4
JB1 N:02_0_R Comdty,1990-10-11,54.05
JB1 N:02_0_R Comdty,1990-10-12,54.19
JB1 N:02_0_R Comdty,1990-10-15,54.34
JB1 N:02_0_R Comdty,1990-10-16,54.53
JB1 N:02_0_R Comdty,1990-10-17,54.95
JB1 N:02_0_R Comdty,1990-10-18,54.95
JB1 N:02_0_R Comdty,1990-10-19,55.02
JB1 N:02_0_R Comdty,1990-10-22,55.14
JB1 N:02_0_R Comdty,1990-10-23,55.26
JB1 N:02_0_R Comdty,1990-10-24,55.0
