name,date,PX_LAST
KC1 N:02_0_R Comdty,1990-01-02,23.27061
KC1 N:02_0_R Comdty,1990-01-03,23.61435
KC1 N:02_0_R Comdty,1990-01-04,23.82522
KC1 N:02_0_R Comdty,1990-01-05,23.44392
KC1 N:02_0_R Comdty,1990-01-08,23.50747
KC1 N:02_0_R Comdty,1990-01-09,23.92921
KC1 N:02_0_R Comdty,1990-01-10,23.85122
KC1 N:02_0_R Comdty,1990-01-11,23.57103
KC1 N:02_0_R Comdty,1990-01-12,22.83154
KC1 N:02_0_R Comdty,1990-01-15,22.40403
KC1 N:02_0_R Comdty,1990-01-16,22.40114
KC1 N:02_0_R Comdty,1990-01-17,22.75066
KC1 N:02_0_R Comdty,1990-01-18,22.92686
KC1 N:02_0_R Comdty,1990-01-19,23.48725
KC1 N:02_0_R Comdty,1990-01-22,23.53925
KC1 N:02_0_R Comdty,1990-01-23,23.12618
KC1 N:02_0_R Comdty,1990-01-24,23.26194
KC1 N:02_0_R Comdty,1990-01-25,23.48725
KC1 N:02_0_R Comdty,1990-01-26,23.66346
KC1 N:02_0_R Comdty,1990-01-29,23.33993
KC1 N:02_0_R Comdty,1990-01-30,23.21572
KC1 N:02_0_R Comdty,1990-01-31,23.10596
KC1 N:02_0_R Comdty,1990-02-01,23.29372
KC1 N:02_0_R Comdty,1990-02-02,23.21861
KC1 N:02_0_R Comdty,1990-02-05,23.1204
KC1 N:02_0_R Comdty,1990-02-06,23.1204
KC1 N:02_0_R Comdty,1990-02-07,23.58835
KC1 N:02_0_R Comdty,1990-02-08,23.71256
KC1 N:02_0_R Comdty,1990-02-09,24.57048
KC1 N:02_0_R Comdty,1990-02-12,24.92
KC1 N:02_0_R Comdty,1990-02-13,25.00088
KC1 N:02_0_R Comdty,1990-02-14,24.78713
KC1 N:02_0_R Comdty,1990-02-15,24.54737
KC1 N:02_0_R Comdty,1990-02-16,24.78713
KC1 N:02_0_R Comdty,1990-02-20,25.10487
KC1 N:02_0_R Comdty,1990-02-21,25.89346
KC1 N:02_0_R Comdty,1990-02-22,26.33253
KC1 N:02_0_R Comdty,1990-02-23,26.44518
KC1 N:02_0_R Comdty,1990-02-26,26.38539
KC1 N:02_0_R Comdty,1990-02-27,25.92693
KC1 N:02_0_R Comdty,1990-02-28,26.70716
KC1 N:02_0_R Comdty,1990-03-01,27.476
KC1 N:02_0_R Comdty,1990-03-02,28.32741
KC1 N:02_0_R Comdty,1990-03-05,29.68285
KC1 N:02_0_R Comdty,1990-03-06,28.85706
KC1 N:02_0_R Comdty,1990-03-07,29.21015
KC1 N:02_0_R Comdty,1990-03-08,29.09341
KC1 N:02_0_R Comdty,1990-03-09,27.29376
KC1 N:02_0_R Comdty,1990-03-12,27.01469
KC1 N:02_0_R Comdty,1990-03-13,27.86611
KC1 N:02_0_R Comdty,1990-03-14,26.7755
KC1 N:02_0_R Comdty,1990-03-15,27.44467
KC1 N:02_0_R Comdty,1990-03-16,25.74184
KC1 N:02_0_R Comdty,1990-03-19,24.98154
KC1 N:02_0_R Comdty,1990-03-20,25.97249
KC1 N:02_0_R Comdty,1990-03-21,25.64502
KC1 N:02_0_R Comdty,1990-03-22,26.37115
KC1 N:02_0_R Comdty,1990-03-23,25.42861
KC1 N:02_0_R Comdty,1990-03-26,25.92408
KC1 N:02_0_R Comdty,1990-03-27,25.63648
KC1 N:02_0_R Comdty,1990-03-28,25.85574
KC1 N:02_0_R Comdty,1990-03-29,26.02659
KC1 N:02_0_R Comdty,1990-03-30,26.23731
KC1 N:02_0_R Comdty,1990-04-02,26.04083
KC1 N:02_0_R Comdty,1990-04-03,26.20599
KC1 N:02_0_R Comdty,1990-04-04,27.04887
KC1 N:02_0_R Comdty,1990-04-05,27.55003
KC1 N:02_0_R Comdty,1990-04-06,27.2425
KC1 N:02_0_R Comdty,1990-04-09,27.65824
