name,date,PX_LAST
LC1 N:02_0_R Comdty,1990-01-02,1.05353
LC1 N:02_0_R Comdty,1990-01-03,1.04945
LC1 N:02_0_R Comdty,1990-01-04,1.04673
LC1 N:02_0_R Comdty,1990-01-05,1.04571
LC1 N:02_0_R Comdty,1990-01-08,1.04299
LC1 N:02_0_R Comdty,1990-01-09,1.04027
LC1 N:02_0_R Comdty,1990-01-10,1.04911
LC1 N:02_0_R Comdty,1990-01-11,1.05455
LC1 N:02_0_R Comdty,1990-01-12,1.05013
LC1 N:02_0_R Comdty,1990-01-15,1.05115
LC1 N:02_0_R Comdty,1990-01-16,1.05557
LC1 N:02_0_R Comdty,1990-01-17,1.06407
LC1 N:02_0_R Comdty,1990-01-18,1.07189
LC1 N:02_0_R Comdty,1990-01-19,1.07937
LC1 N:02_0_R Comdty,1990-01-22,1.07801
LC1 N:02_0_R Comdty,1990-01-23,1.06985
LC1 N:02_0_R Comdty,1990-01-24,1.07053
LC1 N:02_0_R Comdty,1990-01-25,1.08141
LC1 N:02_0_R Comdty,1990-01-26,1.07835
LC1 N:02_0_R Comdty,1990-01-29,1.07869
LC1 N:02_0_R Comdty,1990-01-30,1.08185
LC1 N:02_0_R Comdty,1990-01-31,1.06711
LC1 N:02_0_R Comdty,1990-02-01,1.06817
LC1 N:02_0_R Comdty,1990-02-02,1.07343
LC1 N:02_0_R Comdty,1990-02-05,1.08115
LC1 N:02_0_R Comdty,1990-02-06,1.08466
LC1 N:02_0_R Comdty,1990-02-07,1.08676
LC1 N:02_0_R Comdty,1990-02-08,1.08747
LC1 N:02_0_R Comdty,1990-02-09,1.0822
LC1 N:02_0_R Comdty,1990-02-12,1.08887
LC1 N:02_0_R Comdty,1990-02-13,1.08676
LC1 N:02_0_R Comdty,1990-02-14,1.08606
LC1 N:02_0_R Comdty,1990-02-15,1.09097
LC1 N:02_0_R Comdty,1990-02-16,1.08957
LC1 N:02_0_R Comdty,1990-02-20,1.08255
LC1 N:02_0_R Comdty,1990-02-21,1.0615
LC1 N:02_0_R Comdty,1990-02-22,1.06045
LC1 N:02_0_R Comdty,1990-02-23,1.06045
LC1 N:02_0_R Comdty,1990-02-26,1.05659
LC1 N:02_0_R Comdty,1990-02-27,1.05799
LC1 N:02_0_R Comdty,1990-02-28,1.05904
LC1 N:02_0_R Comdty,1990-03-01,1.06571
LC1 N:02_0_R Comdty,1990-03-02,1.07027
LC1 N:02_0_R Comdty,1990-03-05,1.07378
LC1 N:02_0_R Comdty,1990-03-06,1.07659
LC1 N:02_0_R Comdty,1990-03-07,1.07624
LC1 N:02_0_R Comdty,1990-03-08,1.08466
LC1 N:02_0_R Comdty,1990-03-09,1.08957
