name,date,PX_LAST
LGB1 N:02_0_R Comdty,2007-11-29,89.25
LGB1 N:02_0_R Comdty,2007-11-30,88.94
LGB1 N:02_0_R Comdty,2007-12-03,89.89
LGB1 N:02_0_R Comdty,2007-12-04,89.91
LGB1 N:02_0_R Comdty,2007-12-05,89.39
LGB1 N:02_0_R Comdty,2007-12-06,89.03
LGB1 N:02_0_R Comdty,2007-12-07,88.46
LGB1 N:02_0_R Comdty,2007-12-10,88.25
LGB1 N:02_0_R Comdty,2007-12-11,88.99
LGB1 N:02_0_R Comdty,2007-12-12,88.88
LGB1 N:02_0_R Comdty,2007-12-13,88.46
LGB1 N:02_0_R Comdty,2007-12-14,87.75
LGB1 N:02_0_R Comdty,2007-12-17,88.38
LGB1 N:02_0_R Comdty,2007-12-18,89.3
LGB1 N:02_0_R Comdty,2007-12-19,89.33
LGB1 N:02_0_R Comdty,2007-12-20,89.71
LGB1 N:02_0_R Comdty,2007-12-21,89.11
LGB1 N:02_0_R Comdty,2007-12-24,88.76
LGB1 N:02_0_R Comdty,2007-12-27,88.2
LGB1 N:02_0_R Comdty,2007-12-28,88.95
LGB1 N:02_0_R Comdty,2007-12-31,89.85
LGB1 N:02_0_R Comdty,2008-01-02,90.44
LGB1 N:02_0_R Comdty,2008-01-03,90.1
LGB1 N:02_0_R Comdty,2008-01-04,90.23
LGB1 N:02_0_R Comdty,2008-01-07,90.07
LGB1 N:02_0_R Comdty,2008-01-08,90.26
LGB1 N:02_0_R Comdty,2008-01-09,90.35
LGB1 N:02_0_R Comdty,2008-01-10,89.88
LGB1 N:02_0_R Comdty,2008-01-11,90.27
LGB1 N:02_0_R Comdty,2008-01-14,90.31
LGB1 N:02_0_R Comdty,2008-01-15,90.35
LGB1 N:02_0_R Comdty,2008-01-16,90.26
LGB1 N:02_0_R Comdty,2008-01-17,90.52
LGB1 N:02_0_R Comdty,2008-01-18,90.07
LGB1 N:02_0_R Comdty,2008-01-21,90.12
LGB1 N:02_0_R Comdty,2008-01-22,89.3
LGB1 N:02_0_R Comdty,2008-01-23,89.57
LGB1 N:02_0_R Comdty,2008-01-24,88.25
LGB1 N:02_0_R Comdty,2008-01-25,88.69
LGB1 N:02_0_R Comdty,2008-01-28,89.25
LGB1 N:02_0_R Comdty,2008-01-29,88.66
LGB1 N:02_0_R Comdty,2008-01-30,88.37
LGB1 N:02_0_R Comdty,2008-01-31,88.4
LGB1 N:02_0_R Comdty,2008-02-01,89.21
LGB1 N:02_0_R Comdty,2008-02-04,88.84
LGB1 N:02_0_R Comdty,2008-02-05,89.53
LGB1 N:02_0_R Comdty,2008-02-06,89.14
LGB1 N:02_0_R Comdty,2008-02-07,87.88
LGB1 N:02_0_R Comdty,2008-02-08,88.43
LGB1 N:02_0_R Comdty,2008-02-11,88.89
LGB1 N:02_0_R Comdty,2008-02-12,88.03
LGB1 N:02_0_R Comdty,2008-02-13,87.93
LGB1 N:02_0_R Comdty,2008-02-14,87.14
LGB1 N:02_0_R Comdty,2008-02-15,88.28
LGB1 N:02_0_R Comdty,2008-02-19,87.36
LGB1 N:02_0_R Comdty,2008-02-20,87.5
LGB1 N:02_0_R Comdty,2008-02-21,88.1
LGB1 N:02_0_R Comdty,2008-02-22,88.24
LGB1 N:02_0_R Comdty,2008-02-25,87.69
LGB1 N:02_0_R Comdty,2008-02-26,87.4
LGB1 N:02_0_R Comdty,2008-02-27,88.05
LGB1 N:02_0_R Comdty,2008-02-28,89.15
LGB1 N:02_0_R Comdty,2008-02-29,89.21
LGB1 N:02_0_R Comdty,2008-03-03,89.69
LGB1 N:02_0_R Comdty,2008-03-04,89.29
LGB1 N:02_0_R Comdty,2008-03-05,89.02
LGB1 N:02_0_R Comdty,2008-03-06,89.28
LGB1 N:02_0_R Comdty,2008-03-07,89.86
LGB1 N:02_0_R Comdty,2008-03-10,89.98
LGB1 N:02_0_R Comdty,2008-03-11,90.11
LGB1 N:02_0_R Comdty,2008-03-12,90.28
LGB1 N:02_0_R Comdty,2008-03-13,90.34
LGB1 N:02_0_R Comdty,2008-03-14,90.34
LGB1 N:02_0_R Comdty,2008-03-17,90.94
LGB1 N:02_0_R Comdty,2008-03-18,90.89
LGB1 N:02_0_R Comdty,2008-03-19,91.26
LGB1 N:02_0_R Comdty,2008-03-20,91.39
LGB1 N:02_0_R Comdty,2008-03-24,91.37
LGB1 N:02_0_R Comdty,2008-03-25,91.16
LGB1 N:02_0_R Comdty,2008-03-26,90.98
LGB1 N:02_0_R Comdty,2008-03-27,90.8
LGB1 N:02_0_R Comdty,2008-03-28,90.98
LGB1 N:02_0_R Comdty,2008-03-31,91.35
LGB1 N:02_0_R Comdty,2008-04-01,90.8
LGB1 N:02_0_R Comdty,2008-04-02,90.34
LGB1 N:02_0_R Comdty,2008-04-03,90.11
LGB1 N:02_0_R Comdty,2008-04-04,90.66
LGB1 N:02_0_R Comdty,2008-04-07,89.98
LGB1 N:02_0_R Comdty,2008-04-08,89.55
LGB1 N:02_0_R Comdty,2008-04-09,89.7
LGB1 N:02_0_R Comdty,2008-04-10,89.7
LGB1 N:02_0_R Comdty,2008-04-11,89.7
LGB1 N:02_0_R Comdty,2008-04-14,89.66
LGB1 N:02_0_R Comdty,2008-04-15,89.57
LGB1 N:02_0_R Comdty,2008-04-16,89.57
LGB1 N:02_0_R Comdty,2008-04-17,88.52
LGB1 N:02_0_R Comdty,2008-04-18,88.47
LGB1 N:02_0_R Comdty,2008-04-21,89.07
LGB1 N:02_0_R Comdty,2008-04-22,88.88
LGB1 N:02_0_R Comdty,2008-04-23,88.66
LGB1 N:02_0_R Comdty,2008-04-24,87.97
LGB1 N:02_0_R Comdty,2008-04-25,87.97
LGB1 N:02_0_R Comdty,2008-04-28,87.96
LGB1 N:02_0_R Comdty,2008-04-29,88.52
LGB1 N:02_0_R Comdty,2008-04-30,88.97
LGB1 N:02_0_R Comdty,2008-05-01,89.52
LGB1 N:02_0_R Comdty,2008-05-02,89.8
LGB1 N:02_0_R Comdty,2008-05-05,89.43
LGB1 N:02_0_R Comdty,2008-05-06,88.56
LGB1 N:02_0_R Comdty,2008-05-07,88.2
LGB1 N:02_0_R Comdty,2008-05-08,88.61
LGB1 N:02_0_R Comdty,2008-05-09,89.61
LGB1 N:02_0_R Comdty,2008-05-12,90.07
LGB1 N:02_0_R Comdty,2008-05-13,89.8
LGB1 N:02_0_R Comdty,2008-05-14,89.96
LGB1 N:02_0_R Comdty,2008-05-15,90.42
LGB1 N:02_0_R Comdty,2008-05-16,90.21
LGB1 N:02_0_R Comdty,2008-05-20,90.34
LGB1 N:02_0_R Comdty,2008-05-21,89.65
LGB1 N:02_0_R Comdty,2008-05-22,89.32
LGB1 N:02_0_R Comdty,2008-05-23,89.54
LGB1 N:02_0_R Comdty,2008-05-26,89.45
LGB1 N:02_0_R Comdty,2008-05-27,88.91
LGB1 N:02_0_R Comdty,2008-05-28,88.25
LGB1 N:02_0_R Comdty,2008-05-29,87.74
LGB1 N:02_0_R Comdty,2008-05-30,88.34
LGB1 N:02_0_R Comdty,2008-06-02,88.11
LGB1 N:02_0_R Comdty,2008-06-03,88.62
LGB1 N:02_0_R Comdty,2008-06-04,88.33
LGB1 N:02_0_R Comdty,2008-06-05,87.85
LGB1 N:02_0_R Comdty,2008-06-06,88.32
LGB1 N:02_0_R Comdty,2008-06-09,88.06
LGB1 N:02_0_R Comdty,2008-06-10,87.97
LGB1 N:02_0_R Comdty,2008-06-11,87.97
LGB1 N:02_0_R Comdty,2008-06-12,87.47
LGB1 N:02_0_R Comdty,2008-06-13,87.43
LGB1 N:02_0_R Comdty,2008-06-16,87.79
LGB1 N:02_0_R Comdty,2008-06-17,88.02
LGB1 N:02_0_R Comdty,2008-06-18,88.25
LGB1 N:02_0_R Comdty,2008-06-19,87.97
LGB1 N:02_0_R Comdty,2008-06-20,88.29
LGB1 N:02_0_R Comdty,2008-06-23,88.2
LGB1 N:02_0_R Comdty,2008-06-24,88.79
LGB1 N:02_0_R Comdty,2008-06-25,88.84
LGB1 N:02_0_R Comdty,2008-06-26,89.02
LGB1 N:02_0_R Comdty,2008-06-27,88.84
LGB1 N:02_0_R Comdty,2008-06-30,88.47
LGB1 N:02_0_R Comdty,2008-07-02,88.47
LGB1 N:02_0_R Comdty,2008-07-03,88.63
LGB1 N:02_0_R Comdty,2008-07-04,88.98
LGB1 N:02_0_R Comdty,2008-07-07,89.43
LGB1 N:02_0_R Comdty,2008-07-08,89.16
LGB1 N:02_0_R Comdty,2008-07-09,89.25
LGB1 N:02_0_R Comdty,2008-07-10,89.38
LGB1 N:02_0_R Comdty,2008-07-11,88.93
LGB1 N:02_0_R Comdty,2008-07-14,89.46
LGB1 N:02_0_R Comdty,2008-07-15,89.84
LGB1 N:02_0_R Comdty,2008-07-16,89.11
