name,date,PX_LAST
LMAHDS03 LME N:02_0_R Comdty,1990-01-02,1632.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-03,1641.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-04,1645.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-05,1637.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-08,1608.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-09,1611.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-10,1588.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-11,1586.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-12,1565.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-15,1550.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-16,1514.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-17,1551.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-18,1551.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-19,1519.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-22,1498.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-23,1478.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-24,1472.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-25,1479.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-26,1480.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-29,1469.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-30,1452.0
LMAHDS03 LME N:02_0_R Comdty,1990-01-31,1407.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-01,1420.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-02,1438.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-05,1451.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-06,1429.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-07,1431.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-08,1434.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-09,1449.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-12,1443.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-13,1434.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-14,1449.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-15,1465.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-16,1516.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-19,1527.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-20,1505.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-21,1477.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-22,1490.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-23,1486.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-26,1501.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-27,1489.0
LMAHDS03 LME N:02_0_R Comdty,1990-02-28,1488.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-01,1540.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-02,1532.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-05,1547.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-06,1545.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-07,1509.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-08,1514.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-09,1520.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-12,1530.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-13,1540.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-14,1564.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-15,1603.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-16,1633.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-19,1630.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-20,1595.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-21,1595.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-22,1615.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-23,1596.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-26,1576.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-27,1584.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-28,1578.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-29,1579.0
LMAHDS03 LME N:02_0_R Comdty,1990-03-30,1583.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-02,1596.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-03,1586.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-04,1571.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-05,1550.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-06,1543.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-09,1518.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-10,1502.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-11,1504.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-12,1498.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-17,1480.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-18,1516.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-19,1534.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-20,1545.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-23,1552.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-24,1552.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-25,1548.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-26,1536.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-27,1526.0
LMAHDS03 LME N:02_0_R Comdty,1990-04-30,1520.0
LMAHDS03 LME N:02_0_R Comdty,1990-05-01,1523.0
LMAHDS03 LME N:02_0_R Comdty,1990-05-02,1518.0
