name,date,PX_LAST
LMCADS03 N:02_0_R Comdty,1990-01-02,2356.4
LMCADS03 N:02_0_R Comdty,1990-01-03,2395.5
LMCADS03 N:02_0_R Comdty,1990-01-04,2482.9
LMCADS03 N:02_0_R Comdty,1990-01-05,2474.8
LMCADS03 N:02_0_R Comdty,1990-01-08,2476.2
LMCADS03 N:02_0_R Comdty,1990-01-09,2503.6
LMCADS03 N:02_0_R Comdty,1990-01-10,2464.2
LMCADS03 N:02_0_R Comdty,1990-01-11,2456.6
LMCADS03 N:02_0_R Comdty,1990-01-12,2445.1
LMCADS03 N:02_0_R Comdty,1990-01-15,2368.7
LMCADS03 N:02_0_R Comdty,1990-01-16,2344.8
LMCADS03 N:02_0_R Comdty,1990-01-17,2362.9
LMCADS03 N:02_0_R Comdty,1990-01-18,2355.6
LMCADS03 N:02_0_R Comdty,1990-01-19,2291.4
LMCADS03 N:02_0_R Comdty,1990-01-22,2270.1
LMCADS03 N:02_0_R Comdty,1990-01-23,2190.2
LMCADS03 N:02_0_R Comdty,1990-01-24,2195.6
LMCADS03 N:02_0_R Comdty,1990-01-25,2242.7
LMCADS03 N:02_0_R Comdty,1990-01-26,2198.4
LMCADS03 N:02_0_R Comdty,1990-01-29,2243.4
LMCADS03 N:02_0_R Comdty,1990-01-30,2189.5
LMCADS03 N:02_0_R Comdty,1990-01-31,2180.7
LMCADS03 N:02_0_R Comdty,1990-02-01,2235.3
LMCADS03 N:02_0_R Comdty,1990-02-02,2236.4
LMCADS03 N:02_0_R Comdty,1990-02-05,2250.0
LMCADS03 N:02_0_R Comdty,1990-02-06,2222.9
LMCADS03 N:02_0_R Comdty,1990-02-07,2231.5
LMCADS03 N:02_0_R Comdty,1990-02-08,2245.0
LMCADS03 N:02_0_R Comdty,1990-02-09,2285.0
LMCADS03 N:02_0_R Comdty,1990-02-12,2288.2
LMCADS03 N:02_0_R Comdty,1990-02-13,2228.5
LMCADS03 N:02_0_R Comdty,1990-02-14,2279.7
LMCADS03 N:02_0_R Comdty,1990-02-15,2306.7
LMCADS03 N:02_0_R Comdty,1990-02-16,2369.2
LMCADS03 N:02_0_R Comdty,1990-02-19,2391.6
LMCADS03 N:02_0_R Comdty,1990-02-20,2407.3
LMCADS03 N:02_0_R Comdty,1990-02-21,2379.2
LMCADS03 N:02_0_R Comdty,1990-02-22,2443.1
LMCADS03 N:02_0_R Comdty,1990-02-23,2405.5
LMCADS03 N:02_0_R Comdty,1990-02-26,2380.6
LMCADS03 N:02_0_R Comdty,1990-02-27,2395.8
LMCADS03 N:02_0_R Comdty,1990-02-28,2399.4
LMCADS03 N:02_0_R Comdty,1990-03-01,2417.0
LMCADS03 N:02_0_R Comdty,1990-03-02,2418.2
LMCADS03 N:02_0_R Comdty,1990-03-05,2474.4
LMCADS03 N:02_0_R Comdty,1990-03-06,2536.6
LMCADS03 N:02_0_R Comdty,1990-03-07,2511.9
LMCADS03 N:02_0_R Comdty,1990-03-08,2498.6
LMCADS03 N:02_0_R Comdty,1990-03-09,2547.6
LMCADS03 N:02_0_R Comdty,1990-03-12,2518.7
LMCADS03 N:02_0_R Comdty,1990-03-13,2518.5
LMCADS03 N:02_0_R Comdty,1990-03-14,2516.1
LMCADS03 N:02_0_R Comdty,1990-03-15,2587.3
LMCADS03 N:02_0_R Comdty,1990-03-16,2612.2
LMCADS03 N:02_0_R Comdty,1990-03-19,2596.5
LMCADS03 N:02_0_R Comdty,1990-03-20,2555.9
LMCADS03 N:02_0_R Comdty,1990-03-21,2562.0
LMCADS03 N:02_0_R Comdty,1990-03-22,2601.0
LMCADS03 N:02_0_R Comdty,1990-03-23,2519.5
LMCADS03 N:02_0_R Comdty,1990-03-26,2501.1
LMCADS03 N:02_0_R Comdty,1990-03-27,2528.4
LMCADS03 N:02_0_R Comdty,1990-03-28,2454.3
LMCADS03 N:02_0_R Comdty,1990-03-29,2543.5
LMCADS03 N:02_0_R Comdty,1990-03-30,2558.2
LMCADS03 N:02_0_R Comdty,1990-04-02,2658.6
LMCADS03 N:02_0_R Comdty,1990-04-03,2615.4
LMCADS03 N:02_0_R Comdty,1990-04-04,2625.6
LMCADS03 N:02_0_R Comdty,1990-04-05,2556.5
LMCADS03 N:02_0_R Comdty,1990-04-06,2554.2
LMCADS03 N:02_0_R Comdty,1990-04-09,2567.4
LMCADS03 N:02_0_R Comdty,1990-04-10,2531.4
LMCADS03 N:02_0_R Comdty,1990-04-11,2522.0
LMCADS03 N:02_0_R Comdty,1990-04-12,2569.7
LMCADS03 N:02_0_R Comdty,1990-04-17,2524.5
LMCADS03 N:02_0_R Comdty,1990-04-18,2500.0
LMCADS03 N:02_0_R Comdty,1990-04-19,2461.7
LMCADS03 N:02_0_R Comdty,1990-04-20,2456.1
LMCADS03 N:02_0_R Comdty,1990-04-23,2459.7
LMCADS03 N:02_0_R Comdty,1990-04-24,2440.9
LMCADS03 N:02_0_R Comdty,1990-04-25,2497.5
LMCADS03 N:02_0_R Comdty,1990-04-26,2506.1
LMCADS03 N:02_0_R Comdty,1990-04-27,2485.6
LMCADS03 N:02_0_R Comdty,1990-04-30,2439.2
LMCADS03 N:02_0_R Comdty,1990-05-01,2465.6
LMCADS03 N:02_0_R Comdty,1990-05-02,2496.4
LMCADS03 N:02_0_R Comdty,1990-05-03,2523.2
LMCADS03 N:02_0_R Comdty,1990-05-04,2510.1
LMCADS03 N:02_0_R Comdty,1990-05-08,2458.9
LMCADS03 N:02_0_R Comdty,1990-05-09,2518.4
LMCADS03 N:02_0_R Comdty,1990-05-10,2563.5
LMCADS03 N:02_0_R Comdty,1990-05-11,2537.2
LMCADS03 N:02_0_R Comdty,1990-05-14,2526.0
LMCADS03 N:02_0_R Comdty,1990-05-15,2482.4
LMCADS03 N:02_0_R Comdty,1990-05-16,2479.0
LMCADS03 N:02_0_R Comdty,1990-05-17,2514.4
LMCADS03 N:02_0_R Comdty,1990-05-18,2505.8
LMCADS03 N:02_0_R Comdty,1990-05-21,2491.1
LMCADS03 N:02_0_R Comdty,1990-05-22,2511.1
LMCADS03 N:02_0_R Comdty,1990-05-23,2523.9
LMCADS03 N:02_0_R Comdty,1990-05-24,2521.4
LMCADS03 N:02_0_R Comdty,1990-05-25,2518.9
LMCADS03 N:02_0_R Comdty,1990-05-29,2521.1
LMCADS03 N:02_0_R Comdty,1990-05-30,2448.1
LMCADS03 N:02_0_R Comdty,1990-05-31,2481.2
LMCADS03 N:02_0_R Comdty,1990-06-01,2455.8
LMCADS03 N:02_0_R Comdty,1990-06-04,2487.1
LMCADS03 N:02_0_R Comdty,1990-06-05,2475.6
LMCADS03 N:02_0_R Comdty,1990-06-06,2465.8
LMCADS03 N:02_0_R Comdty,1990-06-07,2465.2
LMCADS03 N:02_0_R Comdty,1990-06-08,2479.1
LMCADS03 N:02_0_R Comdty,1990-06-11,2470.8
LMCADS03 N:02_0_R Comdty,1990-06-12,2493.8
