name,date,PX_LAST
MES1 N:02_0_R Index,2009-09-09,812.2
MES1 N:02_0_R Index,2009-09-10,825.0
MES1 N:02_0_R Index,2009-09-11,820.1
MES1 N:02_0_R Index,2009-09-14,824.2
MES1 N:02_0_R Index,2009-09-15,829.3
MES1 N:02_0_R Index,2009-09-16,851.8
MES1 N:02_0_R Index,2009-09-17,842.6
MES1 N:02_0_R Index,2009-09-18,844.3
MES1 N:02_0_R Index,2009-09-21,838.5
MES1 N:02_0_R Index,2009-09-22,852.3
MES1 N:02_0_R Index,2009-09-23,841.9
MES1 N:02_0_R Index,2009-09-24,822.7
MES1 N:02_0_R Index,2009-09-25,826.6
MES1 N:02_0_R Index,2009-09-28,838.7
MES1 N:02_0_R Index,2009-09-29,838.0
MES1 N:02_0_R Index,2009-09-30,844.4
MES1 N:02_0_R Index,2009-10-01,822.2
MES1 N:02_0_R Index,2009-10-02,821.1
MES1 N:02_0_R Index,2009-10-05,843.2
MES1 N:02_0_R Index,2009-10-06,856.3
MES1 N:02_0_R Index,2009-10-07,855.4
MES1 N:02_0_R Index,2009-10-08,868.3
MES1 N:02_0_R Index,2009-10-09,870.4
MES1 N:02_0_R Index,2009-10-12,874.4
MES1 N:02_0_R Index,2009-10-13,875.3
MES1 N:02_0_R Index,2009-10-14,904.6
MES1 N:02_0_R Index,2009-10-15,898.2
MES1 N:02_0_R Index,2009-10-16,887.5
MES1 N:02_0_R Index,2009-10-19,904.4
MES1 N:02_0_R Index,2009-10-20,891.7
MES1 N:02_0_R Index,2009-10-21,884.9
MES1 N:02_0_R Index,2009-10-22,893.6
MES1 N:02_0_R Index,2009-10-23,886.4
MES1 N:02_0_R Index,2009-10-26,877.1
MES1 N:02_0_R Index,2009-10-27,861.5
MES1 N:02_0_R Index,2009-10-28,826.1
MES1 N:02_0_R Index,2009-10-29,859.9
MES1 N:02_0_R Index,2009-10-30,820.9
MES1 N:02_0_R Index,2009-11-02,833.7
MES1 N:02_0_R Index,2009-11-03,833.0
MES1 N:02_0_R Index,2009-11-04,853.8
MES1 N:02_0_R Index,2009-11-05,864.0
MES1 N:02_0_R Index,2009-11-06,865.8
MES1 N:02_0_R Index,2009-11-09,896.2
MES1 N:02_0_R Index,2009-11-10,892.6
MES1 N:02_0_R Index,2009-11-11,897.5
MES1 N:02_0_R Index,2009-11-12,879.2
MES1 N:02_0_R Index,2009-11-13,889.4
MES1 N:02_0_R Index,2009-11-16,912.9
MES1 N:02_0_R Index,2009-11-17,909.6
MES1 N:02_0_R Index,2009-11-18,901.7
MES1 N:02_0_R Index,2009-11-19,887.8
MES1 N:02_0_R Index,2009-11-20,886.0
MES1 N:02_0_R Index,2009-11-23,905.3
MES1 N:02_0_R Index,2009-11-24,895.5
MES1 N:02_0_R Index,2009-11-25,905.8
MES1 N:02_0_R Index,2009-11-27,870.8
MES1 N:02_0_R Index,2009-11-30,877.4
MES1 N:02_0_R Index,2009-12-01,902.6
MES1 N:02_0_R Index,2009-12-02,907.0
MES1 N:02_0_R Index,2009-12-03,900.1
MES1 N:02_0_R Index,2009-12-04,905.8
MES1 N:02_0_R Index,2009-12-07,898.0
MES1 N:02_0_R Index,2009-12-08,885.0
MES1 N:02_0_R Index,2009-12-09,890.2
MES1 N:02_0_R Index,2009-12-10,891.4
MES1 N:02_0_R Index,2009-12-11,896.5
MES1 N:02_0_R Index,2009-12-14,902.0
MES1 N:02_0_R Index,2009-12-15,893.5
MES1 N:02_0_R Index,2009-12-16,895.3
MES1 N:02_0_R Index,2009-12-17,873.6
MES1 N:02_0_R Index,2009-12-18,869.4
MES1 N:02_0_R Index,2009-12-21,869.3
MES1 N:02_0_R Index,2009-12-22,875.5
MES1 N:02_0_R Index,2009-12-23,884.9
