name,date,PX_LAST
NI1 N:02_0_R Index,1990-01-04,242.5303
NI1 N:02_0_R Index,1990-01-05,239.3346
NI1 N:02_0_R Index,1990-01-08,239.2082
NI1 N:02_0_R Index,1990-01-09,235.01289
NI1 N:02_0_R Index,1990-01-10,233.64921
NI1 N:02_0_R Index,1990-01-11,234.96422
NI1 N:02_0_R Index,1990-01-12,233.40817
NI1 N:02_0_R Index,1990-01-16,227.30298
NI1 N:02_0_R Index,1990-01-17,228.68998
NI1 N:02_0_R Index,1990-01-18,225.51802
NI1 N:02_0_R Index,1990-01-19,227.28134
NI1 N:02_0_R Index,1990-01-22,229.76681
NI1 N:02_0_R Index,1990-01-23,229.45128
NI1 N:02_0_R Index,1990-01-24,227.00374
NI1 N:02_0_R Index,1990-01-25,230.10787
NI1 N:02_0_R Index,1990-01-26,231.14462
NI1 N:02_0_R Index,1990-01-30,231.32695
NI1 N:02_0_R Index,1990-01-31,229.993
NI1 N:02_0_R Index,1990-02-01,230.04978
NI1 N:02_0_R Index,1990-02-02,231.27371
NI1 N:02_0_R Index,1990-02-05,231.31883
NI1 N:02_0_R Index,1990-02-06,232.19175
NI1 N:02_0_R Index,1990-02-07,230.12425
NI1 N:02_0_R Index,1990-02-08,229.8384
NI1 N:02_0_R Index,1990-02-09,229.63558
NI1 N:02_0_R Index,1990-02-13,229.43314
NI1 N:02_0_R Index,1990-02-14,230.56237
NI1 N:02_0_R Index,1990-02-15,232.38246
NI1 N:02_0_R Index,1990-02-16,232.63161
NI1 N:02_0_R Index,1990-02-19,229.71132
NI1 N:02_0_R Index,1990-02-20,226.86185
NI1 N:02_0_R Index,1990-02-21,220.25713
NI1 N:02_0_R Index,1990-02-22,218.54514
NI1 N:02_0_R Index,1990-02-23,210.12849
NI1 N:02_0_R Index,1990-02-26,199.56558
NI1 N:02_0_R Index,1990-02-27,204.90525
NI1 N:02_0_R Index,1990-02-28,205.15041
NI1 N:02_0_R Index,1990-03-01,201.79194
NI1 N:02_0_R Index,1990-03-02,200.23484
NI1 N:02_0_R Index,1990-03-05,199.57044
NI1 N:02_0_R Index,1990-03-06,199.89917
NI1 N:02_0_R Index,1990-03-07,194.97105
