name,date,PX_LAST
OAT1 N:02_0_R Comdty,2012-04-17,94.67
OAT1 N:02_0_R Comdty,2012-04-18,94.73
OAT1 N:02_0_R Comdty,2012-04-19,94.14
OAT1 N:02_0_R Comdty,2012-04-20,94.13
OAT1 N:02_0_R Comdty,2012-04-23,94.11
OAT1 N:02_0_R Comdty,2012-04-24,94.5
OAT1 N:02_0_R Comdty,2012-04-25,94.92
OAT1 N:02_0_R Comdty,2012-04-26,95.07
OAT1 N:02_0_R Comdty,2012-04-27,95.01
OAT1 N:02_0_R Comdty,2012-04-30,95.32
OAT1 N:02_0_R Comdty,2012-05-02,95.31
OAT1 N:02_0_R Comdty,2012-05-03,95.77
OAT1 N:02_0_R Comdty,2012-05-04,96.26
OAT1 N:02_0_R Comdty,2012-05-07,96.55
OAT1 N:02_0_R Comdty,2012-05-08,96.43
OAT1 N:02_0_R Comdty,2012-05-09,96.09
OAT1 N:02_0_R Comdty,2012-05-10,96.39
OAT1 N:02_0_R Comdty,2012-05-11,96.51
OAT1 N:02_0_R Comdty,2012-05-14,96.29
OAT1 N:02_0_R Comdty,2012-05-15,95.81
OAT1 N:02_0_R Comdty,2012-05-16,95.92
OAT1 N:02_0_R Comdty,2012-05-17,96.11
OAT1 N:02_0_R Comdty,2012-05-18,96.26
OAT1 N:02_0_R Comdty,2012-05-21,96.26
OAT1 N:02_0_R Comdty,2012-05-22,96.74
OAT1 N:02_0_R Comdty,2012-05-23,97.2
OAT1 N:02_0_R Comdty,2012-05-24,98.56
OAT1 N:02_0_R Comdty,2012-05-25,98.84
OAT1 N:02_0_R Comdty,2012-05-28,98.68
OAT1 N:02_0_R Comdty,2012-05-29,98.86
OAT1 N:02_0_R Comdty,2012-05-30,98.91
OAT1 N:02_0_R Comdty,2012-05-31,100.24
OAT1 N:02_0_R Comdty,2012-06-01,101.18
OAT1 N:02_0_R Comdty,2012-06-04,100.8
OAT1 N:02_0_R Comdty,2012-06-05,100.51
OAT1 N:02_0_R Comdty,2012-06-06,99.94
OAT1 N:02_0_R Comdty,2012-06-07,98.77
OAT1 N:02_0_R Comdty,2012-06-08,99.05
OAT1 N:02_0_R Comdty,2012-06-11,98.77
OAT1 N:02_0_R Comdty,2012-06-12,97.68
OAT1 N:02_0_R Comdty,2012-06-13,97.59
OAT1 N:02_0_R Comdty,2012-06-14,97.91
OAT1 N:02_0_R Comdty,2012-06-15,98.66
OAT1 N:02_0_R Comdty,2012-06-18,98.44
OAT1 N:02_0_R Comdty,2012-06-19,98.11
OAT1 N:02_0_R Comdty,2012-06-20,97.97
OAT1 N:02_0_R Comdty,2012-06-21,98.17
OAT1 N:02_0_R Comdty,2012-06-22,98.55
OAT1 N:02_0_R Comdty,2012-06-25,98.66
OAT1 N:02_0_R Comdty,2012-06-26,98.39
OAT1 N:02_0_R Comdty,2012-06-27,98.28
OAT1 N:02_0_R Comdty,2012-06-28,98.06
OAT1 N:02_0_R Comdty,2012-06-29,97.98
OAT1 N:02_0_R Comdty,2012-07-02,98.74
OAT1 N:02_0_R Comdty,2012-07-03,99.05
OAT1 N:02_0_R Comdty,2012-07-04,99.11
OAT1 N:02_0_R Comdty,2012-07-05,99.42
OAT1 N:02_0_R Comdty,2012-07-06,100.42
OAT1 N:02_0_R Comdty,2012-07-09,100.09
OAT1 N:02_0_R Comdty,2012-07-10,100.28
OAT1 N:02_0_R Comdty,2012-07-11,100.87
OAT1 N:02_0_R Comdty,2012-07-12,101.43
OAT1 N:02_0_R Comdty,2012-07-13,101.47
OAT1 N:02_0_R Comdty,2012-07-16,102.19
OAT1 N:02_0_R Comdty,2012-07-17,102.64
OAT1 N:02_0_R Comdty,2012-07-18,102.44
OAT1 N:02_0_R Comdty,2012-07-19,102.79
OAT1 N:02_0_R Comdty,2012-07-20,102.74
OAT1 N:02_0_R Comdty,2012-07-23,102.03
OAT1 N:02_0_R Comdty,2012-07-24,101.39
OAT1 N:02_0_R Comdty,2012-07-25,101.14
OAT1 N:02_0_R Comdty,2012-07-26,101.62
OAT1 N:02_0_R Comdty,2012-07-27,101.54
OAT1 N:02_0_R Comdty,2012-07-30,101.85
OAT1 N:02_0_R Comdty,2012-07-31,102.73
OAT1 N:02_0_R Comdty,2012-08-01,102.43
OAT1 N:02_0_R Comdty,2012-08-02,102.79
OAT1 N:02_0_R Comdty,2012-08-03,102.49
OAT1 N:02_0_R Comdty,2012-08-06,102.49
OAT1 N:02_0_R Comdty,2012-08-07,102.24
OAT1 N:02_0_R Comdty,2012-08-08,102.47
OAT1 N:02_0_R Comdty,2012-08-09,102.5
OAT1 N:02_0_R Comdty,2012-08-10,102.86
OAT1 N:02_0_R Comdty,2012-08-13,102.73
OAT1 N:02_0_R Comdty,2012-08-14,102.65
OAT1 N:02_0_R Comdty,2012-08-15,102.23
OAT1 N:02_0_R Comdty,2012-08-16,102.37
OAT1 N:02_0_R Comdty,2012-08-17,102.52
OAT1 N:02_0_R Comdty,2012-08-20,102.5
OAT1 N:02_0_R Comdty,2012-08-21,102.29
OAT1 N:02_0_R Comdty,2012-08-22,102.59
OAT1 N:02_0_R Comdty,2012-08-23,103.12
OAT1 N:02_0_R Comdty,2012-08-24,103.28
OAT1 N:02_0_R Comdty,2012-08-27,103.18
OAT1 N:02_0_R Comdty,2012-08-28,103.18
OAT1 N:02_0_R Comdty,2012-08-29,102.83
OAT1 N:02_0_R Comdty,2012-08-30,102.71
OAT1 N:02_0_R Comdty,2012-08-31,102.63
OAT1 N:02_0_R Comdty,2012-09-03,102.26
OAT1 N:02_0_R Comdty,2012-09-04,102.23
OAT1 N:02_0_R Comdty,2012-09-05,102.15
OAT1 N:02_0_R Comdty,2012-09-06,101.85
OAT1 N:02_0_R Comdty,2012-09-07,102.29
OAT1 N:02_0_R Comdty,2012-09-10,101.98
OAT1 N:02_0_R Comdty,2012-09-11,102.61
OAT1 N:02_0_R Comdty,2012-09-12,102.39
OAT1 N:02_0_R Comdty,2012-09-13,102.67
OAT1 N:02_0_R Comdty,2012-09-14,102.0
OAT1 N:02_0_R Comdty,2012-09-17,101.87
OAT1 N:02_0_R Comdty,2012-09-18,102.11
OAT1 N:02_0_R Comdty,2012-09-19,102.07
OAT1 N:02_0_R Comdty,2012-09-20,102.04
OAT1 N:02_0_R Comdty,2012-09-21,102.05
OAT1 N:02_0_R Comdty,2012-09-24,102.18
OAT1 N:02_0_R Comdty,2012-09-25,101.96
OAT1 N:02_0_R Comdty,2012-09-26,102.62
OAT1 N:02_0_R Comdty,2012-09-27,102.62
OAT1 N:02_0_R Comdty,2012-09-28,102.9
OAT1 N:02_0_R Comdty,2012-10-01,102.69
OAT1 N:02_0_R Comdty,2012-10-02,102.72
OAT1 N:02_0_R Comdty,2012-10-03,102.75
OAT1 N:02_0_R Comdty,2012-10-04,102.84
OAT1 N:02_0_R Comdty,2012-10-05,102.87
OAT1 N:02_0_R Comdty,2012-10-08,102.94
OAT1 N:02_0_R Comdty,2012-10-09,103.29
OAT1 N:02_0_R Comdty,2012-10-10,103.57
OAT1 N:02_0_R Comdty,2012-10-11,103.67
OAT1 N:02_0_R Comdty,2012-10-12,103.92
OAT1 N:02_0_R Comdty,2012-10-15,104.04
OAT1 N:02_0_R Comdty,2012-10-16,103.61
OAT1 N:02_0_R Comdty,2012-10-17,103.26
OAT1 N:02_0_R Comdty,2012-10-18,103.33
OAT1 N:02_0_R Comdty,2012-10-19,103.6
OAT1 N:02_0_R Comdty,2012-10-22,103.48
OAT1 N:02_0_R Comdty,2012-10-23,103.42
OAT1 N:02_0_R Comdty,2012-10-24,103.36
OAT1 N:02_0_R Comdty,2012-10-25,103.28
OAT1 N:02_0_R Comdty,2012-10-26,103.36
OAT1 N:02_0_R Comdty,2012-10-29,103.38
OAT1 N:02_0_R Comdty,2012-10-30,103.43
OAT1 N:02_0_R Comdty,2012-10-31,103.41
OAT1 N:02_0_R Comdty,2012-11-01,103.57
OAT1 N:02_0_R Comdty,2012-11-02,103.6
OAT1 N:02_0_R Comdty,2012-11-05,103.7
OAT1 N:02_0_R Comdty,2012-11-06,103.83
OAT1 N:02_0_R Comdty,2012-11-07,103.99
OAT1 N:02_0_R Comdty,2012-11-08,104.16
OAT1 N:02_0_R Comdty,2012-11-09,104.4
OAT1 N:02_0_R Comdty,2012-11-12,104.64
OAT1 N:02_0_R Comdty,2012-11-13,104.86
OAT1 N:02_0_R Comdty,2012-11-14,104.66
OAT1 N:02_0_R Comdty,2012-11-15,104.79
OAT1 N:02_0_R Comdty,2012-11-16,104.88
OAT1 N:02_0_R Comdty,2012-11-19,104.87
OAT1 N:02_0_R Comdty,2012-11-20,104.25
OAT1 N:02_0_R Comdty,2012-11-21,104.1
OAT1 N:02_0_R Comdty,2012-11-22,104.06
OAT1 N:02_0_R Comdty,2012-11-23,104.26
OAT1 N:02_0_R Comdty,2012-11-26,104.46
OAT1 N:02_0_R Comdty,2012-11-27,104.63
OAT1 N:02_0_R Comdty,2012-11-28,105.23
OAT1 N:02_0_R Comdty,2012-11-29,105.3
OAT1 N:02_0_R Comdty,2012-11-30,105.29
OAT1 N:02_0_R Comdty,2012-12-03,105.26
OAT1 N:02_0_R Comdty,2012-12-04,105.52
OAT1 N:02_0_R Comdty,2012-12-05,105.81
OAT1 N:02_0_R Comdty,2012-12-06,105.86
OAT1 N:02_0_R Comdty,2012-12-07,106.16
OAT1 N:02_0_R Comdty,2012-12-10,106.19
OAT1 N:02_0_R Comdty,2012-12-11,106.16
OAT1 N:02_0_R Comdty,2012-12-12,106.07
OAT1 N:02_0_R Comdty,2012-12-13,106.06
OAT1 N:02_0_R Comdty,2012-12-14,106.06
OAT1 N:02_0_R Comdty,2012-12-17,105.8
OAT1 N:02_0_R Comdty,2012-12-18,105.57
OAT1 N:02_0_R Comdty,2012-12-19,105.77
OAT1 N:02_0_R Comdty,2012-12-20,105.94
OAT1 N:02_0_R Comdty,2012-12-21,106.02
OAT1 N:02_0_R Comdty,2012-12-24,106.02
OAT1 N:02_0_R Comdty,2012-12-27,106.14
OAT1 N:02_0_R Comdty,2012-12-28,106.03
OAT1 N:02_0_R Comdty,2012-12-31,106.03
OAT1 N:02_0_R Comdty,2013-01-02,105.45
OAT1 N:02_0_R Comdty,2013-01-03,105.09
OAT1 N:02_0_R Comdty,2013-01-04,104.84
OAT1 N:02_0_R Comdty,2013-01-07,105.1
OAT1 N:02_0_R Comdty,2013-01-08,105.17
OAT1 N:02_0_R Comdty,2013-01-09,105.15
OAT1 N:02_0_R Comdty,2013-01-10,104.88
OAT1 N:02_0_R Comdty,2013-01-11,104.74
OAT1 N:02_0_R Comdty,2013-01-14,104.89
OAT1 N:02_0_R Comdty,2013-01-15,105.01
OAT1 N:02_0_R Comdty,2013-01-16,105.03
OAT1 N:02_0_R Comdty,2013-01-17,104.57
OAT1 N:02_0_R Comdty,2013-01-18,104.99
OAT1 N:02_0_R Comdty,2013-01-21,104.61
OAT1 N:02_0_R Comdty,2013-01-22,104.85
OAT1 N:02_0_R Comdty,2013-01-23,105.06
OAT1 N:02_0_R Comdty,2013-01-24,104.77
OAT1 N:02_0_R Comdty,2013-01-25,104.29
OAT1 N:02_0_R Comdty,2013-01-28,103.93
OAT1 N:02_0_R Comdty,2013-01-29,104.0
OAT1 N:02_0_R Comdty,2013-01-30,103.74
OAT1 N:02_0_R Comdty,2013-01-31,104.08
OAT1 N:02_0_R Comdty,2013-02-01,104.19
OAT1 N:02_0_R Comdty,2013-02-04,104.23
OAT1 N:02_0_R Comdty,2013-02-05,103.94
OAT1 N:02_0_R Comdty,2013-02-06,104.0
OAT1 N:02_0_R Comdty,2013-02-07,104.24
OAT1 N:02_0_R Comdty,2013-02-08,104.4
OAT1 N:02_0_R Comdty,2013-02-11,104.29
OAT1 N:02_0_R Comdty,2013-02-12,104.12
OAT1 N:02_0_R Comdty,2013-02-13,103.96
OAT1 N:02_0_R Comdty,2013-02-14,104.23
OAT1 N:02_0_R Comdty,2013-02-15,104.08
OAT1 N:02_0_R Comdty,2013-02-18,104.26
OAT1 N:02_0_R Comdty,2013-02-19,104.3
OAT1 N:02_0_R Comdty,2013-02-20,104.15
OAT1 N:02_0_R Comdty,2013-02-21,104.56
OAT1 N:02_0_R Comdty,2013-02-22,104.64
OAT1 N:02_0_R Comdty,2013-02-25,104.58
OAT1 N:02_0_R Comdty,2013-02-26,105.11
OAT1 N:02_0_R Comdty,2013-02-27,105.25
OAT1 N:02_0_R Comdty,2013-02-28,105.28
OAT1 N:02_0_R Comdty,2013-03-01,105.68
OAT1 N:02_0_R Comdty,2013-03-04,105.87
OAT1 N:02_0_R Comdty,2013-03-05,105.59
OAT1 N:02_0_R Comdty,2013-03-06,105.7
OAT1 N:02_0_R Comdty,2013-03-07,105.68
OAT1 N:02_0_R Comdty,2013-03-08,105.66
OAT1 N:02_0_R Comdty,2013-03-11,105.67
OAT1 N:02_0_R Comdty,2013-03-12,105.81
OAT1 N:02_0_R Comdty,2013-03-13,105.94
OAT1 N:02_0_R Comdty,2013-03-14,105.99
OAT1 N:02_0_R Comdty,2013-03-15,106.19
OAT1 N:02_0_R Comdty,2013-03-18,106.52
OAT1 N:02_0_R Comdty,2013-03-19,106.79
OAT1 N:02_0_R Comdty,2013-03-20,106.6
OAT1 N:02_0_R Comdty,2013-03-21,106.79
OAT1 N:02_0_R Comdty,2013-03-22,106.7
OAT1 N:02_0_R Comdty,2013-03-25,106.62
OAT1 N:02_0_R Comdty,2013-03-26,106.4
OAT1 N:02_0_R Comdty,2013-03-27,106.75
OAT1 N:02_0_R Comdty,2013-03-28,106.69
OAT1 N:02_0_R Comdty,2013-04-02,106.76
OAT1 N:02_0_R Comdty,2013-04-03,107.02
OAT1 N:02_0_R Comdty,2013-04-04,107.95
OAT1 N:02_0_R Comdty,2013-04-05,109.06
OAT1 N:02_0_R Comdty,2013-04-08,109.17
OAT1 N:02_0_R Comdty,2013-04-09,108.74
OAT1 N:02_0_R Comdty,2013-04-10,108.14
OAT1 N:02_0_R Comdty,2013-04-11,108.3
OAT1 N:02_0_R Comdty,2013-04-12,108.6
OAT1 N:02_0_R Comdty,2013-04-15,108.76
OAT1 N:02_0_R Comdty,2013-04-16,108.61
OAT1 N:02_0_R Comdty,2013-04-17,108.96
OAT1 N:02_0_R Comdty,2013-04-18,108.88
OAT1 N:02_0_R Comdty,2013-04-19,108.79
OAT1 N:02_0_R Comdty,2013-04-22,109.2
OAT1 N:02_0_R Comdty,2013-04-23,109.3
OAT1 N:02_0_R Comdty,2013-04-24,109.24
OAT1 N:02_0_R Comdty,2013-04-25,109.19
OAT1 N:02_0_R Comdty,2013-04-26,109.28
OAT1 N:02_0_R Comdty,2013-04-29,109.35
OAT1 N:02_0_R Comdty,2013-04-30,109.65
OAT1 N:02_0_R Comdty,2013-05-02,110.01
OAT1 N:02_0_R Comdty,2013-05-03,109.6
OAT1 N:02_0_R Comdty,2013-05-06,109.78
OAT1 N:02_0_R Comdty,2013-05-07,109.39
OAT1 N:02_0_R Comdty,2013-05-08,109.62
OAT1 N:02_0_R Comdty,2013-05-09,109.47
OAT1 N:02_0_R Comdty,2013-05-10,108.62
OAT1 N:02_0_R Comdty,2013-05-13,108.75
OAT1 N:02_0_R Comdty,2013-05-14,108.74
OAT1 N:02_0_R Comdty,2013-05-15,108.72
OAT1 N:02_0_R Comdty,2013-05-16,109.19
OAT1 N:02_0_R Comdty,2013-05-17,109.45
OAT1 N:02_0_R Comdty,2013-05-20,109.27
OAT1 N:02_0_R Comdty,2013-05-21,108.83
OAT1 N:02_0_R Comdty,2013-05-22,109.05
OAT1 N:02_0_R Comdty,2013-05-23,108.73
OAT1 N:02_0_R Comdty,2013-05-24,108.61
OAT1 N:02_0_R Comdty,2013-05-27,108.46
OAT1 N:02_0_R Comdty,2013-05-28,108.15
OAT1 N:02_0_R Comdty,2013-05-29,107.71
OAT1 N:02_0_R Comdty,2013-05-30,107.53
OAT1 N:02_0_R Comdty,2013-05-31,107.6
OAT1 N:02_0_R Comdty,2013-06-03,107.47
OAT1 N:02_0_R Comdty,2013-06-04,107.43
OAT1 N:02_0_R Comdty,2013-06-05,107.73
OAT1 N:02_0_R Comdty,2013-06-06,107.21
OAT1 N:02_0_R Comdty,2013-06-07,107.14
OAT1 N:02_0_R Comdty,2013-06-10,106.75
OAT1 N:02_0_R Comdty,2013-06-11,106.42
OAT1 N:02_0_R Comdty,2013-06-12,106.47
OAT1 N:02_0_R Comdty,2013-06-13,106.77
OAT1 N:02_0_R Comdty,2013-06-14,107.39
OAT1 N:02_0_R Comdty,2013-06-17,107.42
OAT1 N:02_0_R Comdty,2013-06-18,107.06
OAT1 N:02_0_R Comdty,2013-06-19,107.28
OAT1 N:02_0_R Comdty,2013-06-20,105.92
OAT1 N:02_0_R Comdty,2013-06-21,105.35
OAT1 N:02_0_R Comdty,2013-06-24,104.16
OAT1 N:02_0_R Comdty,2013-06-25,104.17
OAT1 N:02_0_R Comdty,2013-06-26,104.89
OAT1 N:02_0_R Comdty,2013-06-27,105.32
OAT1 N:02_0_R Comdty,2013-06-28,105.27
OAT1 N:02_0_R Comdty,2013-07-01,105.43
OAT1 N:02_0_R Comdty,2013-07-02,105.55
OAT1 N:02_0_R Comdty,2013-07-03,105.71
OAT1 N:02_0_R Comdty,2013-07-04,105.92
OAT1 N:02_0_R Comdty,2013-07-05,105.78
OAT1 N:02_0_R Comdty,2013-07-08,106.11
OAT1 N:02_0_R Comdty,2013-07-09,106.36
OAT1 N:02_0_R Comdty,2013-07-10,106.33
OAT1 N:02_0_R Comdty,2013-07-11,106.44
OAT1 N:02_0_R Comdty,2013-07-12,106.84
OAT1 N:02_0_R Comdty,2013-07-15,106.64
OAT1 N:02_0_R Comdty,2013-07-16,106.75
OAT1 N:02_0_R Comdty,2013-07-17,106.79
OAT1 N:02_0_R Comdty,2013-07-18,107.0
OAT1 N:02_0_R Comdty,2013-07-19,106.83
OAT1 N:02_0_R Comdty,2013-07-22,106.76
OAT1 N:02_0_R Comdty,2013-07-23,106.67
OAT1 N:02_0_R Comdty,2013-07-24,106.16
OAT1 N:02_0_R Comdty,2013-07-25,106.05
OAT1 N:02_0_R Comdty,2013-07-26,106.09
OAT1 N:02_0_R Comdty,2013-07-29,106.12
OAT1 N:02_0_R Comdty,2013-07-30,106.21
OAT1 N:02_0_R Comdty,2013-07-31,106.4
OAT1 N:02_0_R Comdty,2013-08-01,106.45
OAT1 N:02_0_R Comdty,2013-08-02,106.68
OAT1 N:02_0_R Comdty,2013-08-05,106.27
OAT1 N:02_0_R Comdty,2013-08-06,106.25
OAT1 N:02_0_R Comdty,2013-08-07,106.44
OAT1 N:02_0_R Comdty,2013-08-08,106.52
OAT1 N:02_0_R Comdty,2013-08-09,106.6
OAT1 N:02_0_R Comdty,2013-08-12,106.64
OAT1 N:02_0_R Comdty,2013-08-13,105.73
OAT1 N:02_0_R Comdty,2013-08-14,105.86
OAT1 N:02_0_R Comdty,2013-08-15,105.26
OAT1 N:02_0_R Comdty,2013-08-16,105.38
OAT1 N:02_0_R Comdty,2013-08-19,105.01
OAT1 N:02_0_R Comdty,2013-08-20,105.32
OAT1 N:02_0_R Comdty,2013-08-21,105.03
OAT1 N:02_0_R Comdty,2013-08-22,104.77
OAT1 N:02_0_R Comdty,2013-08-23,104.71
OAT1 N:02_0_R Comdty,2013-08-26,104.97
OAT1 N:02_0_R Comdty,2013-08-27,105.08
OAT1 N:02_0_R Comdty,2013-08-28,104.99
OAT1 N:02_0_R Comdty,2013-08-29,105.1
OAT1 N:02_0_R Comdty,2013-08-30,105.01
OAT1 N:02_0_R Comdty,2013-09-02,104.77
OAT1 N:02_0_R Comdty,2013-09-03,104.56
OAT1 N:02_0_R Comdty,2013-09-04,104.65
OAT1 N:02_0_R Comdty,2013-09-05,103.84
OAT1 N:02_0_R Comdty,2013-09-06,104.42
OAT1 N:02_0_R Comdty,2013-09-09,104.27
OAT1 N:02_0_R Comdty,2013-09-10,103.59
OAT1 N:02_0_R Comdty,2013-09-11,104.0
OAT1 N:02_0_R Comdty,2013-09-12,104.35
OAT1 N:02_0_R Comdty,2013-09-13,104.51
OAT1 N:02_0_R Comdty,2013-09-16,104.97
OAT1 N:02_0_R Comdty,2013-09-17,104.9
OAT1 N:02_0_R Comdty,2013-09-18,104.75
OAT1 N:02_0_R Comdty,2013-09-19,105.44
OAT1 N:02_0_R Comdty,2013-09-20,105.16
OAT1 N:02_0_R Comdty,2013-09-23,105.52
OAT1 N:02_0_R Comdty,2013-09-24,106.05
OAT1 N:02_0_R Comdty,2013-09-25,106.34
OAT1 N:02_0_R Comdty,2013-09-26,106.23
OAT1 N:02_0_R Comdty,2013-09-27,106.43
OAT1 N:02_0_R Comdty,2013-09-30,106.57
OAT1 N:02_0_R Comdty,2013-10-01,106.55
OAT1 N:02_0_R Comdty,2013-10-02,106.51
OAT1 N:02_0_R Comdty,2013-10-03,106.35
OAT1 N:02_0_R Comdty,2013-10-04,106.3
OAT1 N:02_0_R Comdty,2013-10-07,106.52
OAT1 N:02_0_R Comdty,2013-10-08,106.41
OAT1 N:02_0_R Comdty,2013-10-09,106.42
OAT1 N:02_0_R Comdty,2013-10-10,106.1
OAT1 N:02_0_R Comdty,2013-10-11,106.25
OAT1 N:02_0_R Comdty,2013-10-14,106.27
OAT1 N:02_0_R Comdty,2013-10-15,105.94
OAT1 N:02_0_R Comdty,2013-10-16,105.77
OAT1 N:02_0_R Comdty,2013-10-17,106.22
OAT1 N:02_0_R Comdty,2013-10-18,106.55
OAT1 N:02_0_R Comdty,2013-10-21,106.48
OAT1 N:02_0_R Comdty,2013-10-22,107.09
OAT1 N:02_0_R Comdty,2013-10-23,107.4
OAT1 N:02_0_R Comdty,2013-10-24,107.4
OAT1 N:02_0_R Comdty,2013-10-25,107.5
