name,date,PX_LAST
OI1 N:02_0_R Index,1993-07-08,21.67142
OI1 N:02_0_R Index,1993-07-27,21.67142
OI1 N:02_0_R Index,1993-08-16,24.2105
OI1 N:02_0_R Index,1993-09-17,23.93335
OI1 N:02_0_R Index,1993-10-06,24.74696
OI1 N:02_0_R Index,1993-11-18,24.70721
OI1 N:02_0_R Index,1993-11-23,24.23926
OI1 N:02_0_R Index,1993-12-13,23.564
OI1 N:02_0_R Index,1993-12-22,23.564
OI1 N:02_0_R Index,1993-12-23,24.17788
OI1 N:02_0_R Index,1993-12-27,24.70894
OI1 N:02_0_R Index,1994-01-20,24.70894
OI1 N:02_0_R Index,1994-02-28,24.70894
OI1 N:02_0_R Index,1994-03-03,23.91988
OI1 N:02_0_R Index,1994-03-04,23.64214
OI1 N:02_0_R Index,1994-05-03,23.16478
OI1 N:02_0_R Index,1994-08-08,24.59641
OI1 N:02_0_R Index,1994-11-22,22.88938
OI1 N:02_0_R Index,1994-11-28,23.14646
OI1 N:02_0_R Index,1994-12-14,23.14646
OI1 N:02_0_R Index,1995-02-24,24.35982
OI1 N:02_0_R Index,1995-03-01,24.10562
OI1 N:02_0_R Index,1995-03-08,23.73795
OI1 N:02_0_R Index,1995-03-13,23.52801
OI1 N:02_0_R Index,1995-03-15,24.23128
OI1 N:02_0_R Index,1995-04-04,24.57398
OI1 N:02_0_R Index,1995-04-06,25.1234
OI1 N:02_0_R Index,1995-04-26,25.1234
OI1 N:02_0_R Index,1995-05-12,24.75995
OI1 N:02_0_R Index,1995-05-18,24.75995
OI1 N:02_0_R Index,1995-06-07,25.10934
OI1 N:02_0_R Index,1995-06-19,25.10934
OI1 N:02_0_R Index,1995-06-20,25.45724
OI1 N:02_0_R Index,1995-06-21,25.42541
OI1 N:02_0_R Index,1995-06-23,25.35256
OI1 N:02_0_R Index,1995-06-26,25.09832
OI1 N:02_0_R Index,1995-06-27,25.15579
OI1 N:02_0_R Index,1995-06-29,25.55359
OI1 N:02_0_R Index,1995-06-30,25.51169
OI1 N:02_0_R Index,1995-07-04,25.64212
OI1 N:02_0_R Index,1995-07-06,25.71667
OI1 N:02_0_R Index,1995-07-07,25.81358
OI1 N:02_0_R Index,1995-07-10,25.91454
OI1 N:02_0_R Index,1995-07-11,25.85821
