name,date,PX_LAST
OT1 N:02_0_R Index,1995-10-31,595.70302
OT1 N:02_0_R Index,1995-11-02,593.49922
OT1 N:02_0_R Index,1995-11-03,600.44461
OT1 N:02_0_R Index,1995-11-06,607.48425
OT1 N:02_0_R Index,1995-11-07,601.43221
OT1 N:02_0_R Index,1995-11-08,591.81101
OT1 N:02_0_R Index,1995-11-09,596.70419
OT1 N:02_0_R Index,1995-11-10,586.36905
OT1 N:02_0_R Index,1995-11-13,584.19779
OT1 N:02_0_R Index,1995-11-14,570.7058
OT1 N:02_0_R Index,1995-11-15,575.82046
OT1 N:02_0_R Index,1995-11-16,565.32056
OT1 N:02_0_R Index,1995-11-17,566.27097
OT1 N:02_0_R Index,1995-11-20,567.3938
OT1 N:02_0_R Index,1995-11-21,568.36394
OT1 N:02_0_R Index,1995-11-22,559.17531
OT1 N:02_0_R Index,1995-11-23,567.59218
OT1 N:02_0_R Index,1995-11-24,576.13702
OT1 N:02_0_R Index,1995-11-27,574.61262
OT1 N:02_0_R Index,1995-11-28,578.27514
OT1 N:02_0_R Index,1995-11-29,587.61716
OT1 N:02_0_R Index,1995-11-30,582.33492
OT1 N:02_0_R Index,1995-12-01,588.09642
OT1 N:02_0_R Index,1995-12-04,578.39427
OT1 N:02_0_R Index,1995-12-05,580.68879
OT1 N:02_0_R Index,1995-12-07,574.73315
OT1 N:02_0_R Index,1995-12-08,571.06074
OT1 N:02_0_R Index,1995-12-11,575.86335
OT1 N:02_0_R Index,1995-12-12,569.883
OT1 N:02_0_R Index,1995-12-13,556.92413
OT1 N:02_0_R Index,1995-12-14,551.03542
OT1 N:02_0_R Index,1995-12-15,514.34632
OT1 N:02_0_R Index,1995-12-18,515.17882
OT1 N:02_0_R Index,1995-12-19,496.32176
OT1 N:02_0_R Index,1995-12-20,512.41946
OT1 N:02_0_R Index,1995-12-21,522.55929
OT1 N:02_0_R Index,1995-12-22,534.21963
OT1 N:02_0_R Index,1997-04-24,726.0475
OT1 N:02_0_R Index,1997-04-25,713.39313
OT1 N:02_0_R Index,1997-04-28,703.54484
OT1 N:02_0_R Index,1997-04-29,722.65551
OT1 N:02_0_R Index,1997-04-30,723.1417
OT1 N:02_0_R Index,1997-05-02,733.5263
OT1 N:02_0_R Index,1997-05-05,737.35072
OT1 N:02_0_R Index,1997-05-06,745.42855
OT1 N:02_0_R Index,1997-05-07,742.06241
OT1 N:02_0_R Index,1997-05-09,757.08395
OT1 N:02_0_R Index,1997-05-12,745.64068
OT1 N:02_0_R Index,1997-05-13,752.05362
OT1 N:02_0_R Index,1997-05-14,759.20711
OT1 N:02_0_R Index,1997-05-15,758.67421
OT1 N:02_0_R Index,1997-05-16,768.15654
OT1 N:02_0_R Index,1997-05-19,754.64447
OT1 N:02_0_R Index,1997-05-20,758.21695
OT1 N:02_0_R Index,1997-05-21,774.10443
OT1 N:02_0_R Index,1997-05-22,772.44693
OT1 N:02_0_R Index,1997-05-23,777.72481
OT1 N:02_0_R Index,1997-05-28,759.89602
OT1 N:02_0_R Index,1997-05-29,760.73595
OT1 N:02_0_R Index,1997-05-30,749.77692
OT1 N:02_0_R Index,1997-06-02,749.81657
OT1 N:02_0_R Index,1997-06-03,753.10785
OT1 N:02_0_R Index,1997-06-04,749.90138
OT1 N:02_0_R Index,1997-06-05,747.02033
OT1 N:02_0_R Index,1997-06-06,752.58518
OT1 N:02_0_R Index,1997-06-09,770.06163
OT1 N:02_0_R Index,1997-06-10,761.13011
OT1 N:02_0_R Index,1997-06-12,767.80366
OT1 N:02_0_R Index,1997-06-13,765.20876
OT1 N:02_0_R Index,1997-06-17,757.47553
OT1 N:02_0_R Index,1997-06-18,755.04943
OT1 N:02_0_R Index,1997-06-19,763.96868
OT1 N:02_0_R Index,1997-06-23,773.79402
OT1 N:02_0_R Index,1997-06-24,772.55844
OT1 N:02_0_R Index,1997-08-29,772.55844
OT1 N:02_0_R Index,1997-09-01,775.96794
OT1 N:02_0_R Index,1997-09-02,773.92429
OT1 N:02_0_R Index,1997-09-03,791.27261
OT1 N:02_0_R Index,1997-09-04,787.21125
OT1 N:02_0_R Index,1997-09-05,806.2869
OT1 N:02_0_R Index,1997-09-08,802.99654
OT1 N:02_0_R Index,1997-09-09,796.8868
OT1 N:02_0_R Index,1997-09-10,805.73932
OT1 N:02_0_R Index,1997-09-11,799.97011
OT1 N:02_0_R Index,1997-09-12,804.72467
OT1 N:02_0_R Index,1997-09-15,807.21081
OT1 N:02_0_R Index,1997-09-16,811.21718
OT1 N:02_0_R Index,1997-09-17,818.42657
OT1 N:02_0_R Index,1997-09-18,828.68352
OT1 N:02_0_R Index,1997-09-19,840.08648
OT1 N:02_0_R Index,1997-09-22,843.1055
OT1 N:02_0_R Index,1997-09-23,845.20905
OT1 N:02_0_R Index,1997-09-24,854.60227
OT1 N:02_0_R Index,1997-09-26,876.31363
OT1 N:02_0_R Index,1997-09-29,883.93847
OT1 N:02_0_R Index,1997-09-30,893.88428
OT1 N:02_0_R Index,1997-10-01,892.77205
OT1 N:02_0_R Index,1997-10-02,892.52032
OT1 N:02_0_R Index,1997-10-03,918.05211
OT1 N:02_0_R Index,1997-10-06,912.69748
OT1 N:02_0_R Index,1997-10-07,915.80225
OT1 N:02_0_R Index,1997-10-08,925.7159
OT1 N:02_0_R Index,1997-10-10,896.94807
OT1 N:02_0_R Index,1997-10-13,924.41773
OT1 N:02_0_R Index,1997-10-14,917.81404
OT1 N:02_0_R Index,1997-10-15,919.76278
OT1 N:02_0_R Index,1997-10-16,926.24575
OT1 N:02_0_R Index,1997-10-17,898.62353
OT1 N:02_0_R Index,1997-10-20,905.75247
OT1 N:02_0_R Index,1997-10-21,919.16809
OT1 N:02_0_R Index,1997-10-22,924.80481
OT1 N:02_0_R Index,1997-10-23,911.26563
OT1 N:02_0_R Index,1997-10-24,907.35056
OT1 N:02_0_R Index,1997-10-27,867.64794
OT1 N:02_0_R Index,1997-10-28,812.07183
OT1 N:02_0_R Index,1997-10-29,856.21659
OT1 N:02_0_R Index,1997-10-30,817.31801
OT1 N:02_0_R Index,1997-10-31,820.01546
OT1 N:02_0_R Index,1997-11-03,848.81931
OT1 N:02_0_R Index,1997-11-04,849.59294
OT1 N:02_0_R Index,1997-11-05,863.05842
OT1 N:02_0_R Index,1997-11-06,852.12884
OT1 N:02_0_R Index,1997-11-07,829.01151
OT1 N:02_0_R Index,1997-11-10,844.4034
OT1 N:02_0_R Index,1997-11-11,832.90417
OT1 N:02_0_R Index,1997-11-12,804.60652
OT1 N:02_0_R Index,1997-11-13,808.36416
OT1 N:02_0_R Index,1997-11-14,806.20778
OT1 N:02_0_R Index,1997-11-18,830.75448
OT1 N:02_0_R Index,1997-11-19,819.93273
OT1 N:02_0_R Index,1997-11-20,831.93259
OT1 N:02_0_R Index,1997-11-21,843.12124
OT1 N:02_0_R Index,1997-11-24,820.59087
OT1 N:02_0_R Index,1997-11-25,818.78891
OT1 N:02_0_R Index,1997-11-26,810.92879
OT1 N:02_0_R Index,1997-11-27,804.69338
OT1 N:02_0_R Index,1997-12-01,808.65586
OT1 N:02_0_R Index,1997-12-02,810.16241
OT1 N:02_0_R Index,1997-12-03,795.95031
OT1 N:02_0_R Index,1997-12-04,802.81964
OT1 N:02_0_R Index,1997-12-05,802.45399
OT1 N:02_0_R Index,1997-12-08,804.68135
OT1 N:02_0_R Index,1997-12-09,795.84077
OT1 N:02_0_R Index,1997-12-10,788.8196
OT1 N:02_0_R Index,1997-12-11,770.35129
OT1 N:02_0_R Index,1997-12-12,763.30755
OT1 N:02_0_R Index,1997-12-15,747.13098
OT1 N:02_0_R Index,1997-12-16,756.9387
OT1 N:02_0_R Index,1997-12-17,776.75016
OT1 N:02_0_R Index,1997-12-18,767.93657
OT1 N:02_0_R Index,1997-12-19,743.92647
OT1 N:02_0_R Index,1997-12-22,754.9119
OT1 N:02_0_R Index,1998-02-26,754.9119
OT1 N:02_0_R Index,1998-03-02,770.30885
OT1 N:02_0_R Index,1998-03-04,747.85718
OT1 N:02_0_R Index,1998-03-05,735.50708
OT1 N:02_0_R Index,1998-03-06,747.09211
OT1 N:02_0_R Index,1998-03-09,749.90872
OT1 N:02_0_R Index,1998-03-10,755.05755
OT1 N:02_0_R Index,1998-03-11,764.88945
OT1 N:02_0_R Index,1998-03-12,773.14803
OT1 N:02_0_R Index,1998-03-13,785.11251
OT1 N:02_0_R Index,1998-03-16,789.86557
OT1 N:02_0_R Index,1998-03-17,800.58426
OT1 N:02_0_R Index,1998-03-18,786.53449
OT1 N:02_0_R Index,1998-03-19,797.64131
OT1 N:02_0_R Index,1998-03-20,797.03753
OT1 N:02_0_R Index,1998-03-23,801.12783
OT1 N:02_0_R Index,1998-03-24,785.06129
OT1 N:02_0_R Index,1998-03-25,801.35818
OT1 N:02_0_R Index,1998-03-26,795.78055
OT1 N:02_0_R Index,1998-03-27,781.31066
OT1 N:02_0_R Index,1998-03-30,783.93258
OT1 N:02_0_R Index,1998-03-31,784.85192
OT1 N:02_0_R Index,1998-04-01,794.39712
OT1 N:02_0_R Index,1998-04-02,805.08399
OT1 N:02_0_R Index,1998-04-03,823.97978
OT1 N:02_0_R Index,1998-04-06,843.76675
OT1 N:02_0_R Index,1998-04-07,830.7486
OT1 N:02_0_R Index,1998-04-08,837.59242
OT1 N:02_0_R Index,1998-04-09,834.01899
OT1 N:02_0_R Index,1998-04-14,865.58959
OT1 N:02_0_R Index,1998-04-15,892.61773
OT1 N:02_0_R Index,1998-04-16,886.87989
OT1 N:02_0_R Index,1998-04-17,880.21315
OT1 N:02_0_R Index,1998-04-20,921.08529
OT1 N:02_0_R Index,1998-04-21,932.80158
