name,date,PX_LAST
QC1 N:02_0_R Index,2005-02-15,73.54734
QC1 N:02_0_R Index,2005-02-16,72.40411
QC1 N:02_0_R Index,2005-02-17,72.79882
QC1 N:02_0_R Index,2005-02-18,72.12092
QC1 N:02_0_R Index,2005-02-21,72.46465
QC1 N:02_0_R Index,2005-02-22,73.15273
QC1 N:02_0_R Index,2005-02-23,73.17731
QC1 N:02_0_R Index,2005-02-24,73.62613
QC1 N:02_0_R Index,2005-02-25,74.43494
QC1 N:02_0_R Index,2005-02-28,74.48763
QC1 N:02_0_R Index,2005-03-01,74.40965
QC1 N:02_0_R Index,2005-03-02,74.17872
QC1 N:02_0_R Index,2005-03-03,74.66414
QC1 N:02_0_R Index,2005-03-04,75.96915
QC1 N:02_0_R Index,2005-03-07,75.55168
QC1 N:02_0_R Index,2005-03-08,75.87929
QC1 N:02_0_R Index,2005-03-09,76.09809
QC1 N:02_0_R Index,2005-03-10,75.01096
QC1 N:02_0_R Index,2005-03-11,75.65503
QC1 N:02_0_R Index,2005-03-14,75.19821
QC1 N:02_0_R Index,2005-03-15,75.42018
QC1 N:02_0_R Index,2005-03-16,74.71225
QC1 N:02_0_R Index,2005-03-17,74.43506
QC1 N:02_0_R Index,2005-03-18,73.78132
QC1 N:02_0_R Index,2005-03-21,72.35724
QC1 N:02_0_R Index,2005-03-22,73.45195
QC1 N:02_0_R Index,2005-03-23,72.46621
QC1 N:02_0_R Index,2005-03-24,72.56671
QC1 N:02_0_R Index,2005-03-29,72.29487
QC1 N:02_0_R Index,2005-03-30,72.31615
QC1 N:02_0_R Index,2005-03-31,72.25106
QC1 N:02_0_R Index,2005-04-01,72.46886
QC1 N:02_0_R Index,2005-04-04,71.86312
QC1 N:02_0_R Index,2005-04-05,72.60467
QC1 N:02_0_R Index,2005-04-06,73.44964
QC1 N:02_0_R Index,2005-04-07,73.7209
QC1 N:02_0_R Index,2005-04-08,74.08562
QC1 N:02_0_R Index,2005-04-11,74.86103
QC1 N:02_0_R Index,2005-04-12,73.94346
QC1 N:02_0_R Index,2005-04-13,74.67927
QC1 N:02_0_R Index,2005-04-14,74.32962
QC1 N:02_0_R Index,2005-04-15,73.98898
QC1 N:02_0_R Index,2005-04-18,73.23009
QC1 N:02_0_R Index,2005-04-19,73.39355
QC1 N:02_0_R Index,2005-04-20,73.78895
QC1 N:02_0_R Index,2005-04-21,73.79267
QC1 N:02_0_R Index,2005-04-22,75.27793
QC1 N:02_0_R Index,2005-04-25,74.94524
QC1 N:02_0_R Index,2005-04-26,74.31816
QC1 N:02_0_R Index,2005-04-27,72.35682
QC1 N:02_0_R Index,2005-04-28,71.09463
