name,date,PX_LAST
S 1 N:02_0_R Comdty,1990-01-02,3.48606
S 1 N:02_0_R Comdty,1990-01-03,3.52088
S 1 N:02_0_R Comdty,1990-01-04,3.49061
S 1 N:02_0_R Comdty,1990-01-05,3.49363
S 1 N:02_0_R Comdty,1990-01-08,3.53299
S 1 N:02_0_R Comdty,1990-01-09,3.52845
S 1 N:02_0_R Comdty,1990-01-10,3.51028
S 1 N:02_0_R Comdty,1990-01-11,3.52391
S 1 N:02_0_R Comdty,1990-01-12,3.49817
S 1 N:02_0_R Comdty,1990-01-15,3.48606
S 1 N:02_0_R Comdty,1990-01-16,3.43914
S 1 N:02_0_R Comdty,1990-01-17,3.43611
S 1 N:02_0_R Comdty,1990-01-18,3.45276
S 1 N:02_0_R Comdty,1990-01-19,3.424
S 1 N:02_0_R Comdty,1990-01-22,3.42703
S 1 N:02_0_R Comdty,1990-01-23,3.4346
S 1 N:02_0_R Comdty,1990-01-24,3.42703
S 1 N:02_0_R Comdty,1990-01-25,3.38011
S 1 N:02_0_R Comdty,1990-01-26,3.38162
S 1 N:02_0_R Comdty,1990-01-29,3.41189
S 1 N:02_0_R Comdty,1990-01-30,3.38162
S 1 N:02_0_R Comdty,1990-01-31,3.39676
S 1 N:02_0_R Comdty,1990-02-01,3.38919
S 1 N:02_0_R Comdty,1990-02-02,3.39221
S 1 N:02_0_R Comdty,1990-02-05,3.38011
S 1 N:02_0_R Comdty,1990-02-06,3.40735
S 1 N:02_0_R Comdty,1990-02-07,3.43763
S 1 N:02_0_R Comdty,1990-02-08,3.41946
S 1 N:02_0_R Comdty,1990-02-09,3.43157
S 1 N:02_0_R Comdty,1990-02-12,3.42249
S 1 N:02_0_R Comdty,1990-02-13,3.41492
S 1 N:02_0_R Comdty,1990-02-14,3.43157
S 1 N:02_0_R Comdty,1990-02-15,3.4573
S 1 N:02_0_R Comdty,1990-02-16,3.44974
S 1 N:02_0_R Comdty,1990-02-20,3.42854
S 1 N:02_0_R Comdty,1990-02-21,3.4573
S 1 N:02_0_R Comdty,1990-02-22,3.43914
S 1 N:02_0_R Comdty,1990-02-23,3.42249
S 1 N:02_0_R Comdty,1990-02-26,3.4013
S 1 N:02_0_R Comdty,1990-02-27,3.40367
S 1 N:02_0_R Comdty,1990-02-28,3.43921
S 1 N:02_0_R Comdty,1990-03-01,3.44158
S 1 N:02_0_R Comdty,1990-03-02,3.45105
S 1 N:02_0_R Comdty,1990-03-05,3.46053
S 1 N:02_0_R Comdty,1990-03-06,3.50318
S 1 N:02_0_R Comdty,1990-03-07,3.49726
S 1 N:02_0_R Comdty,1990-03-08,3.52095
S 1 N:02_0_R Comdty,1990-03-09,3.55531
S 1 N:02_0_R Comdty,1990-03-12,3.52451
S 1 N:02_0_R Comdty,1990-03-13,3.49489
S 1 N:02_0_R Comdty,1990-03-14,3.45935
S 1 N:02_0_R Comdty,1990-03-15,3.53043
S 1 N:02_0_R Comdty,1990-03-16,3.51384
S 1 N:02_0_R Comdty,1990-03-19,3.55412
S 1 N:02_0_R Comdty,1990-03-20,3.56953
S 1 N:02_0_R Comdty,1990-03-21,3.56716
S 1 N:02_0_R Comdty,1990-03-22,3.58374
S 1 N:02_0_R Comdty,1990-03-23,3.54228
S 1 N:02_0_R Comdty,1990-03-26,3.57426
S 1 N:02_0_R Comdty,1990-03-27,3.55531
S 1 N:02_0_R Comdty,1990-03-28,3.4866
S 1 N:02_0_R Comdty,1990-03-29,3.49133
S 1 N:02_0_R Comdty,1990-03-30,3.52451
S 1 N:02_0_R Comdty,1990-04-02,3.46527
S 1 N:02_0_R Comdty,1990-04-03,3.47119
S 1 N:02_0_R Comdty,1990-04-04,3.50081
S 1 N:02_0_R Comdty,1990-04-05,3.5328
S 1 N:02_0_R Comdty,1990-04-06,3.52688
S 1 N:02_0_R Comdty,1990-04-09,3.50437
S 1 N:02_0_R Comdty,1990-04-10,3.50081
S 1 N:02_0_R Comdty,1990-04-11,3.51029
S 1 N:02_0_R Comdty,1990-04-12,3.47475
S 1 N:02_0_R Comdty,1990-04-16,3.50081
S 1 N:02_0_R Comdty,1990-04-17,3.5328
S 1 N:02_0_R Comdty,1990-04-18,3.51977
S 1 N:02_0_R Comdty,1990-04-19,3.55649
S 1 N:02_0_R Comdty,1990-04-20,3.58137
S 1 N:02_0_R Comdty,1990-04-23,3.5873
S 1 N:02_0_R Comdty,1990-04-24,3.54465
S 1 N:02_0_R Comdty,1990-04-25,3.60862
S 1 N:02_0_R Comdty,1990-04-26,3.70932
S 1 N:02_0_R Comdty,1990-04-27,3.76145
S 1 N:02_0_R Comdty,1990-04-30,3.747
S 1 N:02_0_R Comdty,1990-05-01,3.71811
S 1 N:02_0_R Comdty,1990-05-02,3.76578
S 1 N:02_0_R Comdty,1990-05-03,3.721
S 1 N:02_0_R Comdty,1990-05-04,3.70078
S 1 N:02_0_R Comdty,1990-05-07,3.76
S 1 N:02_0_R Comdty,1990-05-08,3.73545
S 1 N:02_0_R Comdty,1990-05-09,3.81056
S 1 N:02_0_R Comdty,1990-05-10,3.81634
S 1 N:02_0_R Comdty,1990-05-11,3.71956
S 1 N:02_0_R Comdty,1990-05-14,3.67333
S 1 N:02_0_R Comdty,1990-05-15,3.61122
S 1 N:02_0_R Comdty,1990-05-16,3.61267
S 1 N:02_0_R Comdty,1990-05-17,3.64589
S 1 N:02_0_R Comdty,1990-05-18,3.58667
S 1 N:02_0_R Comdty,1990-05-21,3.52744
S 1 N:02_0_R Comdty,1990-05-22,3.51877
S 1 N:02_0_R Comdty,1990-05-23,3.51733
S 1 N:02_0_R Comdty,1990-05-24,3.55633
S 1 N:02_0_R Comdty,1990-05-25,3.57655
S 1 N:02_0_R Comdty,1990-05-29,3.50144
S 1 N:02_0_R Comdty,1990-05-30,3.49711
S 1 N:02_0_R Comdty,1990-05-31,3.50866
S 1 N:02_0_R Comdty,1990-06-01,3.47833
S 1 N:02_0_R Comdty,1990-06-04,3.42488
S 1 N:02_0_R Comdty,1990-06-05,3.42488
S 1 N:02_0_R Comdty,1990-06-06,3.43211
S 1 N:02_0_R Comdty,1990-06-07,3.48266
S 1 N:02_0_R Comdty,1990-06-08,3.46677
S 1 N:02_0_R Comdty,1990-06-11,3.51444
S 1 N:02_0_R Comdty,1990-06-12,3.51011
S 1 N:02_0_R Comdty,1990-06-13,3.50144
S 1 N:02_0_R Comdty,1990-06-14,3.41622
S 1 N:02_0_R Comdty,1990-06-15,3.38588
S 1 N:02_0_R Comdty,1990-06-18,3.44366
S 1 N:02_0_R Comdty,1990-06-19,3.42777
S 1 N:02_0_R Comdty,1990-06-20,3.45522
S 1 N:02_0_R Comdty,1990-06-21,3.48555
S 1 N:02_0_R Comdty,1990-06-22,3.46388
S 1 N:02_0_R Comdty,1990-06-25,3.54044
S 1 N:02_0_R Comdty,1990-06-26,3.513
S 1 N:02_0_R Comdty,1990-06-27,3.513
S 1 N:02_0_R Comdty,1990-06-28,3.51014
S 1 N:02_0_R Comdty,1990-06-29,3.59722
S 1 N:02_0_R Comdty,1990-07-02,3.72854
S 1 N:02_0_R Comdty,1990-07-03,3.74567
S 1 N:02_0_R Comdty,1990-07-05,3.62291
S 1 N:02_0_R Comdty,1990-07-06,3.56724
S 1 N:02_0_R Comdty,1990-07-09,3.5444
S 1 N:02_0_R Comdty,1990-07-10,3.54297
S 1 N:02_0_R Comdty,1990-07-11,3.503
S 1 N:02_0_R Comdty,1990-07-12,3.48873
S 1 N:02_0_R Comdty,1990-07-13,3.49729
S 1 N:02_0_R Comdty,1990-07-16,3.42592
S 1 N:02_0_R Comdty,1990-07-17,3.42021
S 1 N:02_0_R Comdty,1990-07-18,3.43734
S 1 N:02_0_R Comdty,1990-07-19,3.45162
S 1 N:02_0_R Comdty,1990-07-20,3.37453
S 1 N:02_0_R Comdty,1990-07-23,3.37453
S 1 N:02_0_R Comdty,1990-07-24,3.33599
S 1 N:02_0_R Comdty,1990-07-25,3.33314
S 1 N:02_0_R Comdty,1990-07-26,3.3831
S 1 N:02_0_R Comdty,1990-07-27,3.33742
S 1 N:02_0_R Comdty,1990-07-30,3.36291
S 1 N:02_0_R Comdty,1990-07-31,3.39406
S 1 N:02_0_R Comdty,1990-08-01,3.33459
