name,date,PX_LAST
SB1 N:02_0_R Comdty,1990-01-02,0.10052
SB1 N:02_0_R Comdty,1990-01-03,0.10978
SB1 N:02_0_R Comdty,1990-01-04,0.10939
SB1 N:02_0_R Comdty,1990-01-05,0.10932
SB1 N:02_0_R Comdty,1990-01-08,0.10855
SB1 N:02_0_R Comdty,1990-01-09,0.11063
SB1 N:02_0_R Comdty,1990-01-10,0.11225
SB1 N:02_0_R Comdty,1990-01-11,0.1121
SB1 N:02_0_R Comdty,1990-01-12,0.11241
SB1 N:02_0_R Comdty,1990-01-15,0.1131
SB1 N:02_0_R Comdty,1990-01-16,0.11179
SB1 N:02_0_R Comdty,1990-01-17,0.1104
SB1 N:02_0_R Comdty,1990-01-18,0.11125
SB1 N:02_0_R Comdty,1990-01-19,0.11009
SB1 N:02_0_R Comdty,1990-01-22,0.11271
SB1 N:02_0_R Comdty,1990-01-23,0.11356
SB1 N:02_0_R Comdty,1990-01-24,0.11464
SB1 N:02_0_R Comdty,1990-01-25,0.11704
SB1 N:02_0_R Comdty,1990-01-26,0.11472
SB1 N:02_0_R Comdty,1990-01-29,0.1148
SB1 N:02_0_R Comdty,1990-01-30,0.11148
SB1 N:02_0_R Comdty,1990-01-31,0.11372
SB1 N:02_0_R Comdty,1990-02-01,0.11426
SB1 N:02_0_R Comdty,1990-02-02,0.11434
SB1 N:02_0_R Comdty,1990-02-05,0.11472
SB1 N:02_0_R Comdty,1990-02-06,0.11271
SB1 N:02_0_R Comdty,1990-02-07,0.11557
SB1 N:02_0_R Comdty,1990-02-08,0.11472
SB1 N:02_0_R Comdty,1990-02-09,0.11673
SB1 N:02_0_R Comdty,1990-02-12,0.11534
SB1 N:02_0_R Comdty,1990-02-13,0.11241
SB1 N:02_0_R Comdty,1990-02-14,0.11349
SB1 N:02_0_R Comdty,1990-02-15,0.1138
SB1 N:02_0_R Comdty,1990-02-16,0.1141
SB1 N:02_0_R Comdty,1990-02-20,0.11187
SB1 N:02_0_R Comdty,1990-02-21,0.11248
SB1 N:02_0_R Comdty,1990-02-22,0.11372
SB1 N:02_0_R Comdty,1990-02-23,0.11163
SB1 N:02_0_R Comdty,1990-02-26,0.11132
SB1 N:02_0_R Comdty,1990-02-27,0.11086
SB1 N:02_0_R Comdty,1990-02-28,0.11071
SB1 N:02_0_R Comdty,1990-03-01,0.10895
SB1 N:02_0_R Comdty,1990-03-02,0.11079
SB1 N:02_0_R Comdty,1990-03-05,0.11469
SB1 N:02_0_R Comdty,1990-03-06,0.11377
SB1 N:02_0_R Comdty,1990-03-07,0.1153
SB1 N:02_0_R Comdty,1990-03-08,0.11882
SB1 N:02_0_R Comdty,1990-03-09,0.12058
SB1 N:02_0_R Comdty,1990-03-12,0.11921
SB1 N:02_0_R Comdty,1990-03-13,0.12043
SB1 N:02_0_R Comdty,1990-03-14,0.11898
SB1 N:02_0_R Comdty,1990-03-15,0.12196
SB1 N:02_0_R Comdty,1990-03-16,0.12349
SB1 N:02_0_R Comdty,1990-03-19,0.1215
SB1 N:02_0_R Comdty,1990-03-20,0.1212
SB1 N:02_0_R Comdty,1990-03-21,0.12089
SB1 N:02_0_R Comdty,1990-03-22,0.11852
SB1 N:02_0_R Comdty,1990-03-23,0.11898
SB1 N:02_0_R Comdty,1990-03-26,0.11905
SB1 N:02_0_R Comdty,1990-03-27,0.11752
SB1 N:02_0_R Comdty,1990-03-28,0.11936
SB1 N:02_0_R Comdty,1990-03-29,0.1202
SB1 N:02_0_R Comdty,1990-03-30,0.12013
SB1 N:02_0_R Comdty,1990-04-02,0.11553
SB1 N:02_0_R Comdty,1990-04-03,0.11676
SB1 N:02_0_R Comdty,1990-04-04,0.11637
SB1 N:02_0_R Comdty,1990-04-05,0.11576
SB1 N:02_0_R Comdty,1990-04-06,0.11607
SB1 N:02_0_R Comdty,1990-04-09,0.11836
SB1 N:02_0_R Comdty,1990-04-10,0.11867
SB1 N:02_0_R Comdty,1990-04-11,0.11844
SB1 N:02_0_R Comdty,1990-04-12,0.11752
SB1 N:02_0_R Comdty,1990-04-16,0.11469
SB1 N:02_0_R Comdty,1990-04-17,0.11423
SB1 N:02_0_R Comdty,1990-04-18,0.11791
SB1 N:02_0_R Comdty,1990-04-19,0.11607
SB1 N:02_0_R Comdty,1990-04-20,0.11699
SB1 N:02_0_R Comdty,1990-04-23,0.11722
SB1 N:02_0_R Comdty,1990-04-24,0.11791
SB1 N:02_0_R Comdty,1990-04-25,0.12074
SB1 N:02_0_R Comdty,1990-04-26,0.12081
SB1 N:02_0_R Comdty,1990-04-27,0.12219
SB1 N:02_0_R Comdty,1990-04-30,0.12196
SB1 N:02_0_R Comdty,1990-05-01,0.12151
SB1 N:02_0_R Comdty,1990-05-02,0.12105
SB1 N:02_0_R Comdty,1990-05-03,0.11877
SB1 N:02_0_R Comdty,1990-05-04,0.10994
SB1 N:02_0_R Comdty,1990-05-07,0.11115
SB1 N:02_0_R Comdty,1990-05-08,0.11252
SB1 N:02_0_R Comdty,1990-05-09,0.11161
SB1 N:02_0_R Comdty,1990-05-10,0.11153
SB1 N:02_0_R Comdty,1990-05-11,0.11329
SB1 N:02_0_R Comdty,1990-05-14,0.1126
SB1 N:02_0_R Comdty,1990-05-15,0.11115
SB1 N:02_0_R Comdty,1990-05-16,0.11176
SB1 N:02_0_R Comdty,1990-05-17,0.11009
SB1 N:02_0_R Comdty,1990-05-18,0.10887
SB1 N:02_0_R Comdty,1990-05-21,0.11054
SB1 N:02_0_R Comdty,1990-05-22,0.11085
SB1 N:02_0_R Comdty,1990-05-23,0.10925
SB1 N:02_0_R Comdty,1990-05-24,0.11268
SB1 N:02_0_R Comdty,1990-05-25,0.11184
SB1 N:02_0_R Comdty,1990-05-29,0.10681
SB1 N:02_0_R Comdty,1990-05-30,0.10438
SB1 N:02_0_R Comdty,1990-05-31,0.10415
SB1 N:02_0_R Comdty,1990-06-01,0.10118
SB1 N:02_0_R Comdty,1990-06-04,0.10339
SB1 N:02_0_R Comdty,1990-06-05,0.10232
SB1 N:02_0_R Comdty,1990-06-06,0.10339
SB1 N:02_0_R Comdty,1990-06-07,0.10308
SB1 N:02_0_R Comdty,1990-06-08,0.10217
SB1 N:02_0_R Comdty,1990-06-11,0.10286
SB1 N:02_0_R Comdty,1990-06-12,0.09844
SB1 N:02_0_R Comdty,1990-06-13,0.09836
SB1 N:02_0_R Comdty,1990-06-14,0.09326
SB1 N:02_0_R Comdty,1990-06-15,0.09646
SB1 N:02_0_R Comdty,1990-06-18,0.09555
SB1 N:02_0_R Comdty,1990-06-19,0.09669
SB1 N:02_0_R Comdty,1990-06-20,0.09699
SB1 N:02_0_R Comdty,1990-06-21,0.09577
SB1 N:02_0_R Comdty,1990-06-22,0.09509
SB1 N:02_0_R Comdty,1990-06-25,0.09532
SB1 N:02_0_R Comdty,1990-06-26,0.09425
SB1 N:02_0_R Comdty,1990-06-27,0.09638
SB1 N:02_0_R Comdty,1990-06-28,0.09654
SB1 N:02_0_R Comdty,1990-06-29,0.09839
SB1 N:02_0_R Comdty,1990-07-02,0.10216
SB1 N:02_0_R Comdty,1990-07-03,0.10232
SB1 N:02_0_R Comdty,1990-07-05,0.10093
SB1 N:02_0_R Comdty,1990-07-06,0.097
SB1 N:02_0_R Comdty,1990-07-09,0.09168
SB1 N:02_0_R Comdty,1990-07-10,0.09322
SB1 N:02_0_R Comdty,1990-07-11,0.09222
SB1 N:02_0_R Comdty,1990-07-12,0.09376
SB1 N:02_0_R Comdty,1990-07-13,0.09353
SB1 N:02_0_R Comdty,1990-07-16,0.0903
SB1 N:02_0_R Comdty,1990-07-17,0.08621
SB1 N:02_0_R Comdty,1990-07-18,0.08467
SB1 N:02_0_R Comdty,1990-07-19,0.08806
SB1 N:02_0_R Comdty,1990-07-20,0.08883
SB1 N:02_0_R Comdty,1990-07-23,0.08583
SB1 N:02_0_R Comdty,1990-07-24,0.08683
SB1 N:02_0_R Comdty,1990-07-25,0.08822
SB1 N:02_0_R Comdty,1990-07-26,0.0876
SB1 N:02_0_R Comdty,1990-07-27,0.08768
SB1 N:02_0_R Comdty,1990-07-30,0.08691
SB1 N:02_0_R Comdty,1990-07-31,0.08544
SB1 N:02_0_R Comdty,1990-08-01,0.08128
SB1 N:02_0_R Comdty,1990-08-02,0.08005
SB1 N:02_0_R Comdty,1990-08-03,0.07627
SB1 N:02_0_R Comdty,1990-08-06,0.08028
SB1 N:02_0_R Comdty,1990-08-07,0.0809
SB1 N:02_0_R Comdty,1990-08-08,0.08005
SB1 N:02_0_R Comdty,1990-08-09,0.08067
SB1 N:02_0_R Comdty,1990-08-10,0.08082
SB1 N:02_0_R Comdty,1990-08-13,0.08082
SB1 N:02_0_R Comdty,1990-08-14,0.08305
SB1 N:02_0_R Comdty,1990-08-15,0.08398
SB1 N:02_0_R Comdty,1990-08-16,0.08583
SB1 N:02_0_R Comdty,1990-08-17,0.08783
SB1 N:02_0_R Comdty,1990-08-20,0.08691
