name,date,PX_LAST
TFT1 N:02_0_R Comdty,2015-03-23,13.35835
TFT1 N:02_0_R Comdty,2015-03-24,13.38267
TFT1 N:02_0_R Comdty,2015-03-25,13.36137
TFT1 N:02_0_R Comdty,2015-03-26,13.30364
TFT1 N:02_0_R Comdty,2015-03-27,13.28502
TFT1 N:02_0_R Comdty,2015-03-30,13.26281
TFT1 N:02_0_R Comdty,2015-03-31,13.22207
TFT1 N:02_0_R Comdty,2015-04-01,13.25797
TFT1 N:02_0_R Comdty,2015-04-02,13.3052
TFT1 N:02_0_R Comdty,2015-04-03,13.2945
TFT1 N:02_0_R Comdty,2015-04-07,13.2705
TFT1 N:02_0_R Comdty,2015-04-08,13.15512
TFT1 N:02_0_R Comdty,2015-04-09,13.15714
TFT1 N:02_0_R Comdty,2015-04-10,13.12823
TFT1 N:02_0_R Comdty,2015-04-13,13.17459
TFT1 N:02_0_R Comdty,2015-04-14,13.20036
TFT1 N:02_0_R Comdty,2015-04-15,13.25996
TFT1 N:02_0_R Comdty,2015-04-16,13.30949
TFT1 N:02_0_R Comdty,2015-04-17,13.31031
TFT1 N:02_0_R Comdty,2015-04-20,13.439
TFT1 N:02_0_R Comdty,2015-04-21,13.46616
TFT1 N:02_0_R Comdty,2015-04-22,13.48187
TFT1 N:02_0_R Comdty,2015-04-23,13.44564
TFT1 N:02_0_R Comdty,2015-04-24,13.41633
TFT1 N:02_0_R Comdty,2015-04-27,13.46991
TFT1 N:02_0_R Comdty,2015-04-28,13.49075
TFT1 N:02_0_R Comdty,2015-04-29,13.49829
TFT1 N:02_0_R Comdty,2015-04-30,13.5456
TFT1 N:02_0_R Comdty,2015-05-04,13.46747
TFT1 N:02_0_R Comdty,2015-05-05,13.46239
TFT1 N:02_0_R Comdty,2015-05-06,13.43177
TFT1 N:02_0_R Comdty,2015-05-07,13.4177
TFT1 N:02_0_R Comdty,2015-05-08,13.45061
TFT1 N:02_0_R Comdty,2015-05-11,13.42559
TFT1 N:02_0_R Comdty,2015-05-12,13.38181
TFT1 N:02_0_R Comdty,2015-05-13,13.43307
TFT1 N:02_0_R Comdty,2015-05-14,13.41751
TFT1 N:02_0_R Comdty,2015-05-15,13.41806
TFT1 N:02_0_R Comdty,2015-05-18,13.37283
TFT1 N:02_0_R Comdty,2015-05-19,13.3272
TFT1 N:02_0_R Comdty,2015-05-20,13.37266
TFT1 N:02_0_R Comdty,2015-05-21,13.37169
TFT1 N:02_0_R Comdty,2015-05-22,13.36863
TFT1 N:02_0_R Comdty,2015-05-25,13.33276
TFT1 N:02_0_R Comdty,2015-05-26,13.19677
TFT1 N:02_0_R Comdty,2015-05-27,13.2404
