name,date,PX_LAST
TP1 N:02_0_R Index,1990-05-17,13.07638
TP1 N:02_0_R Index,1990-05-21,12.76184
TP1 N:02_0_R Index,1990-05-22,13.1194
TP1 N:02_0_R Index,1990-05-23,13.19495
TP1 N:02_0_R Index,1990-05-24,13.20504
TP1 N:02_0_R Index,1990-05-25,13.46242
TP1 N:02_0_R Index,1990-05-28,13.58943
TP1 N:02_0_R Index,1990-05-29,13.3399
TP1 N:02_0_R Index,1990-05-30,13.2414
TP1 N:02_0_R Index,1990-05-31,13.13227
TP1 N:02_0_R Index,1990-06-01,13.15387
TP1 N:02_0_R Index,1990-06-04,13.17901
TP1 N:02_0_R Index,1990-06-05,13.09374
TP1 N:02_0_R Index,1990-06-06,13.05508
TP1 N:02_0_R Index,1990-06-07,13.09354
TP1 N:02_0_R Index,1990-06-08,12.89351
TP1 N:02_0_R Index,1990-06-11,12.57251
TP1 N:02_0_R Index,1990-06-12,12.59976
TP1 N:02_0_R Index,1990-06-13,12.60748
TP1 N:02_0_R Index,1990-06-14,12.73917
TP1 N:02_0_R Index,1990-06-15,12.65053
TP1 N:02_0_R Index,1990-06-18,12.60311
TP1 N:02_0_R Index,1990-06-19,12.4665
TP1 N:02_0_R Index,1990-06-20,12.57336
TP1 N:02_0_R Index,1990-06-21,12.36711
TP1 N:02_0_R Index,1990-06-22,12.24334
TP1 N:02_0_R Index,1990-06-25,12.00894
TP1 N:02_0_R Index,1990-06-26,12.25307
TP1 N:02_0_R Index,1990-06-27,12.39717
TP1 N:02_0_R Index,1990-06-28,12.54216
TP1 N:02_0_R Index,1990-06-29,12.33109
TP1 N:02_0_R Index,1990-07-02,12.64676
TP1 N:02_0_R Index,1990-07-03,12.71087
TP1 N:02_0_R Index,1990-07-04,12.88312
TP1 N:02_0_R Index,1990-07-05,12.74181
TP1 N:02_0_R Index,1990-07-06,12.76229
TP1 N:02_0_R Index,1990-07-09,12.70338
TP1 N:02_0_R Index,1990-07-10,12.77276
TP1 N:02_0_R Index,1990-07-11,12.90476
TP1 N:02_0_R Index,1990-07-12,12.87399
TP1 N:02_0_R Index,1990-07-13,13.10573
TP1 N:02_0_R Index,1990-07-16,13.23012
TP1 N:02_0_R Index,1990-07-17,13.19257
TP1 N:02_0_R Index,1990-07-18,13.22138
TP1 N:02_0_R Index,1990-07-19,13.05163
TP1 N:02_0_R Index,1990-07-20,12.82051
TP1 N:02_0_R Index,1990-07-23,12.68201
TP1 N:02_0_R Index,1990-07-24,12.52323
TP1 N:02_0_R Index,1990-07-25,12.54857
TP1 N:02_0_R Index,1990-07-26,12.23665
TP1 N:02_0_R Index,1990-07-27,12.05459
TP1 N:02_0_R Index,1990-07-30,12.09282
TP1 N:02_0_R Index,1990-07-31,12.6258
TP1 N:02_0_R Index,1990-08-01,12.22522
TP1 N:02_0_R Index,1990-08-02,11.90471
TP1 N:02_0_R Index,1990-08-03,11.6031
TP1 N:02_0_R Index,1990-08-06,11.13345
TP1 N:02_0_R Index,1990-08-07,11.07093
TP1 N:02_0_R Index,1990-08-08,11.25845
TP1 N:02_0_R Index,1990-08-09,11.10687
TP1 N:02_0_R Index,1990-08-10,10.90646
TP1 N:02_0_R Index,1990-08-13,10.43923
TP1 N:02_0_R Index,1990-08-14,10.82142
TP1 N:02_0_R Index,1990-08-15,11.45918
TP1 N:02_0_R Index,1990-08-16,11.15529
TP1 N:02_0_R Index,1990-08-17,10.98318
TP1 N:02_0_R Index,1990-08-20,11.11186
TP1 N:02_0_R Index,1990-08-21,10.94515
TP1 N:02_0_R Index,1990-08-22,10.60387
TP1 N:02_0_R Index,1990-08-23,10.21465
TP1 N:02_0_R Index,1990-08-24,10.08699
TP1 N:02_0_R Index,1990-08-27,10.61615
TP1 N:02_0_R Index,1990-08-28,10.93349
TP1 N:02_0_R Index,1990-08-29,10.58829
TP1 N:02_0_R Index,1990-08-30,10.87136
TP1 N:02_0_R Index,1990-08-31,11.08291
TP1 N:02_0_R Index,1990-09-03,10.84117
TP1 N:02_0_R Index,1990-09-04,10.60461
TP1 N:02_0_R Index,1990-09-05,10.46197
TP1 N:02_0_R Index,1990-09-06,10.44625
TP1 N:02_0_R Index,1990-09-07,10.65427
TP1 N:02_0_R Index,1990-09-10,11.06832
