name,date,PX_LAST
TY1 N:02_0_R Comdty,1990-01-02,43.6875
TY1 N:02_0_R Comdty,1990-01-03,43.578125
TY1 N:02_0_R Comdty,1990-01-04,43.609375
TY1 N:02_0_R Comdty,1990-01-05,43.59375
TY1 N:02_0_R Comdty,1990-01-08,43.546875
TY1 N:02_0_R Comdty,1990-01-09,43.53125
TY1 N:02_0_R Comdty,1990-01-10,43.515625
TY1 N:02_0_R Comdty,1990-01-11,43.5
TY1 N:02_0_R Comdty,1990-01-12,43.375
TY1 N:02_0_R Comdty,1990-01-15,43.171875
TY1 N:02_0_R Comdty,1990-01-16,43.078125
TY1 N:02_0_R Comdty,1990-01-17,43.09375
TY1 N:02_0_R Comdty,1990-01-18,42.75
TY1 N:02_0_R Comdty,1990-01-19,42.90625
TY1 N:02_0_R Comdty,1990-01-22,42.890625
TY1 N:02_0_R Comdty,1990-01-23,42.953125
TY1 N:02_0_R Comdty,1990-01-24,42.65625
TY1 N:02_0_R Comdty,1990-01-25,42.546875
TY1 N:02_0_R Comdty,1990-01-26,42.328125
TY1 N:02_0_R Comdty,1990-01-29,42.34375
TY1 N:02_0_R Comdty,1990-01-30,42.265625
TY1 N:02_0_R Comdty,1990-01-31,42.53125
TY1 N:02_0_R Comdty,1990-02-01,42.578125
TY1 N:02_0_R Comdty,1990-02-02,42.375
TY1 N:02_0_R Comdty,1990-02-05,42.296875
TY1 N:02_0_R Comdty,1990-02-06,42.1875
TY1 N:02_0_R Comdty,1990-02-07,42.203125
TY1 N:02_0_R Comdty,1990-02-08,42.359375
TY1 N:02_0_R Comdty,1990-02-09,42.796875
TY1 N:02_0_R Comdty,1990-02-12,42.578125
TY1 N:02_0_R Comdty,1990-02-13,42.703125
TY1 N:02_0_R Comdty,1990-02-14,42.6875
TY1 N:02_0_R Comdty,1990-02-15,42.453125
TY1 N:02_0_R Comdty,1990-02-16,42.484375
TY1 N:02_0_R Comdty,1990-02-20,41.9375
TY1 N:02_0_R Comdty,1990-02-21,41.953125
TY1 N:02_0_R Comdty,1990-02-22,42.1875
TY1 N:02_0_R Comdty,1990-02-23,42.171875
TY1 N:02_0_R Comdty,1990-02-26,42.390625
TY1 N:02_0_R Comdty,1990-02-27,42.546875
TY1 N:02_0_R Comdty,1990-02-28,42.25
TY1 N:02_0_R Comdty,1990-03-01,42.015625
TY1 N:02_0_R Comdty,1990-03-02,42.140625
TY1 N:02_0_R Comdty,1990-03-05,41.828125
TY1 N:02_0_R Comdty,1990-03-06,42.0
TY1 N:02_0_R Comdty,1990-03-07,42.015625
TY1 N:02_0_R Comdty,1990-03-08,42.0625
TY1 N:02_0_R Comdty,1990-03-09,41.828125
TY1 N:02_0_R Comdty,1990-03-12,41.90625
TY1 N:02_0_R Comdty,1990-03-13,41.640625
TY1 N:02_0_R Comdty,1990-03-14,41.890625
TY1 N:02_0_R Comdty,1990-03-15,41.828125
TY1 N:02_0_R Comdty,1990-03-16,42.0625
TY1 N:02_0_R Comdty,1990-03-19,42.046875
TY1 N:02_0_R Comdty,1990-03-20,42.21875
TY1 N:02_0_R Comdty,1990-03-21,42.15625
TY1 N:02_0_R Comdty,1990-03-22,42.1875
TY1 N:02_0_R Comdty,1990-03-23,42.25
TY1 N:02_0_R Comdty,1990-03-26,42.296875
TY1 N:02_0_R Comdty,1990-03-27,42.25
TY1 N:02_0_R Comdty,1990-03-28,42.296875
TY1 N:02_0_R Comdty,1990-03-29,42.03125
TY1 N:02_0_R Comdty,1990-03-30,41.859375
TY1 N:02_0_R Comdty,1990-04-02,41.890625
TY1 N:02_0_R Comdty,1990-04-03,41.9375
TY1 N:02_0_R Comdty,1990-04-04,42.234375
TY1 N:02_0_R Comdty,1990-04-05,42.1875
TY1 N:02_0_R Comdty,1990-04-06,42.1875
TY1 N:02_0_R Comdty,1990-04-09,42.078125
TY1 N:02_0_R Comdty,1990-04-10,42.046875
TY1 N:02_0_R Comdty,1990-04-11,41.984375
TY1 N:02_0_R Comdty,1990-04-12,41.921875
TY1 N:02_0_R Comdty,1990-04-16,41.84375
TY1 N:02_0_R Comdty,1990-04-17,41.609375
TY1 N:02_0_R Comdty,1990-04-18,41.34375
TY1 N:02_0_R Comdty,1990-04-19,41.328125
TY1 N:02_0_R Comdty,1990-04-20,41.125
TY1 N:02_0_R Comdty,1990-04-23,41.046875
TY1 N:02_0_R Comdty,1990-04-24,41.0
TY1 N:02_0_R Comdty,1990-04-25,41.0
TY1 N:02_0_R Comdty,1990-04-26,40.84375
TY1 N:02_0_R Comdty,1990-04-27,40.859375
TY1 N:02_0_R Comdty,1990-04-30,40.90625
TY1 N:02_0_R Comdty,1990-05-01,40.828125
TY1 N:02_0_R Comdty,1990-05-02,40.796875
TY1 N:02_0_R Comdty,1990-05-03,40.90625
TY1 N:02_0_R Comdty,1990-05-04,41.46875
TY1 N:02_0_R Comdty,1990-05-07,41.375
TY1 N:02_0_R Comdty,1990-05-08,41.484375
TY1 N:02_0_R Comdty,1990-05-09,41.234375
TY1 N:02_0_R Comdty,1990-05-10,41.46875
TY1 N:02_0_R Comdty,1990-05-11,41.9375
TY1 N:02_0_R Comdty,1990-05-14,42.03125
TY1 N:02_0_R Comdty,1990-05-15,41.90625
TY1 N:02_0_R Comdty,1990-05-16,41.84375
TY1 N:02_0_R Comdty,1990-05-17,41.796875
TY1 N:02_0_R Comdty,1990-05-18,41.65625
TY1 N:02_0_R Comdty,1990-05-21,41.671875
TY1 N:02_0_R Comdty,1990-05-22,41.9375
TY1 N:02_0_R Comdty,1990-05-23,42.015625
TY1 N:02_0_R Comdty,1990-05-24,42.0
TY1 N:02_0_R Comdty,1990-05-25,41.796875
TY1 N:02_0_R Comdty,1990-05-29,41.90625
TY1 N:02_0_R Comdty,1990-05-30,42.015625
TY1 N:02_0_R Comdty,1990-05-31,42.0625
TY1 N:02_0_R Comdty,1990-06-01,42.5
TY1 N:02_0_R Comdty,1990-06-04,42.515625
TY1 N:02_0_R Comdty,1990-06-05,42.40625
TY1 N:02_0_R Comdty,1990-06-06,42.421875
TY1 N:02_0_R Comdty,1990-06-07,42.4375
TY1 N:02_0_R Comdty,1990-06-08,42.421875
TY1 N:02_0_R Comdty,1990-06-11,42.375
TY1 N:02_0_R Comdty,1990-06-12,42.375
TY1 N:02_0_R Comdty,1990-06-13,42.59375
TY1 N:02_0_R Comdty,1990-06-14,42.6875
TY1 N:02_0_R Comdty,1990-06-15,42.4375
TY1 N:02_0_R Comdty,1990-06-18,42.3125
TY1 N:02_0_R Comdty,1990-06-19,42.296875
TY1 N:02_0_R Comdty,1990-06-20,42.171875
TY1 N:02_0_R Comdty,1990-06-21,42.265625
TY1 N:02_0_R Comdty,1990-06-22,42.296875
TY1 N:02_0_R Comdty,1990-06-25,42.046875
TY1 N:02_0_R Comdty,1990-06-26,42.171875
TY1 N:02_0_R Comdty,1990-06-27,42.265625
TY1 N:02_0_R Comdty,1990-06-28,42.421875
TY1 N:02_0_R Comdty,1990-06-29,42.5625
TY1 N:02_0_R Comdty,1990-07-02,42.53125
TY1 N:02_0_R Comdty,1990-07-03,42.625
TY1 N:02_0_R Comdty,1990-07-05,42.546875
TY1 N:02_0_R Comdty,1990-07-06,42.25
TY1 N:02_0_R Comdty,1990-07-09,42.140625
TY1 N:02_0_R Comdty,1990-07-10,42.078125
TY1 N:02_0_R Comdty,1990-07-11,42.140625
TY1 N:02_0_R Comdty,1990-07-12,42.359375
TY1 N:02_0_R Comdty,1990-07-13,42.46875
TY1 N:02_0_R Comdty,1990-07-16,42.515625
TY1 N:02_0_R Comdty,1990-07-17,42.546875
TY1 N:02_0_R Comdty,1990-07-18,42.328125
TY1 N:02_0_R Comdty,1990-07-19,42.3125
TY1 N:02_0_R Comdty,1990-07-20,42.421875
TY1 N:02_0_R Comdty,1990-07-23,42.40625
TY1 N:02_0_R Comdty,1990-07-24,42.25
TY1 N:02_0_R Comdty,1990-07-25,42.375
TY1 N:02_0_R Comdty,1990-07-26,42.40625
TY1 N:02_0_R Comdty,1990-07-27,42.609375
TY1 N:02_0_R Comdty,1990-07-30,42.890625
TY1 N:02_0_R Comdty,1990-07-31,42.796875
TY1 N:02_0_R Comdty,1990-08-01,42.984375
TY1 N:02_0_R Comdty,1990-08-02,42.671875
TY1 N:02_0_R Comdty,1990-08-03,42.5625
TY1 N:02_0_R Comdty,1990-08-06,41.796875
