name,date,PX_LAST
UB1 N:02_0_R Comdty,1998-10-05,65.58
UB1 N:02_0_R Comdty,1998-10-06,65.61
UB1 N:02_0_R Comdty,1998-10-07,65.36
UB1 N:02_0_R Comdty,1998-10-08,62.99
UB1 N:02_0_R Comdty,1998-10-09,61.38
UB1 N:02_0_R Comdty,1998-10-12,61.1
UB1 N:02_0_R Comdty,1998-10-13,61.93
UB1 N:02_0_R Comdty,1998-10-14,62.42
UB1 N:02_0_R Comdty,1998-10-15,62.16
UB1 N:02_0_R Comdty,1998-10-16,62.84
UB1 N:02_0_R Comdty,1998-10-19,62.52
UB1 N:02_0_R Comdty,1998-10-20,61.94
UB1 N:02_0_R Comdty,1998-10-21,62.24
UB1 N:02_0_R Comdty,1998-10-22,61.8
UB1 N:02_0_R Comdty,1998-10-23,61.69
UB1 N:02_0_R Comdty,1998-10-26,60.97
UB1 N:02_0_R Comdty,1998-10-27,61.42
UB1 N:02_0_R Comdty,1998-10-28,61.49
UB1 N:02_0_R Comdty,1998-10-29,61.45
UB1 N:02_0_R Comdty,1998-10-30,61.43
UB1 N:02_0_R Comdty,1998-11-02,61.05
UB1 N:02_0_R Comdty,1998-11-03,61.63
UB1 N:02_0_R Comdty,1998-11-04,61.39
UB1 N:02_0_R Comdty,1998-11-05,61.09
UB1 N:02_0_R Comdty,1998-11-06,60.93
UB1 N:02_0_R Comdty,1998-11-09,61.48
UB1 N:02_0_R Comdty,1998-11-10,61.3
UB1 N:02_0_R Comdty,1998-11-11,61.29
UB1 N:02_0_R Comdty,1998-11-12,61.53
UB1 N:02_0_R Comdty,1998-11-13,61.68
UB1 N:02_0_R Comdty,1998-11-16,61.68
UB1 N:02_0_R Comdty,1998-11-17,61.74
UB1 N:02_0_R Comdty,1998-11-18,62.24
UB1 N:02_0_R Comdty,1998-11-19,62.74
UB1 N:02_0_R Comdty,1998-11-20,63.13
UB1 N:02_0_R Comdty,1998-11-23,63.17
UB1 N:02_0_R Comdty,1998-11-24,63.34
UB1 N:02_0_R Comdty,1998-11-25,63.52
UB1 N:02_0_R Comdty,1998-11-26,64.06
