name,date,PX_LAST
VG1 N:02_0_R Index,1999-01-04,2713.30927
VG1 N:02_0_R Index,1999-01-05,2734.3967
VG1 N:02_0_R Index,1999-01-06,2773.73566
VG1 N:02_0_R Index,1999-01-07,2744.62731
VG1 N:02_0_R Index,1999-01-08,2707.7314
VG1 N:02_0_R Index,1999-01-11,2622.41198
VG1 N:02_0_R Index,1999-01-12,2595.70351
VG1 N:02_0_R Index,1999-01-13,2532.54591
VG1 N:02_0_R Index,1999-01-14,2507.6837
VG1 N:02_0_R Index,1999-01-15,2579.85129
VG1 N:02_0_R Index,1999-01-18,2621.96056
VG1 N:02_0_R Index,1999-01-19,2623.76881
VG1 N:02_0_R Index,1999-01-20,2680.4278
VG1 N:02_0_R Index,1999-01-21,2654.35317
VG1 N:02_0_R Index,1999-01-22,2525.67921
VG1 N:02_0_R Index,1999-01-25,2531.79695
VG1 N:02_0_R Index,1999-01-26,2549.7605
VG1 N:02_0_R Index,1999-01-27,2538.19611
VG1 N:02_0_R Index,1999-01-28,2573.80225
VG1 N:02_0_R Index,1999-01-29,2591.88728
VG1 N:02_0_R Index,1999-02-01,2616.30723
VG1 N:02_0_R Index,1999-02-02,2558.53025
VG1 N:02_0_R Index,1999-02-03,2523.09011
VG1 N:02_0_R Index,1999-02-04,2507.32269
VG1 N:02_0_R Index,1999-02-05,2511.19113
VG1 N:02_0_R Index,1999-02-08,2499.34933
VG1 N:02_0_R Index,1999-02-09,2423.57212
VG1 N:02_0_R Index,1999-02-10,2402.00685
VG1 N:02_0_R Index,1999-02-11,2436.22859
VG1 N:02_0_R Index,1999-02-12,2456.69937
VG1 N:02_0_R Index,1999-02-15,2453.99463
VG1 N:02_0_R Index,1999-02-16,2427.46533
VG1 N:02_0_R Index,1999-02-17,2405.4699
VG1 N:02_0_R Index,1999-02-18,2414.5312
VG1 N:02_0_R Index,1999-02-19,2408.20939
VG1 N:02_0_R Index,1999-02-22,2443.29795
VG1 N:02_0_R Index,1999-02-23,2487.24603
VG1 N:02_0_R Index,1999-02-24,2499.11808
VG1 N:02_0_R Index,1999-02-25,2453.04721
VG1 N:02_0_R Index,1999-02-26,2453.96439
VG1 N:02_0_R Index,1999-03-01,2393.6083
VG1 N:02_0_R Index,1999-03-02,2405.64926
VG1 N:02_0_R Index,1999-03-03,2346.20964
VG1 N:02_0_R Index,1999-03-04,2367.68514
VG1 N:02_0_R Index,1999-03-05,2445.81014
VG1 N:02_0_R Index,1999-03-08,2424.06169
VG1 N:02_0_R Index,1999-03-09,2424.55692
VG1 N:02_0_R Index,1999-03-10,2433.29865
VG1 N:02_0_R Index,1999-03-11,2474.80668
VG1 N:02_0_R Index,1999-03-12,2492.78921
VG1 N:02_0_R Index,1999-03-15,2497.86752
VG1 N:02_0_R Index,1999-03-16,2518.90477
VG1 N:02_0_R Index,1999-03-17,2512.5959
VG1 N:02_0_R Index,1999-03-18,2512.02394
VG1 N:02_0_R Index,1999-03-19,2533.9658
VG1 N:02_0_R Index,1999-03-22,2514.70719
VG1 N:02_0_R Index,1999-03-23,2448.18048
VG1 N:02_0_R Index,1999-03-24,2407.30813
VG1 N:02_0_R Index,1999-03-25,2453.22047
VG1 N:02_0_R Index,1999-03-26,2395.90341
VG1 N:02_0_R Index,1999-03-29,2422.09175
VG1 N:02_0_R Index,1999-03-30,2417.70097
VG1 N:02_0_R Index,1999-03-31,2447.49021
VG1 N:02_0_R Index,1999-04-01,2463.40082
VG1 N:02_0_R Index,1999-04-06,2540.56371
VG1 N:02_0_R Index,1999-04-07,2503.99223
VG1 N:02_0_R Index,1999-04-08,2514.13402
VG1 N:02_0_R Index,1999-04-09,2535.48694
VG1 N:02_0_R Index,1999-04-12,2548.20338
VG1 N:02_0_R Index,1999-04-13,2552.85657
VG1 N:02_0_R Index,1999-04-14,2536.37725
VG1 N:02_0_R Index,1999-04-15,2488.48393
VG1 N:02_0_R Index,1999-04-16,2486.35661
VG1 N:02_0_R Index,1999-04-19,2509.38844
VG1 N:02_0_R Index,1999-04-20,2441.07791
VG1 N:02_0_R Index,1999-04-21,2454.63945
VG1 N:02_0_R Index,1999-04-22,2473.30662
VG1 N:02_0_R Index,1999-04-23,2472.22808
VG1 N:02_0_R Index,1999-04-26,2479.40459
VG1 N:02_0_R Index,1999-04-27,2533.89059
VG1 N:02_0_R Index,1999-04-28,2517.83676
VG1 N:02_0_R Index,1999-04-29,2507.24158
VG1 N:02_0_R Index,1999-04-30,2526.69569
VG1 N:02_0_R Index,1999-05-03,2531.25317
VG1 N:02_0_R Index,1999-05-04,2536.48631
VG1 N:02_0_R Index,1999-05-05,2533.44007
VG1 N:02_0_R Index,1999-05-06,2535.39621
VG1 N:02_0_R Index,1999-05-07,2521.46441
VG1 N:02_0_R Index,1999-05-10,2521.62926
VG1 N:02_0_R Index,1999-05-11,2524.01594
VG1 N:02_0_R Index,1999-05-12,2494.25755
VG1 N:02_0_R Index,1999-05-14,2463.66631
VG1 N:02_0_R Index,1999-05-17,2422.14059
VG1 N:02_0_R Index,1999-05-18,2451.00069
VG1 N:02_0_R Index,1999-05-19,2470.39728
VG1 N:02_0_R Index,1999-05-20,2495.11581
VG1 N:02_0_R Index,1999-05-21,2486.77629
VG1 N:02_0_R Index,1999-05-25,2455.37506
VG1 N:02_0_R Index,1999-05-26,2423.51737
VG1 N:02_0_R Index,1999-05-27,2389.13317
VG1 N:02_0_R Index,1999-05-28,2388.54212
VG1 N:02_0_R Index,1999-05-31,2417.96097
VG1 N:02_0_R Index,1999-06-01,2409.80284
VG1 N:02_0_R Index,1999-06-02,2390.87932
VG1 N:02_0_R Index,1999-06-04,2431.88364
VG1 N:02_0_R Index,1999-06-07,2444.66712
VG1 N:02_0_R Index,1999-06-08,2484.12195
VG1 N:02_0_R Index,1999-06-09,2498.08849
VG1 N:02_0_R Index,1999-06-10,2474.39436
VG1 N:02_0_R Index,1999-06-11,2530.93808
VG1 N:02_0_R Index,1999-06-14,2479.22135
VG1 N:02_0_R Index,1999-06-15,2486.23529
VG1 N:02_0_R Index,1999-06-16,2484.58467
VG1 N:02_0_R Index,1999-06-17,2516.44925
VG1 N:02_0_R Index,1999-06-18,2536.29835
VG1 N:02_0_R Index,1999-06-21,2565.67086
VG1 N:02_0_R Index,1999-06-22,2551.10534
VG1 N:02_0_R Index,1999-06-23,2512.99414
VG1 N:02_0_R Index,1999-06-24,2495.58548
VG1 N:02_0_R Index,1999-06-25,2513.87274
VG1 N:02_0_R Index,1999-06-28,2500.69425
VG1 N:02_0_R Index,1999-06-29,2499.54118
VG1 N:02_0_R Index,1999-06-30,2495.87637
VG1 N:02_0_R Index,1999-07-01,2533.96847
VG1 N:02_0_R Index,1999-07-02,2553.3667
VG1 N:02_0_R Index,1999-07-05,2601.92876
VG1 N:02_0_R Index,1999-07-06,2601.03698
VG1 N:02_0_R Index,1999-07-07,2584.02511
VG1 N:02_0_R Index,1999-07-08,2571.85271
VG1 N:02_0_R Index,1999-07-09,2578.12976
VG1 N:02_0_R Index,1999-07-12,2568.76395
VG1 N:02_0_R Index,1999-07-13,2536.22288
VG1 N:02_0_R Index,1999-07-14,2550.54928
VG1 N:02_0_R Index,1999-07-15,2573.15294
VG1 N:02_0_R Index,1999-07-16,2567.99392
VG1 N:02_0_R Index,1999-07-19,2590.08737
VG1 N:02_0_R Index,1999-07-20,2564.03561
VG1 N:02_0_R Index,1999-07-21,2544.94667
VG1 N:02_0_R Index,1999-07-22,2538.6088
VG1 N:02_0_R Index,1999-07-23,2488.30871
VG1 N:02_0_R Index,1999-07-26,2499.28213
VG1 N:02_0_R Index,1999-07-27,2492.35274
VG1 N:02_0_R Index,1999-07-28,2499.83615
VG1 N:02_0_R Index,1999-07-29,2437.76102
VG1 N:02_0_R Index,1999-07-30,2476.82201
VG1 N:02_0_R Index,1999-08-02,2483.78866
VG1 N:02_0_R Index,1999-08-03,2462.05272
VG1 N:02_0_R Index,1999-08-04,2470.1674
VG1 N:02_0_R Index,1999-08-05,2408.53586
VG1 N:02_0_R Index,1999-08-06,2414.278
VG1 N:02_0_R Index,1999-08-09,2455.95391
VG1 N:02_0_R Index,1999-08-10,2417.43585
VG1 N:02_0_R Index,1999-08-11,2399.69217
VG1 N:02_0_R Index,1999-08-12,2470.34774
VG1 N:02_0_R Index,1999-08-13,2515.62427
VG1 N:02_0_R Index,1999-08-16,2507.27034
VG1 N:02_0_R Index,1999-08-17,2515.97687
VG1 N:02_0_R Index,1999-08-18,2505.64573
VG1 N:02_0_R Index,1999-08-19,2490.1427
VG1 N:02_0_R Index,1999-08-20,2521.19078
