name,date,PX_LAST
W 1 N:02_0_R Comdty,1990-01-02,169.56749
W 1 N:02_0_R Comdty,1990-01-03,170.08604
W 1 N:02_0_R Comdty,1990-01-04,169.77491
W 1 N:02_0_R Comdty,1990-01-05,169.98233
W 1 N:02_0_R Comdty,1990-01-08,170.08604
W 1 N:02_0_R Comdty,1990-01-09,168.7378
W 1 N:02_0_R Comdty,1990-01-10,168.21925
W 1 N:02_0_R Comdty,1990-01-11,167.90811
W 1 N:02_0_R Comdty,1990-01-12,166.55987
W 1 N:02_0_R Comdty,1990-01-15,165.73018
W 1 N:02_0_R Comdty,1990-01-16,165.21163
W 1 N:02_0_R Comdty,1990-01-17,166.35245
W 1 N:02_0_R Comdty,1990-01-18,165.00421
W 1 N:02_0_R Comdty,1990-01-19,162.61885
W 1 N:02_0_R Comdty,1990-01-22,162.82627
W 1 N:02_0_R Comdty,1990-01-23,162.92999
W 1 N:02_0_R Comdty,1990-01-24,162.41143
W 1 N:02_0_R Comdty,1990-01-25,159.92237
W 1 N:02_0_R Comdty,1990-01-26,158.15928
W 1 N:02_0_R Comdty,1990-01-29,157.12217
W 1 N:02_0_R Comdty,1990-01-30,155.98135
W 1 N:02_0_R Comdty,1990-01-31,155.87764
W 1 N:02_0_R Comdty,1990-02-01,155.67022
W 1 N:02_0_R Comdty,1990-02-02,157.22588
W 1 N:02_0_R Comdty,1990-02-05,159.09268
W 1 N:02_0_R Comdty,1990-02-06,158.78155
W 1 N:02_0_R Comdty,1990-02-07,158.88526
W 1 N:02_0_R Comdty,1990-02-08,158.67783
W 1 N:02_0_R Comdty,1990-02-09,160.44092
W 1 N:02_0_R Comdty,1990-02-12,161.78916
W 1 N:02_0_R Comdty,1990-02-13,159.92237
W 1 N:02_0_R Comdty,1990-02-14,160.64834
W 1 N:02_0_R Comdty,1990-02-15,160.2335
W 1 N:02_0_R Comdty,1990-02-16,159.3001
W 1 N:02_0_R Comdty,1990-02-20,158.57412
W 1 N:02_0_R Comdty,1990-02-21,159.50752
W 1 N:02_0_R Comdty,1990-02-22,161.58174
W 1 N:02_0_R Comdty,1990-02-23,163.44854
W 1 N:02_0_R Comdty,1990-02-26,164.38194
W 1 N:02_0_R Comdty,1990-02-27,163.25911
W 1 N:02_0_R Comdty,1990-02-28,162.6977
W 1 N:02_0_R Comdty,1990-03-01,160.45204
W 1 N:02_0_R Comdty,1990-03-02,159.55378
W 1 N:02_0_R Comdty,1990-03-05,157.75726
W 1 N:02_0_R Comdty,1990-03-06,157.64497
W 1 N:02_0_R Comdty,1990-03-07,158.54324
W 1 N:02_0_R Comdty,1990-03-08,159.66606
W 1 N:02_0_R Comdty,1990-03-09,158.88009
W 1 N:02_0_R Comdty,1990-03-12,158.43095
W 1 N:02_0_R Comdty,1990-03-13,156.63443
W 1 N:02_0_R Comdty,1990-03-14,157.64497
W 1 N:02_0_R Comdty,1990-03-15,158.43095
W 1 N:02_0_R Comdty,1990-03-16,159.10465
W 1 N:02_0_R Comdty,1990-03-19,161.23802
W 1 N:02_0_R Comdty,1990-03-20,162.13628
W 1 N:02_0_R Comdty,1990-03-21,161.35031
W 1 N:02_0_R Comdty,1990-03-22,161.12574
W 1 N:02_0_R Comdty,1990-03-23,160.22748
W 1 N:02_0_R Comdty,1990-03-26,161.23802
W 1 N:02_0_R Comdty,1990-03-27,159.4415
W 1 N:02_0_R Comdty,1990-03-28,157.19584
W 1 N:02_0_R Comdty,1990-03-29,158.54324
W 1 N:02_0_R Comdty,1990-03-30,157.98182
W 1 N:02_0_R Comdty,1990-04-02,159.77835
W 1 N:02_0_R Comdty,1990-04-03,162.36085
W 1 N:02_0_R Comdty,1990-04-04,166.06618
W 1 N:02_0_R Comdty,1990-04-05,166.17846
W 1 N:02_0_R Comdty,1990-04-06,164.04509
W 1 N:02_0_R Comdty,1990-04-09,162.024
W 1 N:02_0_R Comdty,1990-04-10,162.58542
W 1 N:02_0_R Comdty,1990-04-11,163.82053
W 1 N:02_0_R Comdty,1990-04-12,164.83107
W 1 N:02_0_R Comdty,1990-04-16,166.40303
W 1 N:02_0_R Comdty,1990-04-17,163.82053
W 1 N:02_0_R Comdty,1990-04-18,164.04509
W 1 N:02_0_R Comdty,1990-04-19,165.72933
W 1 N:02_0_R Comdty,1990-04-20,166.51531
W 1 N:02_0_R Comdty,1990-04-23,166.29075
W 1 N:02_0_R Comdty,1990-04-24,165.16792
W 1 N:02_0_R Comdty,1990-04-25,166.62759
W 1 N:02_0_R Comdty,1990-04-26,166.40303
W 1 N:02_0_R Comdty,1990-04-27,166.40303
W 1 N:02_0_R Comdty,1990-04-30,168.72096
W 1 N:02_0_R Comdty,1990-05-01,166.76902
W 1 N:02_0_R Comdty,1990-05-02,169.57493
W 1 N:02_0_R Comdty,1990-05-03,169.20895
W 1 N:02_0_R Comdty,1990-05-04,170.6729
W 1 N:02_0_R Comdty,1990-05-07,172.13686
W 1 N:02_0_R Comdty,1990-05-08,169.94092
W 1 N:02_0_R Comdty,1990-05-09,170.55091
W 1 N:02_0_R Comdty,1990-05-10,170.42891
W 1 N:02_0_R Comdty,1990-05-11,167.86699
W 1 N:02_0_R Comdty,1990-05-14,168.11098
W 1 N:02_0_R Comdty,1990-05-15,167.74499
W 1 N:02_0_R Comdty,1990-05-16,167.86699
W 1 N:02_0_R Comdty,1990-05-17,167.86699
W 1 N:02_0_R Comdty,1990-05-18,165.67105
