name,date,PX_LAST
WB1 N:02_0_R Comdty,2009-11-24,98.3
WB1 N:02_0_R Comdty,2009-11-25,98.35
WB1 N:02_0_R Comdty,2009-11-26,98.44
WB1 N:02_0_R Comdty,2009-11-27,98.4
WB1 N:02_0_R Comdty,2009-11-30,98.47
WB1 N:02_0_R Comdty,2009-12-01,98.51
WB1 N:02_0_R Comdty,2009-12-02,98.47
WB1 N:02_0_R Comdty,2009-12-03,98.49
WB1 N:02_0_R Comdty,2009-12-04,98.38
WB1 N:02_0_R Comdty,2009-12-07,98.47
WB1 N:02_0_R Comdty,2009-12-08,98.52
WB1 N:02_0_R Comdty,2009-12-09,98.61
WB1 N:02_0_R Comdty,2009-12-10,98.5
WB1 N:02_0_R Comdty,2009-12-11,98.39
WB1 N:02_0_R Comdty,2009-12-14,98.43
WB1 N:02_0_R Comdty,2009-12-15,98.36
WB1 N:02_0_R Comdty,2009-12-16,98.36
WB1 N:02_0_R Comdty,2009-12-17,98.47
WB1 N:02_0_R Comdty,2009-12-18,98.58
WB1 N:02_0_R Comdty,2009-12-21,98.46
WB1 N:02_0_R Comdty,2009-12-22,98.4
WB1 N:02_0_R Comdty,2009-12-23,98.32
WB1 N:02_0_R Comdty,2009-12-24,98.3
WB1 N:02_0_R Comdty,2009-12-28,98.3
WB1 N:02_0_R Comdty,2009-12-29,98.23
WB1 N:02_0_R Comdty,2009-12-30,98.15
WB1 N:02_0_R Comdty,2009-12-31,98.47
WB1 N:02_0_R Comdty,2010-01-04,98.27
WB1 N:02_0_R Comdty,2010-01-05,98.28
WB1 N:02_0_R Comdty,2010-01-06,98.35
WB1 N:02_0_R Comdty,2010-01-07,98.36
WB1 N:02_0_R Comdty,2010-01-08,98.36
WB1 N:02_0_R Comdty,2010-01-11,98.44
WB1 N:02_0_R Comdty,2010-01-12,98.5
WB1 N:02_0_R Comdty,2010-01-13,98.46
WB1 N:02_0_R Comdty,2010-01-14,98.42
WB1 N:02_0_R Comdty,2010-01-15,98.46
WB1 N:02_0_R Comdty,2010-01-18,98.46
WB1 N:02_0_R Comdty,2010-01-19,98.25
WB1 N:02_0_R Comdty,2010-01-20,98.25
WB1 N:02_0_R Comdty,2010-01-21,98.41
WB1 N:02_0_R Comdty,2010-01-22,98.37
WB1 N:02_0_R Comdty,2010-01-25,98.43
WB1 N:02_0_R Comdty,2010-01-26,98.51
WB1 N:02_0_R Comdty,2010-01-27,98.51
WB1 N:02_0_R Comdty,2010-01-28,98.4
WB1 N:02_0_R Comdty,2010-01-29,98.4
WB1 N:02_0_R Comdty,2010-02-01,98.45
WB1 N:02_0_R Comdty,2010-02-02,98.5
WB1 N:02_0_R Comdty,2010-02-03,98.52
WB1 N:02_0_R Comdty,2010-02-04,98.58
WB1 N:02_0_R Comdty,2010-02-05,98.63
