name,date,PX_LAST
WN1 N:02_0_R Comdty,2010-01-12,102.65625
WN1 N:02_0_R Comdty,2010-01-13,101.296875
WN1 N:02_0_R Comdty,2010-01-14,102.640625
WN1 N:02_0_R Comdty,2010-01-15,103.453125
WN1 N:02_0_R Comdty,2010-01-19,103.078125
WN1 N:02_0_R Comdty,2010-01-20,104.0
WN1 N:02_0_R Comdty,2010-01-21,104.671875
WN1 N:02_0_R Comdty,2010-01-22,104.640625
WN1 N:02_0_R Comdty,2010-01-25,103.953125
WN1 N:02_0_R Comdty,2010-01-26,103.796875
WN1 N:02_0_R Comdty,2010-01-27,104.0625
WN1 N:02_0_R Comdty,2010-01-28,103.84375
WN1 N:02_0_R Comdty,2010-01-29,104.84375
WN1 N:02_0_R Comdty,2010-02-01,103.984375
WN1 N:02_0_R Comdty,2010-02-02,104.265625
WN1 N:02_0_R Comdty,2010-02-03,102.984375
WN1 N:02_0_R Comdty,2010-02-04,104.421875
WN1 N:02_0_R Comdty,2010-02-05,105.375
WN1 N:02_0_R Comdty,2010-02-08,104.90625
WN1 N:02_0_R Comdty,2010-02-09,104.109375
WN1 N:02_0_R Comdty,2010-02-10,102.984375
WN1 N:02_0_R Comdty,2010-02-11,102.265625
WN1 N:02_0_R Comdty,2010-02-12,102.640625
WN1 N:02_0_R Comdty,2010-02-16,102.953125
WN1 N:02_0_R Comdty,2010-02-17,101.6875
WN1 N:02_0_R Comdty,2010-02-18,101.078125
WN1 N:02_0_R Comdty,2010-02-19,101.984375
WN1 N:02_0_R Comdty,2010-02-22,101.5625
WN1 N:02_0_R Comdty,2010-02-23,103.1875
WN1 N:02_0_R Comdty,2010-02-24,103.25
WN1 N:02_0_R Comdty,2010-02-25,104.09375
WN1 N:02_0_R Comdty,2010-02-26,105.03125
WN1 N:02_0_R Comdty,2010-03-01,104.578125
WN1 N:02_0_R Comdty,2010-03-02,104.359375
WN1 N:02_0_R Comdty,2010-03-03,104.09375
WN1 N:02_0_R Comdty,2010-03-04,104.578125
WN1 N:02_0_R Comdty,2010-03-05,103.21875
WN1 N:02_0_R Comdty,2010-03-08,102.625
WN1 N:02_0_R Comdty,2010-03-09,102.578125
WN1 N:02_0_R Comdty,2010-03-10,102.5
WN1 N:02_0_R Comdty,2010-03-11,102.96875
WN1 N:02_0_R Comdty,2010-03-12,103.484375
WN1 N:02_0_R Comdty,2010-03-15,103.40625
WN1 N:02_0_R Comdty,2010-03-16,104.15625
WN1 N:02_0_R Comdty,2010-03-17,104.5
WN1 N:02_0_R Comdty,2010-03-18,104.28125
WN1 N:02_0_R Comdty,2010-03-19,104.4375
WN1 N:02_0_R Comdty,2010-03-22,104.609375
WN1 N:02_0_R Comdty,2010-03-23,104.15625
WN1 N:02_0_R Comdty,2010-03-24,102.125
WN1 N:02_0_R Comdty,2010-03-25,101.1875
WN1 N:02_0_R Comdty,2010-03-26,101.703125
WN1 N:02_0_R Comdty,2010-03-29,101.5625
WN1 N:02_0_R Comdty,2010-03-30,101.640625
WN1 N:02_0_R Comdty,2010-03-31,102.390625
WN1 N:02_0_R Comdty,2010-04-01,102.234375
WN1 N:02_0_R Comdty,2010-04-02,100.921875
WN1 N:02_0_R Comdty,2010-04-05,100.359375
WN1 N:02_0_R Comdty,2010-04-06,100.3125
WN1 N:02_0_R Comdty,2010-04-07,101.96875
WN1 N:02_0_R Comdty,2010-04-08,101.703125
WN1 N:02_0_R Comdty,2010-04-09,101.96875
WN1 N:02_0_R Comdty,2010-04-12,102.765625
WN1 N:02_0_R Comdty,2010-04-13,103.25
WN1 N:02_0_R Comdty,2010-04-14,102.390625
WN1 N:02_0_R Comdty,2010-04-15,102.28125
WN1 N:02_0_R Comdty,2010-04-16,103.25
WN1 N:02_0_R Comdty,2010-04-19,102.734375
WN1 N:02_0_R Comdty,2010-04-20,103.21875
WN1 N:02_0_R Comdty,2010-04-21,104.25
WN1 N:02_0_R Comdty,2010-04-22,103.890625
WN1 N:02_0_R Comdty,2010-04-23,103.375
WN1 N:02_0_R Comdty,2010-04-26,103.265625
WN1 N:02_0_R Comdty,2010-04-27,105.15625
WN1 N:02_0_R Comdty,2010-04-28,103.90625
WN1 N:02_0_R Comdty,2010-04-29,104.6875
WN1 N:02_0_R Comdty,2010-04-30,105.859375
WN1 N:02_0_R Comdty,2010-05-03,105.5625
WN1 N:02_0_R Comdty,2010-05-04,107.328125
WN1 N:02_0_R Comdty,2010-05-05,108.046875
WN1 N:02_0_R Comdty,2010-05-06,112.171875
WN1 N:02_0_R Comdty,2010-05-07,109.890625
WN1 N:02_0_R Comdty,2010-05-10,107.9375
WN1 N:02_0_R Comdty,2010-05-11,107.75
WN1 N:02_0_R Comdty,2010-05-12,106.921875
WN1 N:02_0_R Comdty,2010-05-13,107.109375
WN1 N:02_0_R Comdty,2010-05-14,109.703125
WN1 N:02_0_R Comdty,2010-05-17,109.21875
WN1 N:02_0_R Comdty,2010-05-18,110.796875
WN1 N:02_0_R Comdty,2010-05-19,111.078125
WN1 N:02_0_R Comdty,2010-05-20,112.765625
WN1 N:02_0_R Comdty,2010-05-21,113.890625
WN1 N:02_0_R Comdty,2010-05-24,113.03125
WN1 N:02_0_R Comdty,2010-05-25,114.203125
WN1 N:02_0_R Comdty,2010-05-26,112.984375
WN1 N:02_0_R Comdty,2010-05-27,110.71875
WN1 N:02_0_R Comdty,2010-05-28,111.171875
WN1 N:02_0_R Comdty,2010-06-01,111.40625
WN1 N:02_0_R Comdty,2010-06-02,110.953125
WN1 N:02_0_R Comdty,2010-06-03,110.140625
WN1 N:02_0_R Comdty,2010-06-04,113.21875
WN1 N:02_0_R Comdty,2010-06-07,113.140625
WN1 N:02_0_R Comdty,2010-06-08,113.65625
WN1 N:02_0_R Comdty,2010-06-09,113.296875
WN1 N:02_0_R Comdty,2010-06-10,111.171875
WN1 N:02_0_R Comdty,2010-06-11,113.109375
WN1 N:02_0_R Comdty,2010-06-14,111.953125
WN1 N:02_0_R Comdty,2010-06-15,111.4375
WN1 N:02_0_R Comdty,2010-06-16,112.0
WN1 N:02_0_R Comdty,2010-06-17,113.46875
WN1 N:02_0_R Comdty,2010-06-18,113.0
WN1 N:02_0_R Comdty,2010-06-21,112.65625
WN1 N:02_0_R Comdty,2010-06-22,113.84375
WN1 N:02_0_R Comdty,2010-06-23,114.5625
WN1 N:02_0_R Comdty,2010-06-24,114.078125
WN1 N:02_0_R Comdty,2010-06-25,114.4375
WN1 N:02_0_R Comdty,2010-06-28,115.453125
WN1 N:02_0_R Comdty,2010-06-29,116.515625
WN1 N:02_0_R Comdty,2010-06-30,117.21875
WN1 N:02_0_R Comdty,2010-07-01,118.109375
WN1 N:02_0_R Comdty,2010-07-02,116.78125
WN1 N:02_0_R Comdty,2010-07-06,117.71875
WN1 N:02_0_R Comdty,2010-07-07,116.625
WN1 N:02_0_R Comdty,2010-07-08,115.75
WN1 N:02_0_R Comdty,2010-07-09,115.03125
WN1 N:02_0_R Comdty,2010-07-12,115.046875
WN1 N:02_0_R Comdty,2010-07-13,113.96875
WN1 N:02_0_R Comdty,2010-07-14,115.25
WN1 N:02_0_R Comdty,2010-07-15,116.4375
WN1 N:02_0_R Comdty,2010-07-16,116.921875
WN1 N:02_0_R Comdty,2010-07-19,116.265625
WN1 N:02_0_R Comdty,2010-07-20,116.75
WN1 N:02_0_R Comdty,2010-07-21,117.890625
WN1 N:02_0_R Comdty,2010-07-22,116.859375
WN1 N:02_0_R Comdty,2010-07-23,115.640625
WN1 N:02_0_R Comdty,2010-07-26,115.5625
WN1 N:02_0_R Comdty,2010-07-27,114.40625
WN1 N:02_0_R Comdty,2010-07-28,114.765625
WN1 N:02_0_R Comdty,2010-07-29,114.734375
WN1 N:02_0_R Comdty,2010-07-30,116.734375
WN1 N:02_0_R Comdty,2010-08-02,115.109375
WN1 N:02_0_R Comdty,2010-08-03,115.515625
WN1 N:02_0_R Comdty,2010-08-04,115.109375
WN1 N:02_0_R Comdty,2010-08-05,115.21875
WN1 N:02_0_R Comdty,2010-08-06,116.40625
WN1 N:02_0_R Comdty,2010-08-09,116.265625
WN1 N:02_0_R Comdty,2010-08-10,115.859375
WN1 N:02_0_R Comdty,2010-08-11,117.96875
WN1 N:02_0_R Comdty,2010-08-12,117.90625
WN1 N:02_0_R Comdty,2010-08-13,119.015625
WN1 N:02_0_R Comdty,2010-08-16,122.09375
WN1 N:02_0_R Comdty,2010-08-17,121.234375
WN1 N:02_0_R Comdty,2010-08-18,121.9375
WN1 N:02_0_R Comdty,2010-08-19,123.46875
