name,date,PX_LAST
XB1 N:02_0_R Comdty,2005-10-04,0.597
XB1 N:02_0_R Comdty,2005-10-05,0.57102
XB1 N:02_0_R Comdty,2005-10-06,0.55646
XB1 N:02_0_R Comdty,2005-10-07,0.56293
XB1 N:02_0_R Comdty,2005-10-10,0.55969
XB1 N:02_0_R Comdty,2005-10-11,0.57264
XB1 N:02_0_R Comdty,2005-10-12,0.57448
XB1 N:02_0_R Comdty,2005-10-13,0.55924
XB1 N:02_0_R Comdty,2005-10-14,0.55141
XB1 N:02_0_R Comdty,2005-10-17,0.56843
XB1 N:02_0_R Comdty,2005-10-18,0.54675
XB1 N:02_0_R Comdty,2005-10-19,0.53614
XB1 N:02_0_R Comdty,2005-10-20,0.51845
XB1 N:02_0_R Comdty,2005-10-21,0.53219
XB1 N:02_0_R Comdty,2005-10-24,0.51935
XB1 N:02_0_R Comdty,2005-10-25,0.53769
XB1 N:02_0_R Comdty,2005-10-26,0.51764
XB1 N:02_0_R Comdty,2005-10-27,0.52087
XB1 N:02_0_R Comdty,2005-10-28,0.53219
XB1 N:02_0_R Comdty,2005-10-31,0.51152
XB1 N:02_0_R Comdty,2005-11-01,0.51634
XB1 N:02_0_R Comdty,2005-11-02,0.50987
XB1 N:02_0_R Comdty,2005-11-03,0.52605
XB1 N:02_0_R Comdty,2005-11-04,0.51925
XB1 N:02_0_R Comdty,2005-11-07,0.51084
XB1 N:02_0_R Comdty,2005-11-08,0.52003
XB1 N:02_0_R Comdty,2005-11-09,0.51375
XB1 N:02_0_R Comdty,2005-11-10,0.49945
XB1 N:02_0_R Comdty,2005-11-11,0.49823
XB1 N:02_0_R Comdty,2005-11-14,0.4992
XB1 N:02_0_R Comdty,2005-11-15,0.4881
XB1 N:02_0_R Comdty,2005-11-16,0.49392
XB1 N:02_0_R Comdty,2005-11-17,0.48668
XB1 N:02_0_R Comdty,2005-11-18,0.48603
XB1 N:02_0_R Comdty,2005-11-21,0.48787
XB1 N:02_0_R Comdty,2005-11-22,0.50411
XB1 N:02_0_R Comdty,2005-11-23,0.50081
XB1 N:02_0_R Comdty,2005-11-28,0.4859
XB1 N:02_0_R Comdty,2005-11-29,0.47901
XB1 N:02_0_R Comdty,2005-11-30,0.49405
XB1 N:02_0_R Comdty,2005-12-01,0.51521
XB1 N:02_0_R Comdty,2005-12-02,0.52776
XB1 N:02_0_R Comdty,2005-12-05,0.52249
XB1 N:02_0_R Comdty,2005-12-06,0.52087
XB1 N:02_0_R Comdty,2005-12-07,0.51686
XB1 N:02_0_R Comdty,2005-12-08,0.53918
XB1 N:02_0_R Comdty,2005-12-09,0.53054
XB1 N:02_0_R Comdty,2005-12-12,0.54572
XB1 N:02_0_R Comdty,2005-12-13,0.54704
XB1 N:02_0_R Comdty,2005-12-14,0.54536
XB1 N:02_0_R Comdty,2005-12-15,0.54352
XB1 N:02_0_R Comdty,2005-12-16,0.52375
XB1 N:02_0_R Comdty,2005-12-19,0.50961
XB1 N:02_0_R Comdty,2005-12-20,0.50431
XB1 N:02_0_R Comdty,2005-12-21,0.51
XB1 N:02_0_R Comdty,2005-12-22,0.5146
XB1 N:02_0_R Comdty,2005-12-23,0.5178
XB1 N:02_0_R Comdty,2005-12-27,0.50903
XB1 N:02_0_R Comdty,2005-12-28,0.52446
XB1 N:02_0_R Comdty,2005-12-29,0.54429
XB1 N:02_0_R Comdty,2005-12-30,0.56293
XB1 N:02_0_R Comdty,2006-01-03,0.56969
XB1 N:02_0_R Comdty,2006-01-04,0.58191
XB1 N:02_0_R Comdty,2006-01-05,0.57951
XB1 N:02_0_R Comdty,2006-01-06,0.5886
XB1 N:02_0_R Comdty,2006-01-09,0.5733
XB1 N:02_0_R Comdty,2006-01-10,0.56771
XB1 N:02_0_R Comdty,2006-01-11,0.56232
XB1 N:02_0_R Comdty,2006-01-12,0.56405
XB1 N:02_0_R Comdty,2006-01-13,0.56488
XB1 N:02_0_R Comdty,2006-01-17,0.58685
XB1 N:02_0_R Comdty,2006-01-18,0.57409
XB1 N:02_0_R Comdty,2006-01-19,0.57409
XB1 N:02_0_R Comdty,2006-01-20,0.58366
XB1 N:02_0_R Comdty,2006-01-23,0.57728
XB1 N:02_0_R Comdty,2006-01-24,0.56593
XB1 N:02_0_R Comdty,2006-01-25,0.54367
XB1 N:02_0_R Comdty,2006-01-26,0.54995
XB1 N:02_0_R Comdty,2006-01-27,0.56497
XB1 N:02_0_R Comdty,2006-01-30,0.57566
XB1 N:02_0_R Comdty,2006-01-31,0.56
XB1 N:02_0_R Comdty,2006-02-01,0.53918
XB1 N:02_0_R Comdty,2006-02-02,0.52242
XB1 N:02_0_R Comdty,2006-02-03,0.52626
XB1 N:02_0_R Comdty,2006-02-06,0.51404
XB1 N:02_0_R Comdty,2006-02-07,0.49913
XB1 N:02_0_R Comdty,2006-02-08,0.48958
XB1 N:02_0_R Comdty,2006-02-09,0.48865
XB1 N:02_0_R Comdty,2006-02-10,0.46713
XB1 N:02_0_R Comdty,2006-02-13,0.45708
XB1 N:02_0_R Comdty,2006-02-14,0.44721
XB1 N:02_0_R Comdty,2006-02-15,0.44254
XB1 N:02_0_R Comdty,2006-02-16,0.46026
XB1 N:02_0_R Comdty,2006-02-17,0.47276
XB1 N:02_0_R Comdty,2006-02-21,0.47337
XB1 N:02_0_R Comdty,2006-02-22,0.46323
XB1 N:02_0_R Comdty,2006-02-23,0.4701
XB1 N:02_0_R Comdty,2006-02-24,0.48234
XB1 N:02_0_R Comdty,2006-02-27,0.45986
XB1 N:02_0_R Comdty,2006-02-28,0.47758
XB1 N:02_0_R Comdty,2006-03-01,0.48311
XB1 N:02_0_R Comdty,2006-03-02,0.49991
XB1 N:02_0_R Comdty,2006-03-03,0.50947
XB1 N:02_0_R Comdty,2006-03-06,0.49414
XB1 N:02_0_R Comdty,2006-03-07,0.4975
XB1 N:02_0_R Comdty,2006-03-08,0.49181
XB1 N:02_0_R Comdty,2006-03-09,0.49387
XB1 N:02_0_R Comdty,2006-03-10,0.4881
XB1 N:02_0_R Comdty,2006-03-13,0.50192
XB1 N:02_0_R Comdty,2006-03-14,0.5231
XB1 N:02_0_R Comdty,2006-03-15,0.51279
XB1 N:02_0_R Comdty,2006-03-16,0.52313
XB1 N:02_0_R Comdty,2006-03-17,0.5187
XB1 N:02_0_R Comdty,2006-03-20,0.50321
XB1 N:02_0_R Comdty,2006-03-21,0.50931
XB1 N:02_0_R Comdty,2006-03-22,0.49602
