name,date,PX_LAST
XM1 N:02_0_R Comdty,1990-01-02,75.18693
XM1 N:02_0_R Comdty,1990-01-03,75.14816
XM1 N:02_0_R Comdty,1990-01-04,75.14816
XM1 N:02_0_R Comdty,1990-01-05,75.10077
XM1 N:02_0_R Comdty,1990-01-08,75.118
XM1 N:02_0_R Comdty,1990-01-09,75.18263
XM1 N:02_0_R Comdty,1990-01-10,75.15247
XM1 N:02_0_R Comdty,1990-01-11,75.16971
XM1 N:02_0_R Comdty,1990-01-12,75.13524
XM1 N:02_0_R Comdty,1990-01-15,75.10507
XM1 N:02_0_R Comdty,1990-01-16,75.02753
XM1 N:02_0_R Comdty,1990-01-17,75.06631
XM1 N:02_0_R Comdty,1990-01-18,75.04908
XM1 N:02_0_R Comdty,1990-01-19,74.97152
XM1 N:02_0_R Comdty,1990-01-22,75.08354
XM1 N:02_0_R Comdty,1990-01-23,75.23002
XM1 N:02_0_R Comdty,1990-01-24,75.21709
XM1 N:02_0_R Comdty,1990-01-25,75.23002
XM1 N:02_0_R Comdty,1990-01-26,75.23002
XM1 N:02_0_R Comdty,1990-01-29,75.25157
XM1 N:02_0_R Comdty,1990-01-30,75.25155
XM1 N:02_0_R Comdty,1990-01-31,75.2774
XM1 N:02_0_R Comdty,1990-02-01,75.18693
XM1 N:02_0_R Comdty,1990-02-02,75.21709
XM1 N:02_0_R Comdty,1990-02-05,75.26017
XM1 N:02_0_R Comdty,1990-02-06,75.23002
XM1 N:02_0_R Comdty,1990-02-07,75.20848
XM1 N:02_0_R Comdty,1990-02-08,75.10939
XM1 N:02_0_R Comdty,1990-02-09,75.10077
XM1 N:02_0_R Comdty,1990-02-12,75.01461
XM1 N:02_0_R Comdty,1990-02-13,75.02753
XM1 N:02_0_R Comdty,1990-02-14,74.91983
XM1 N:02_0_R Comdty,1990-02-15,74.83797
XM1 N:02_0_R Comdty,1990-02-16,74.80782
XM1 N:02_0_R Comdty,1990-02-19,74.72165
XM1 N:02_0_R Comdty,1990-02-20,74.77765
XM1 N:02_0_R Comdty,1990-02-21,74.68287
XM1 N:02_0_R Comdty,1990-02-22,74.70442
XM1 N:02_0_R Comdty,1990-02-23,74.70442
XM1 N:02_0_R Comdty,1990-02-26,74.65703
XM1 N:02_0_R Comdty,1990-02-27,74.59671
XM1 N:02_0_R Comdty,1990-02-28,74.70012
XM1 N:02_0_R Comdty,1990-03-01,74.55794
XM1 N:02_0_R Comdty,1990-03-02,74.43731
XM1 N:02_0_R Comdty,1990-03-05,74.29944
XM1 N:02_0_R Comdty,1990-03-06,74.51485
XM1 N:02_0_R Comdty,1990-03-07,74.47608
XM1 N:02_0_R Comdty,1990-03-08,74.57517
XM1 N:02_0_R Comdty,1990-03-09,74.60963
XM1 N:02_0_R Comdty,1990-03-12,74.52778
XM1 N:02_0_R Comdty,1990-03-13,74.52348
XM1 N:02_0_R Comdty,1990-03-14,74.42455
XM1 N:02_0_R Comdty,1990-03-15,74.50627
XM1 N:02_0_R Comdty,1990-03-16,74.49768
XM1 N:02_0_R Comdty,1990-03-19,74.51058
XM1 N:02_0_R Comdty,1990-03-20,74.55789
XM1 N:02_0_R Comdty,1990-03-21,74.47617
XM1 N:02_0_R Comdty,1990-03-22,74.45466
XM1 N:02_0_R Comdty,1990-03-23,74.44605
XM1 N:02_0_R Comdty,1990-03-26,74.48047
XM1 N:02_0_R Comdty,1990-03-27,74.46756
