name,date,PX_LAST
XP1 N:02_0_R Index,2000-05-03,1666.95136
XP1 N:02_0_R Index,2000-05-04,1645.5317
XP1 N:02_0_R Index,2000-05-05,1680.88738
XP1 N:02_0_R Index,2000-05-08,1643.09197
XP1 N:02_0_R Index,2000-05-09,1626.67529
XP1 N:02_0_R Index,2000-05-10,1596.67767
XP1 N:02_0_R Index,2000-05-11,1560.9146
XP1 N:02_0_R Index,2000-05-12,1596.80578
XP1 N:02_0_R Index,2000-05-15,1580.28728
XP1 N:02_0_R Index,2000-05-16,1611.61124
XP1 N:02_0_R Index,2000-05-17,1576.28602
XP1 N:02_0_R Index,2000-05-18,1567.49971
XP1 N:02_0_R Index,2000-05-19,1572.61544
XP1 N:02_0_R Index,2000-05-22,1558.00351
XP1 N:02_0_R Index,2000-05-23,1560.31793
XP1 N:02_0_R Index,2000-05-24,1552.28658
XP1 N:02_0_R Index,2000-05-25,1555.23083
XP1 N:02_0_R Index,2000-05-26,1557.43213
XP1 N:02_0_R Index,2000-05-29,1570.63342
XP1 N:02_0_R Index,2000-05-30,1584.62753
XP1 N:02_0_R Index,2000-05-31,1596.1306
XP1 N:02_0_R Index,2000-06-01,1606.59851
XP1 N:02_0_R Index,2000-06-02,1645.2864
XP1 N:02_0_R Index,2000-06-05,1659.83536
XP1 N:02_0_R Index,2000-06-06,1673.29929
XP1 N:02_0_R Index,2000-06-07,1667.93428
XP1 N:02_0_R Index,2000-06-08,1661.00359
XP1 N:02_0_R Index,2000-06-09,1668.14254
XP1 N:02_0_R Index,2000-06-12,1681.47556
XP1 N:02_0_R Index,2000-06-13,1681.59103
XP1 N:02_0_R Index,2000-06-14,1691.29413
XP1 N:02_0_R Index,2000-06-15,1704.59082
XP1 N:02_0_R Index,2000-06-16,1726.01581
XP1 N:02_0_R Index,2000-06-19,1708.42078
XP1 N:02_0_R Index,2000-06-20,1713.4842
XP1 N:02_0_R Index,2000-06-21,1724.76699
XP1 N:02_0_R Index,2000-06-22,1701.81119
XP1 N:02_0_R Index,2000-06-23,1715.55015
XP1 N:02_0_R Index,2000-06-26,1714.51049
XP1 N:02_0_R Index,2000-06-27,1736.02574
XP1 N:02_0_R Index,2000-06-28,1738.94659
XP1 N:02_0_R Index,2000-06-29,1771.09832
XP1 N:02_0_R Index,2000-06-30,1786.80902
XP1 N:02_0_R Index,2000-07-03,1794.86898
XP1 N:02_0_R Index,2000-07-04,1792.98485
XP1 N:02_0_R Index,2000-07-05,1777.64943
XP1 N:02_0_R Index,2000-07-06,1770.24813
XP1 N:02_0_R Index,2000-07-07,1761.15361
XP1 N:02_0_R Index,2000-07-10,1775.07473
XP1 N:02_0_R Index,2000-07-11,1761.48964
XP1 N:02_0_R Index,2000-07-12,1763.58665
XP1 N:02_0_R Index,2000-07-13,1748.84153
XP1 N:02_0_R Index,2000-07-14,1748.01743
XP1 N:02_0_R Index,2000-07-17,1757.44469
XP1 N:02_0_R Index,2000-07-18,1743.98875
XP1 N:02_0_R Index,2000-07-19,1719.96052
XP1 N:02_0_R Index,2000-07-20,1730.06575
XP1 N:02_0_R Index,2000-07-21,1759.2407
XP1 N:02_0_R Index,2000-07-24,1747.40613
XP1 N:02_0_R Index,2000-07-25,1727.92977
XP1 N:02_0_R Index,2000-07-26,1747.76487
XP1 N:02_0_R Index,2000-07-27,1724.3601
XP1 N:02_0_R Index,2000-07-28,1726.92935
XP1 N:02_0_R Index,2000-07-31,1691.41984
XP1 N:02_0_R Index,2000-08-01,1692.03802
XP1 N:02_0_R Index,2000-08-02,1720.00699
XP1 N:02_0_R Index,2000-08-03,1721.52363
XP1 N:02_0_R Index,2000-08-04,1710.33182
XP1 N:02_0_R Index,2000-08-07,1739.1054
XP1 N:02_0_R Index,2000-08-08,1733.45427
XP1 N:02_0_R Index,2000-08-09,1721.13888
XP1 N:02_0_R Index,2000-08-10,1724.4938
XP1 N:02_0_R Index,2000-08-11,1720.11567
XP1 N:02_0_R Index,2000-08-14,1724.86746
XP1 N:02_0_R Index,2000-08-15,1734.30356
XP1 N:02_0_R Index,2000-08-16,1772.1454
XP1 N:02_0_R Index,2000-08-17,1780.03654
XP1 N:02_0_R Index,2000-08-18,1767.03693
XP1 N:02_0_R Index,2000-08-21,1761.25513
XP1 N:02_0_R Index,2000-08-22,1755.79471
XP1 N:02_0_R Index,2000-08-23,1723.75389
XP1 N:02_0_R Index,2000-08-24,1731.75281
XP1 N:02_0_R Index,2000-08-25,1735.69409
XP1 N:02_0_R Index,2000-08-28,1727.17423
XP1 N:02_0_R Index,2000-08-29,1723.26297
XP1 N:02_0_R Index,2000-08-30,1714.89057
XP1 N:02_0_R Index,2000-08-31,1692.52018
XP1 N:02_0_R Index,2000-09-01,1720.42221
XP1 N:02_0_R Index,2000-09-04,1724.98632
XP1 N:02_0_R Index,2000-09-05,1708.55449
XP1 N:02_0_R Index,2000-09-06,1682.75912
XP1 N:02_0_R Index,2000-09-07,1647.08991
XP1 N:02_0_R Index,2000-09-08,1651.51299
XP1 N:02_0_R Index,2000-09-11,1652.92729
XP1 N:02_0_R Index,2000-09-12,1662.52793
XP1 N:02_0_R Index,2000-09-13,1658.96791
XP1 N:02_0_R Index,2000-09-14,1639.64276
XP1 N:02_0_R Index,2000-09-15,1629.7834
XP1 N:02_0_R Index,2000-09-18,1583.08905
XP1 N:02_0_R Index,2000-09-19,1570.87377
XP1 N:02_0_R Index,2000-09-20,1570.62656
XP1 N:02_0_R Index,2000-09-21,1574.37105
XP1 N:02_0_R Index,2000-09-22,1545.89355
XP1 N:02_0_R Index,2000-09-25,1583.12266
XP1 N:02_0_R Index,2000-09-26,1591.29782
XP1 N:02_0_R Index,2000-09-27,1599.57058
XP1 N:02_0_R Index,2000-09-28,1621.08425
XP1 N:02_0_R Index,2000-09-29,1592.52994
XP1 N:02_0_R Index,2000-10-02,1615.2159
XP1 N:02_0_R Index,2000-10-03,1611.51254
XP1 N:02_0_R Index,2000-10-04,1595.07642
XP1 N:02_0_R Index,2000-10-05,1585.76082
XP1 N:02_0_R Index,2000-10-06,1575.82205
XP1 N:02_0_R Index,2000-10-09,1573.83833
XP1 N:02_0_R Index,2000-10-10,1562.76385
XP1 N:02_0_R Index,2000-10-11,1555.34668
XP1 N:02_0_R Index,2000-10-12,1533.5135
XP1 N:02_0_R Index,2000-10-13,1520.27076
XP1 N:02_0_R Index,2000-10-16,1526.70223
XP1 N:02_0_R Index,2000-10-17,1513.70681
