name,date,PX_LAST
Z 1 N:02_0_R Index,1990-01-02,4738.25593
Z 1 N:02_0_R Index,1990-01-03,4812.72315
Z 1 N:02_0_R Index,1990-01-04,4861.92206
Z 1 N:02_0_R Index,1990-01-05,4846.91565
Z 1 N:02_0_R Index,1990-01-08,4872.66793
Z 1 N:02_0_R Index,1990-01-09,4907.12203
Z 1 N:02_0_R Index,1990-01-10,4863.11116
Z 1 N:02_0_R Index,1990-01-11,4858.72339
Z 1 N:02_0_R Index,1990-01-12,4756.01867
Z 1 N:02_0_R Index,1990-01-15,4751.39427
Z 1 N:02_0_R Index,1990-01-16,4690.25444
Z 1 N:02_0_R Index,1990-01-17,4741.83464
Z 1 N:02_0_R Index,1990-01-18,4611.54333
Z 1 N:02_0_R Index,1990-01-19,4591.98506
Z 1 N:02_0_R Index,1990-01-22,4519.60422
Z 1 N:02_0_R Index,1990-01-23,4530.06162
Z 1 N:02_0_R Index,1990-01-24,4496.97046
Z 1 N:02_0_R Index,1990-01-25,4562.836
Z 1 N:02_0_R Index,1990-01-26,4613.99002
Z 1 N:02_0_R Index,1990-01-29,4698.74817
Z 1 N:02_0_R Index,1990-01-30,4651.31923
Z 1 N:02_0_R Index,1990-01-31,4700.93967
Z 1 N:02_0_R Index,1990-02-01,4732.57204
Z 1 N:02_0_R Index,1990-02-02,4759.8
Z 1 N:02_0_R Index,1990-02-05,4773.4651
Z 1 N:02_0_R Index,1990-02-06,4724.40176
Z 1 N:02_0_R Index,1990-02-07,4676.74868
Z 1 N:02_0_R Index,1990-02-08,4737.09002
Z 1 N:02_0_R Index,1990-02-09,4676.74868
Z 1 N:02_0_R Index,1990-02-12,4604.05558
Z 1 N:02_0_R Index,1990-02-13,4607.30777
Z 1 N:02_0_R Index,1990-02-14,4644.31485
Z 1 N:02_0_R Index,1990-02-15,4666.66323
Z 1 N:02_0_R Index,1990-02-16,4726.05579
Z 1 N:02_0_R Index,1990-02-19,4644.76374
Z 1 N:02_0_R Index,1990-02-20,4649.61823
Z 1 N:02_0_R Index,1990-02-21,4617.67253
Z 1 N:02_0_R Index,1990-02-22,4628.55456
Z 1 N:02_0_R Index,1990-02-23,4563.48596
Z 1 N:02_0_R Index,1990-02-26,4545.00144
Z 1 N:02_0_R Index,1990-02-27,4553.69612
Z 1 N:02_0_R Index,1990-02-28,4525.99907
Z 1 N:02_0_R Index,1990-03-01,4441.44294
Z 1 N:02_0_R Index,1990-03-02,4431.70899
Z 1 N:02_0_R Index,1990-03-05,4395.27862
Z 1 N:02_0_R Index,1990-03-06,4364.10167
Z 1 N:02_0_R Index,1990-03-07,4375.16265
Z 1 N:02_0_R Index,1990-03-08,4398.12888
Z 1 N:02_0_R Index,1990-03-09,4280.08718
Z 1 N:02_0_R Index,1990-03-12,4266.25857
Z 1 N:02_0_R Index,1990-03-13,4258.11766
Z 1 N:02_0_R Index,1990-03-14,4281.28758
Z 1 N:02_0_R Index,1990-03-15,4329.64638
Z 1 N:02_0_R Index,1990-03-16,4368.16244
Z 1 N:02_0_R Index,1990-03-19,4269.91424
Z 1 N:02_0_R Index,1990-03-20,4271.41993
Z 1 N:02_0_R Index,1990-03-21,4255.81943
Z 1 N:02_0_R Index,1990-03-22,4311.78088
Z 1 N:02_0_R Index,1990-03-23,4347.11125
Z 1 N:02_0_R Index,1990-03-26,4439.43877
Z 1 N:02_0_R Index,1990-03-27,4380.81742
Z 1 N:02_0_R Index,1990-03-28,4412.25638
Z 1 N:02_0_R Index,1990-03-29,4385.77838
Z 1 N:02_0_R Index,1990-03-30,4346.40056
Z 1 N:02_0_R Index,1990-04-02,4278.3696
Z 1 N:02_0_R Index,1990-04-03,4339.57138
Z 1 N:02_0_R Index,1990-04-04,4313.93279
Z 1 N:02_0_R Index,1990-04-05,4353.50946
Z 1 N:02_0_R Index,1990-04-06,4294.77678
Z 1 N:02_0_R Index,1990-04-09,4289.21845
Z 1 N:02_0_R Index,1990-04-10,4286.03959
Z 1 N:02_0_R Index,1990-04-11,4279.52783
Z 1 N:02_0_R Index,1990-04-12,4301.75043
Z 1 N:02_0_R Index,1990-04-17,4265.89457
Z 1 N:02_0_R Index,1990-04-18,4247.17122
Z 1 N:02_0_R Index,1990-04-19,4237.39979
Z 1 N:02_0_R Index,1990-04-20,4209.18683
Z 1 N:02_0_R Index,1990-04-23,4163.92661
Z 1 N:02_0_R Index,1990-04-24,4172.82952
Z 1 N:02_0_R Index,1990-04-25,4132.60715
Z 1 N:02_0_R Index,1990-04-26,4112.42303
Z 1 N:02_0_R Index,1990-04-27,4074.85847
Z 1 N:02_0_R Index,1990-04-30,4079.55616
Z 1 N:02_0_R Index,1990-05-01,4119.64432
Z 1 N:02_0_R Index,1990-05-02,4138.60252
Z 1 N:02_0_R Index,1990-05-03,4145.39961
Z 1 N:02_0_R Index,1990-05-04,4250.72672
Z 1 N:02_0_R Index,1990-05-08,4311.50897
Z 1 N:02_0_R Index,1990-05-09,4289.72609
Z 1 N:02_0_R Index,1990-05-10,4301.40174
Z 1 N:02_0_R Index,1990-05-11,4341.28043
Z 1 N:02_0_R Index,1990-05-14,4422.99658
Z 1 N:02_0_R Index,1990-05-15,4395.48615
Z 1 N:02_0_R Index,1990-05-16,4429.51067
Z 1 N:02_0_R Index,1990-05-17,4600.04698
Z 1 N:02_0_R Index,1990-05-18,4528.87568
Z 1 N:02_0_R Index,1990-05-21,4548.41912
Z 1 N:02_0_R Index,1990-05-22,4631.58852
Z 1 N:02_0_R Index,1990-05-23,4568.00084
Z 1 N:02_0_R Index,1990-05-24,4544.5745
Z 1 N:02_0_R Index,1990-05-25,4512.39206
Z 1 N:02_0_R Index,1990-05-29,4587.68573
Z 1 N:02_0_R Index,1990-05-30,4699.01346
Z 1 N:02_0_R Index,1990-05-31,4658.5472
Z 1 N:02_0_R Index,1990-06-01,4731.05703
Z 1 N:02_0_R Index,1990-06-04,4748.40247
Z 1 N:02_0_R Index,1990-06-05,4760.25959
Z 1 N:02_0_R Index,1990-06-06,4727.1068
Z 1 N:02_0_R Index,1990-06-07,4779.75344
Z 1 N:02_0_R Index,1990-06-08,4696.83389
Z 1 N:02_0_R Index,1990-06-11,4665.81516
Z 1 N:02_0_R Index,1990-06-12,4768.5119
Z 1 N:02_0_R Index,1990-06-13,4856.40926
Z 1 N:02_0_R Index,1990-06-14,4858.29015
Z 1 N:02_0_R Index,1990-06-15,4811.24444
Z 1 N:02_0_R Index,1990-06-18,4790.68397
Z 1 N:02_0_R Index,1990-06-19,4804.91821
Z 1 N:02_0_R Index,1990-06-20,4816.11017
Z 1 N:02_0_R Index,1990-06-21,4798.77565
Z 1 N:02_0_R Index,1990-06-22,4843.49686
Z 1 N:02_0_R Index,1990-06-25,4862.09971
Z 1 N:02_0_R Index,1990-06-26,4894.41068
Z 1 N:02_0_R Index,1990-06-27,4843.52553
Z 1 N:02_0_R Index,1990-06-28,4791.03148
Z 1 N:02_0_R Index,1990-06-29,4866.33011
Z 1 N:02_0_R Index,1990-07-02,4929.96413
Z 1 N:02_0_R Index,1990-07-03,4917.21094
Z 1 N:02_0_R Index,1990-07-04,4921.82468
Z 1 N:02_0_R Index,1990-07-05,4852.0754
Z 1 N:02_0_R Index,1990-07-06,4902.94656
Z 1 N:02_0_R Index,1990-07-09,4943.42088
Z 1 N:02_0_R Index,1990-07-10,4959.45921
Z 1 N:02_0_R Index,1990-07-11,4968.30335
Z 1 N:02_0_R Index,1990-07-12,5032.18387
Z 1 N:02_0_R Index,1990-07-13,5017.07353
Z 1 N:02_0_R Index,1990-07-16,5097.33796
Z 1 N:02_0_R Index,1990-07-17,5116.12735
Z 1 N:02_0_R Index,1990-07-18,5101.66334
Z 1 N:02_0_R Index,1990-07-19,5072.00788
Z 1 N:02_0_R Index,1990-07-20,5102.47723
Z 1 N:02_0_R Index,1990-07-23,5029.81307
Z 1 N:02_0_R Index,1990-07-24,4987.20604
Z 1 N:02_0_R Index,1990-07-25,4992.83319
Z 1 N:02_0_R Index,1990-07-26,4924.02576
Z 1 N:02_0_R Index,1990-07-27,4969.69793
Z 1 N:02_0_R Index,1990-07-30,4969.7022
Z 1 N:02_0_R Index,1990-07-31,5060.90379
